"guide","dataset","table","variable","type","n_rows","crosswalk_status","candidate_dataset","candidate_variable","candidate_product","candidate_description","basis","notes"
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_sisca08","character",500,"direct_blade_variable_metadata","BLADE","x_sisca08","blade-table-01-cross-sectional-indicative-data-items","Standard Institutional Sector Classification of Australia (SISCA) 2008","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_sisca93","character",500,"direct_blade_variable_metadata","BLADE","x_sisca93","blade-table-01-cross-sectional-indicative-data-items","Standard Institutional Sector Classification of Australia (SISCA) 1993","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_st_op","character",500,"direct_blade_variable_metadata","BLADE","x_st_op","blade-table-01-cross-sectional-indicative-data-items","States of operation","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_state","integer",500,"direct_blade_variable_metadata","BLADE","x_state","blade-table-01-cross-sectional-indicative-data-items","State","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-01-cross-sectional-indicative-data-items","x_tolo","integer",500,"direct_blade_variable_metadata","BLADE","x_tolo","blade-table-01-cross-sectional-indicative-data-items","Type of Legal Organisation (TOLO)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","a_it_w_amt","numeric",500,"direct_blade_variable_metadata","BLADE","a_it_w_amt","blade-table-04-business-activity-statement-bas","Amount withheld from payment of invoices where no ABN is quoted","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","bas_version","character",500,"direct_blade_variable_metadata","BLADE","bas_version","blade-table-04-business-activity-statement-bas","Integration version (internal ABS reference)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","bn","character",500,"direct_blade_variable_metadata","BLADE","bn","blade-table-04-business-activity-statement-bas","bn - deidentified ABN | Identifier - deidentified ABN | Identifier bn - deidentified ABN | De-identified ABN | Deidentified abn | Deidentified ABN | Identifier - deidentifed ABN | Identifier - deidentified abn | Identifier - deidentified ABN (Australian Business Number)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","capex","numeric",500,"direct_blade_variable_metadata","BLADE","capex","blade-table-04-business-activity-statement-bas","Capital purchases*","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","credit_for_gst_paid","numeric",500,"direct_blade_variable_metadata","BLADE","credit_for_gst_paid","blade-table-04-business-activity-statement-bas","Goods and services tax (GST) on purchases","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","d_imprt_amt","numeric",500,"direct_blade_variable_metadata","BLADE","d_imprt_amt","blade-table-04-business-activity-statement-bas","Imported goods with GST deferred","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","exports_amt","numeric",500,"direct_blade_variable_metadata","BLADE","exports_amt","blade-table-04-business-activity-statement-bas","Export sales*","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","gst_payable","numeric",500,"direct_blade_variable_metadata","BLADE","gst_payable","blade-table-04-business-activity-statement-bas","Goods and services tax (GST) on sales or GST instalment","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","oexp","numeric",500,"direct_blade_variable_metadata","BLADE","oexp","blade-table-04-business-activity-statement-bas","Non-capital purchases*","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","other_gst_free_sales","numeric",500,"direct_blade_variable_metadata","BLADE","other_gst_free_sales","blade-table-04-business-activity-statement-bas","Other GST-free sales*","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","p_wrk_amt","numeric",500,"direct_blade_variable_metadata","BLADE","p_wrk_amt","blade-table-04-business-activity-statement-bas","Amount withheld from salary, wages and other payments","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","payg_tax_withheld","numeric",500,"direct_blade_variable_metadata","BLADE","payg_tax_withheld","blade-table-04-business-activity-statement-bas","Pay as you go (PAYG) tax withheld","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","quarter","character",500,"direct_blade_variable_metadata","BLADE","quarter","blade-table-04-business-activity-statement-bas","Quarter | Financial year quarter data is in reference to** | The quarter of the financial year - derived | Reference Period | The quarter of the SITS record | Quarter of the financial year | The quarter of the JVS record | The quarter of the location record | The quarter of the insolvency appointment | Financial year quarter data is in reference to","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","t_it_w_amt","numeric",500,"direct_blade_variable_metadata","BLADE","t_it_w_amt","blade-table-04-business-activity-statement-bas","Amount withheld from investment distributions where no TFN is quoted","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","tot_expenses","numeric",500,"direct_blade_variable_metadata","BLADE","tot_expenses","blade-table-04-business-activity-statement-bas","Total Expenditure (capex + oexp, excluding GST)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","tsid","character",500,"direct_blade_variable_metadata","BLADE","tsid","blade-table-04-business-activity-statement-bas","Time series ID (last 2 digits of end year in a financial year) | Time series identifier (last 2 digits of end year in a financial year) | Time series ID (last 2 digits of end year in a financial year when application arrived for processing to the IP Australia system) | Time series identifier denoting the financial year in which the data was collected | Time series ID (last 2 digits of end year in a financial year when applicant registered R&D activites) | Time Series Identifier","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","turnover","numeric",500,"direct_blade_variable_metadata","BLADE","turnover","blade-table-04-business-activity-statement-bas","Total sales (excludes GST)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-04-business-activity-statement-bas","wages","numeric",500,"direct_blade_variable_metadata","BLADE","wages","blade-table-04-business-activity-statement-bas","Total salary, wages and other payments","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-05-pay-as-you-go-payg","bn","character",500,"direct_blade_variable_metadata","BLADE","bn","blade-table-05-pay-as-you-go-payg","bn - deidentified ABN | Identifier - deidentified ABN | Identifier bn - deidentified ABN | De-identified ABN | Deidentified abn | Deidentified ABN | Identifier - deidentifed ABN | Identifier - deidentified abn | Identifier - deidentified ABN (Australian Business Number)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-05-pay-as-you-go-payg","fte","numeric",500,"direct_blade_variable_metadata","BLADE","fte","blade-table-05-pay-as-you-go-payg","Full Time Equivalent - Derived","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-05-pay-as-you-go-payg","hcnt","integer",500,"direct_blade_variable_metadata","BLADE","hcnt","blade-table-05-pay-as-you-go-payg","Headcount","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-05-pay-as-you-go-payg","payg_version","character",500,"direct_blade_variable_metadata","BLADE","payg_version","blade-table-05-pay-as-you-go-payg","Integration version (internal ABS reference)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-05-pay-as-you-go-payg","tsid","character",500,"direct_blade_variable_metadata","BLADE","tsid","blade-table-05-pay-as-you-go-payg","Time series ID (last 2 digits of end year in a financial year) | Time series identifier (last 2 digits of end year in a financial year) | Time series ID (last 2 digits of end year in a financial year when application arrived for processing to the IP Australia system) | Time series identifier denoting the financial year in which the data was collected | Time series ID (last 2 digits of end year in a financial year when applicant registered R&D activites) | Time Series Identifier","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","bit_comp_yyyy","integer",500,"direct_blade_variable_metadata","BLADE","bit_comp_yyyy","blade-table-06-business-income-tax-bit","BIT Company - Flag","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","bit_ind_yyyy","integer",500,"direct_blade_variable_metadata","BLADE","bit_ind_yyyy","blade-table-06-business-income-tax-bit","BIT Individual - Flag","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","bit_part_yyyy","integer",500,"direct_blade_variable_metadata","BLADE","bit_part_yyyy","blade-table-06-business-income-tax-bit","BIT Partnership - Flag","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","bit_trust_yyyy","integer",500,"direct_blade_variable_metadata","BLADE","bit_trust_yyyy","blade-table-06-business-income-tax-bit","BIT Trust - Flag","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","bit_version","character",500,"direct_blade_variable_metadata","BLADE","bit_version","blade-table-06-business-income-tax-bit","Integration version (internal ABS reference)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","bn","character",500,"direct_blade_variable_metadata","BLADE","bn","blade-table-06-business-income-tax-bit","bn - deidentified ABN | Identifier - deidentified ABN | Identifier bn - deidentified ABN | De-identified ABN | Deidentified abn | Deidentified ABN | Identifier - deidentifed ABN | Identifier - deidentified abn | Identifier - deidentified ABN (Australian Business Number)","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_adtnl_ai_clwbk_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_adtnl_ai_clwbk_amt","blade-table-06-business-income-tax-bit","Clawback amounts - additional assessable income","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_agrgtd_tnovr_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_agrgtd_tnovr_amt","blade-table-06-business-income-tax-bit","Aggregated Turnover","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_agrgtd_tnovr_rng_cd","numeric",500,"direct_blade_variable_metadata","BLADE","c_agrgtd_tnovr_rng_cd","blade-table-06-business-income-tax-bit","Aggregated Turnover Range","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_alt_incm_tst_used_ind","numeric",500,"direct_blade_variable_metadata","BLADE","c_alt_incm_tst_used_ind","blade-table-06-business-income-tax-bit","Are you using the alternative income test?","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_anzsic","integer",500,"direct_blade_variable_metadata","BLADE","c_anzsic","blade-table-06-business-income-tax-bit","ANZSIC code","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_attfifif","integer",500,"direct_blade_variable_metadata","BLADE","c_attfifif","blade-table-06-business-income-tax-bit","AFI - FIF income","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_attfiunl","integer",500,"direct_blade_variable_metadata","BLADE","c_attfiunl","blade-table-06-business-income-tax-bit","AFI - unlisted country","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_attrpoly","integer",500,"direct_blade_variable_metadata","BLADE","c_attrpoly","blade-table-06-business-income-tax-bit","AFI - foreign life policy","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_attrtran","integer",500,"direct_blade_variable_metadata","BLADE","c_attrtran","blade-table-06-business-income-tax-bit","AFI - transferor trust","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_ausn_fcrs_frm_nzc_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_ausn_fcrs_frm_nzc_amt","blade-table-06-business-income-tax-bit","Australian franking credits from a New Zealand company","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_baddebts","numeric",500,"direct_blade_variable_metadata","BLADE","c_baddebts","blade-table-06-business-income-tax-bit","Bad debts","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_base_rt_bus_cd","integer",500,"direct_blade_variable_metadata","BLADE","c_base_rt_bus_cd","blade-table-06-business-income-tax-bit","Base rate entity","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_bbi_elgbl_ast_opt_out_num","integer",500,"direct_blade_variable_metadata","BLADE","c_bbi_elgbl_ast_opt_out_num","blade-table-06-business-income-tax-bit","Backing business investment - Number of assets you are opting out for","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_bbi_elgbl_ast_opt_out_val_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_bbi_elgbl_ast_opt_out_val_amt","blade-table-06-business-income-tax-bit","Backing business investment - Value of assets you are opting out for","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_blncg_adjst_ctch_up_ddctn_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_blncg_adjst_ctch_up_ddctn_amt","blade-table-06-business-income-tax-bit","Balancing adjustments - catch up deduction","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_bm_sgmt_cd","integer",500,"direct_blade_variable_metadata","BLADE","c_bm_sgmt_cd","blade-table-06-business-income-tax-bit","Small business","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_brdexemp","integer",500,"direct_blade_variable_metadata","BLADE","c_brdexemp","blade-table-06-business-income-tax-bit","Attributed foreign income - Listed country","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_busmarin","integer",500,"direct_blade_variable_metadata","BLADE","c_busmarin","blade-table-06-business-income-tax-bit","Business market segment","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_chsnmdyrntutlstxlsbckerlyyramt","numeric",500,"direct_blade_variable_metadata","BLADE","c_chsnmdyrntutlstxlsbckerlyyramt","blade-table-06-business-income-tax-bit","Tax loss for middle year (not already utilised) chosen to be carried back to earliest year","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_chsnyrtaxlssbckerlyyramt","numeric",500,"direct_blade_variable_metadata","BLADE","c_chsnyrtaxlssbckerlyyramt","blade-table-06-business-income-tax-bit","Tax loss for current year chosen to be carried back to earliest year","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_clnt_glbl_ent_typ_cd","integer",500,"direct_blade_variable_metadata","BLADE","c_clnt_glbl_ent_typ_cd","blade-table-06-business-income-tax-bit","Significant global entity","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_clostock","numeric",500,"direct_blade_variable_metadata","BLADE","c_clostock","blade-table-06-business-income-tax-bit","Closing stock","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_cmrcl_debts_forgvn_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_cmrcl_debts_forgvn_amt","blade-table-06-business-income-tax-bit","Commercial debt forgiveness","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_costsale","numeric",500,"direct_blade_variable_metadata","BLADE","c_costsale","blade-table-06-business-income-tax-bit","Cost of sales","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_coy_cntry_dcd","integer",500,"direct_blade_variable_metadata","BLADE","c_coy_cntry_dcd","blade-table-06-business-income-tax-bit","Business Address Country","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_creditrs","numeric",500,"direct_blade_variable_metadata","BLADE","c_creditrs","blade-table-06-business-income-tax-bit","Trade creditors","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_cstockcd","numeric",500,"direct_blade_variable_metadata","BLADE","c_cstockcd","blade-table-06-business-income-tax-bit","Closing stock action code","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_currasst","numeric",500,"direct_blade_variable_metadata","BLADE","c_currasst","blade-table-06-business-income-tax-bit","Current assets","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_currliab","numeric",500,"direct_blade_variable_metadata","BLADE","c_currliab","blade-table-06-business-income-tax-bit","Current liabilities","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_cwrksded","numeric",500,"direct_blade_variable_metadata","BLADE","c_cwrksded","blade-table-06-business-income-tax-bit","Capital works deductions","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_ddctd_tl_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_ddctd_tl_amt","blade-table-06-business-income-tax-bit","Tax losses deducted","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_ddctn_decln_val_wtr_fclty_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_ddctn_decln_val_wtr_fclty_amt","blade-table-06-business-income-tax-bit","Landcare operations and deduction for decline in value of water facility","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_ddctn_for_epe_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_ddctn_for_epe_amt","blade-table-06-business-income-tax-bit","Deduction for environmental protection expenses","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_ddctn_skill_trng_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_ddctn_skill_trng_amt","blade-table-06-business-income-tax-bit","Small business skills and training boost","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_ddctn_tchnlgy_invmt_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_ddctn_tchnlgy_invmt_amt","blade-table-06-business-income-tax-bit","Small business technology investment boost","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_ddctns_intrm_rls_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_ddctns_intrm_rls_amt","blade-table-06-business-income-tax-bit","Interim rules deductions","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_ddctns_pre_rls_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_ddctns_pre_rls_amt","blade-table-06-business-income-tax-bit","Pre rules deductions","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_ddctns_prspctv_rls_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_ddctns_prspctv_rls_amt","blade-table-06-business-income-tax-bit","Prospective rules deductions","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_debtors","numeric",500,"direct_blade_variable_metadata","BLADE","c_debtors","blade-table-06-business-income-tax-bit","Trade debtors","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_deprdedc","numeric",500,"direct_blade_variable_metadata","BLADE","c_deprdedc","blade-table-06-business-income-tax-bit","Depreciation deducted","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_deprexps","numeric",500,"direct_blade_variable_metadata","BLADE","c_deprexps","blade-table-06-business-income-tax-bit","Depreciation expenses","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_div_frnkg_acnt_closg_bal_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_div_frnkg_acnt_closg_bal_amt","blade-table-06-business-income-tax-bit","Closing Franking Account Balance","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_div_frnkg_acnt_opng_bal_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_div_frnkg_acnt_opng_bal_amt","blade-table-06-business-income-tax-bit","Opening Franking Account Balance","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_divfrank","numeric",500,"direct_blade_variable_metadata","BLADE","c_divfrank","blade-table-06-business-income-tax-bit","Dividends paid franked","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_divs_fcr_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_divs_fcr_amt","blade-table-06-business-income-tax-bit","Franking credits","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_divs_frnkg_tax_ofsts_excs_amt","numeric",500,"direct_blade_variable_metadata","BLADE","c_divs_frnkg_tax_ofsts_excs_amt","blade-table-06-business-income-tax-bit","Excess franking offsets","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_divufran","integer",500,"direct_blade_variable_metadata","BLADE","c_divufran","blade-table-06-business-income-tax-bit","Unfranked dividends paid","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_dstst_cd","integer",500,"direct_blade_variable_metadata","BLADE","c_dstst_cd","blade-table-06-business-income-tax-bit","Gross distribution from trusts code","Variable name matched inst/blade_metadata/variables.csv.",""
"blade","BLADE","blade-table-06-business-income-tax-bit","c_dvidausdexplrprspctttlddctamt","numeric",500,"direct_blade_variable_metadata","BLADE","c_dvidausdexplrprspctttlddctamt","blade-table-06-business-income-tax-bit","Total deduction - decline in value of intangible depreciating assets used in exploration/prospecting","Variable name matched inst/blade_metadata/variables.csv.",""
