"asset","dataset","official_product","official_table","logical_output","variable","type","n_rows","official_description","official_valid_response"
"PLIDA","A&T","plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger","HIGHESTSCHOOLLEVELCODE","character",100,"Highest school level completed code identifies the highest level of school that a client has successfully completed.",
"PLIDA","A&T","plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger","LANGUAGEATHOMECODE","character",100,"The main language the apprentice speaks at home.",
"PLIDA","A&T","plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger","SELFASSESSEDDISABILITYCODE","character",100,"Indicates whether the person consider themselves to have a disability impairment or long-term condition.",
"PLIDA","A&T","plidage-apprentice","apprentice_journey","plidage-apprentice--apprentice_journey","CURRENTSTATUS","character",100,"CURRENTSTATUS",
"PLIDA","A&T","plidage-apprentice","apprentice_journey","plidage-apprentice--apprentice_journey","DAYSINTRAINING","character",100,"DAYSINTRAINING",
"PLIDA","A&T","plidage-apprentice","apprentice_journey","plidage-apprentice--apprentice_journey","DAYSONSUSPENSION","character",100,"DAYSONSUSPENSION",
"PLIDA","A&T","plidage-apprentice","apprenticeship_journey","plidage-apprentice--apprenticeship_journey","CURRENTSTATUS","character",100,"CURRENTSTATUS",
"PLIDA","A&T","plidage-apprentice","apprenticeship_journey","plidage-apprentice--apprenticeship_journey","DAYSINTRAINING","character",100,"DAYSINTRAINING",
"PLIDA","A&T","plidage-apprentice","apprenticeship_journey","plidage-apprentice--apprenticeship_journey","DAYSONSUSPENSION","character",100,"DAYSONSUSPENSION",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","ALL_INDUSTRIES","character",100,"ALL_INDUSTRIES",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","ARTS_AND_ENTERTAINMENT","character",100,"ARTS_AND_ENTERTAINMENT",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","AUTOMOTIVE","character",100,"AUTOMOTIVE",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","BUILDING_AND_CONSTRUCTION","character",100,"BUILDING_AND_CONSTRUCTION",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","COMMUNICATIONS","character",100,"COMMUNICATIONS",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","COMMUNITY_SERVICES_AND_HEALTH","character",100,"COMMUNITY_SERVICES_AND_HEALTH",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","FIN_INSUR_AND_BUS_S","character",100,"FIN_INSUR_AND_BUS_S",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","FURN_LGHT_MNFCTRNG","character",100,"FURN_LGHT_MNFCTRNG",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","INDUSTRIES","character",100,"INDUSTRIES",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","MANUFACTURING_ENGINEERING","character",100,"MANUFACTURING_ENGINEERING",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","MINING","character",100,"MINING",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","PROCESS_MANUFACTURING","character",100,"PROCESS_MANUFACTURING",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","PROPERTY_SERVICES","character",100,"PROPERTY_SERVICES",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","REGION","character",100,"Region",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","RETAIL_AND_WHOLESALE","character",100,"RETAIL_AND_WHOLESALE",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","SPORT_AND_RECREATION","character",100,"SPORT_AND_RECREATION",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","TOURISM","character",100,"TOURISM",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","TRANSPORT_AND_DISTRIBUTION","character",100,"TRANSPORT_AND_DISTRIBUTION",
"PLIDA","A&T","plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto","UTILITIES_AND_ELCTRTECH","character",100,"UTILITIES_AND_ELCTRTECH",
"PLIDA","A&T","plidage-apprentice","code_payment_type","plidage-apprentice--code_payment_type","DESCRIPTION","character",100,"DESCRIPTION",
"PLIDA","A&T","plidage-apprentice","code_payment_type","plidage-apprentice--code_payment_type","PAYMENTGROUPCODE","character",100,"PAYMENTGROUPCODE",
"PLIDA","A&T","plidage-apprentice","code_payment_type","plidage-apprentice--code_payment_type","PAYMENTGROUPDESCRIPTION","character",100,"PAYMENTGROUPDESCRIPTION",
"PLIDA","A&T","plidage-apprentice","code_payment_type","plidage-apprentice--code_payment_type","PAYMENTTYPECODE","character",100,"PAYMENTTYPECODE",
"PLIDA","A&T","plidage-apprentice","code_qualification","plidage-apprentice--code_qualification","FOECODE","character",100,"Foe code",
"PLIDA","A&T","plidage-apprentice","code_qualification","plidage-apprentice--code_qualification","QUALCODE","character",100,"Qualification Code",
"PLIDA","A&T","plidage-apprentice","code_qualification","plidage-apprentice--code_qualification","QUALLEVEL","character",100,"Qualification Level",
"PLIDA","A&T","plidage-apprentice","code_qualification","plidage-apprentice--code_qualification","QUALTITLE","character",100,"Qualification Title",
"PLIDA","A&T","plidage-apprentice","code_qualification","plidage-apprentice--code_qualification","TPCODE","character",100,"Tp code",
"PLIDA","A&T","plidage-apprentice","code_qualification","plidage-apprentice--code_qualification","TPTITLE","character",100,"Tp title",
"PLIDA","A&T","plidage-apprentice","code_qualification_supercededby","plidage-apprentice--code_qualification_supercededby","BASEQUALCODE","character",100,"BASEQUALCODE",
"PLIDA","A&T","plidage-apprentice","code_qualification_supercededby","plidage-apprentice--code_qualification_supercededby","ISEQUIVALENT","character",100,"ISEQUIVALENT",
"PLIDA","A&T","plidage-apprentice","code_qualification_supercededby","plidage-apprentice--code_qualification_supercededby","QUALCODESUPERCEDEDBY","character",100,"QUALCODESUPERCEDEDBY",
"PLIDA","A&T","plidage-apprentice","code_qualification_supercedes","plidage-apprentice--code_qualification_supercedes","BASEQUALCODE","character",100,"BASEQUALCODE",
"PLIDA","A&T","plidage-apprentice","code_qualification_supercedes","plidage-apprentice--code_qualification_supercedes","ISEQUIVALENT","character",100,"ISEQUIVALENT",
"PLIDA","A&T","plidage-apprentice","code_qualification_supercedes","plidage-apprentice--code_qualification_supercedes","QUALCODESUPERCEDES","character",100,,
"PLIDA","A&T","plidage-apprentice","code_rto","plidage-apprentice--code_rto","RTOTYPE","character",100,"RTOTYPE",
"PLIDA","A&T","plidage-apprentice","employer_relationship","plidage-apprentice--employer_relationship","CURRENTSTATUS","character",100,"CURRENTSTATUS",
"PLIDA","A&T","plidage-apprentice","employer_relationship","plidage-apprentice--employer_relationship","DAYSINTRAINING","character",100,"DAYSINTRAINING",
"PLIDA","A&T","plidage-apprentice","employer_relationship","plidage-apprentice--employer_relationship","DAYSONSUSPENSION","character",100,"DAYSONSUSPENSION",
"PLIDA","A&T","plidage-apprentice","intrainingsupport","plidage-apprentice--intrainingsupport","CONTACTMETHOD","character",100,"The method used to contact the apprentice.",
"PLIDA","A&T","plidage-apprentice","payments_2023","plidage-apprentice--payments_2023","PAYMENTGROUP","character",100,,
"PLIDA","A&T","plidage-apprentice","payments_2023","plidage-apprentice--payments_2023","PAYMENTSTATUSCODE","character",100,"Payment Status Code",
"PLIDA","A&T","plidage-apprentice","payments_2023","plidage-apprentice--payments_2023","PAYMENTTYPECODE","character",100,"PAYMENTTYPECODE",
"PLIDA","A&T","plidage-apprentice","prio_educational_achievement","plidage-apprentice--prio_educational_achievement","PRIOREDUACHIEVEMENTIDENT","character",100,"Prior educational achievement identifier",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","APPLICATIONSTATUSCODE","character",100,"The STA decision to approve or reject the Training Contract.",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","APPRENTICESHIPTYPE","character",100,"Australian Apprenticeship type according to STA.",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","ATSCHOOLLEVELCODE","character",100,"At School level code identifies the level of schooling in which the person is enrolled when they started the apprenticeship.",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","BUSINESSRELATIONSHIP","character",100,"Business Relationship",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","DAYSINTRAINING","character",100,"DAYSINTRAINING",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","DAYSONSUSPENSION","character",100,"DAYSONSUSPENSION",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","EMPLOYMENTARRANGEMENTCODE","character",100,"The type of employment arrangement.",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","QUALIFICATIONCODE","character",100,"Qualification code",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","STA","character",100,"The State Training Authority that approved the training contract.",
"PLIDA","A&T","plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract","TRAININGCONTRACTSTATUS","character",100,"Training Contract Status is a code that identifies the status of a training contract at a point in time.",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ADCP_21","character",100,"Australian Defence Force Service, Detailed",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_11","character",100,"Ancestry - 1st Response",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_16","character",100,"Ancestry - 1st Response",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_21","character",100,"Ancestry - 1st Response",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_FP_11","character",100,"Ancestry 1 - 1st Response of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_FP_16","character",100,"Ancestry 1 - 1st Response of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_FP_21","character",100,"Ancestry 1 - 1st Response of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_MP_11","character",100,"Ancestry 1 - 1st Response of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_MP_16","character",100,"Ancestry 1 - 1st Response of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_MP_21","character",100,"Ancestry 1 - 1st Response of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_SP_11","character",100,"Ancestry 1 - 1st Response of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_SP_16","character",100,"Ancestry 1 - 1st Response of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC1P_SP_21","character",100,"Ancestry 1 - 1st Response of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_11","character",100,"Ancestry - 2nd Response",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_16","character",100,"Ancestry - 2nd Response",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_21","character",100,"Ancestry - 2nd Response",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_FP_11","character",100,"Ancestry 2 - 2nd Response of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_FP_16","character",100,"Ancestry 2 - 2nd Response of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_FP_21","character",100,"Ancestry 2 - 2nd Response of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_MP_11","character",100,"Ancestry 2 - 2nd Response of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_MP_16","character",100,"Ancestry 2 - 2nd Response of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_MP_21","character",100,"Ancestry 2 - 2nd Response of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_SP_11","character",100,"Ancestry 2 - 2nd Response of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_SP_16","character",100,"Ancestry 2 - 2nd Response of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ANC2P_SP_21","character",100,"Ancestry 2 - 2nd Response of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ASSNP_11","character",100,"Core Activity Need for Assistance",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ASSNP_16","character",100,"Core Activity Need for Assistance",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ASSNP_FP_11","character",100,"Core Activity Need for Assistance of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ASSNP_FP_16","character",100,"Core Activity Need for Assistance of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ASSNP_MP_11","character",100,"Core Activity Need for Assistance of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ASSNP_MP_16","character",100,"Core Activity Need for Assistance of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ASSNP_SP_11","character",100,"Core Activity Need for Assistance of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","ASSNP_SP_16","character",100,"Core Activity Need for Assistance of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","BEDRD_P_11","character",100,"Number of Bedrooms in Private Dwelling (Ranges)",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","BEDRD_P_16","character",100,"Number of Bedrooms in Private Dwelling (Ranges)",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","BPFPR_16","character",100,"Country of Birth of Mother",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","BPFPR_21","character",100,"Country of Birth of Mother",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","BPLH_P_11","character",100,"Migrant Composition of Household",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","BPLH_P_16","character",100,"Migrant Composition of Household",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","BPLH_P_21","character",100,"Migrant Composition of Household",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","BPMPR_16","character",100,"Country of Birth of Father",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","BPMPR_21","character",100,"Country of Birth of Father",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CDCF_P_11","character",100,"Count of Dependent Children in Family",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CDCF_P_16","character",100,"Count of Dependent Children in Family",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CHCAREP_11","character",100,"Unpaid Child Care",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CHCAREP_16","character",100,"Unpaid Child Care",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CHCAREP_FP_11","character",100,"Unpaid Child Care Provided by Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CHCAREP_FP_16","character",100,"Unpaid Child Care Provided by Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CHCAREP_MP_11","character",100,"Unpaid Child Care Provided by Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CHCAREP_MP_16","character",100,"Unpaid Child Care Provided by Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CHCAREP_SP_11","character",100,"Unpaid Child Care Provided by Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CHCAREP_SP_16","character",100,"Unpaid Child Care Provided by Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CITP_11","character",100,"Australian Citizenship",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CITP_16","character",100,"Australian Citizenship",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CITP_FP_11","character",100,"Australian Citizenship of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CITP_FP_16","character",100,"Australian Citizenship of Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CITP_MP_11","character",100,"Australian Citizenship of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CITP_MP_16","character",100,"Australian Citizenship of Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CITP_SP_11","character",100,"Australian Citizenship of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CITP_SP_16","character",100,"Australian Citizenship of Spouse or Partner",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CNOSH_P_11","character",100,"Housing Utilisation",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CNOSH_P_16","character",100,"Housing Utilisation",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CNOSH_P_21","character",100,"Housing Utilisation",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CPRF_P_11","character",100,"Count of All Persons in Family",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CPRF_P_16","character",100,"Count of All Persons in Family",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CTGP_11","character",100,"Child Type (including grandchildren)",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CTGP_16","character",100,"Child Type (including grandchildren)",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CTGP_21","character",100,"Child Type (including grandchildren)",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CTPP_11","character",100,"Child Type",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CTPP_16","character",100,"Child Type",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","CTPP_21","character",100,"Child Type",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","DLOD_P_11","character",100,"Dwelling Location",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","DLOD_P_16","character",100,"Dwelling Location",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","DLOD_P_21","character",100,"Dwelling Location",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","DOMP_11","character",100,"Unpaid Domestic Work: Number of Hours",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","DOMP_16","character",100,"Unpaid Domestic Work: Number of Hours",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","DOMP_FP_11","character",100,"Unpaid Domestic Work: Number of Hours by Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","DOMP_FP_16","character",100,"Unpaid Domestic Work: Number of Hours by Female Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","DOMP_MP_11","character",100,"Unpaid Domestic Work: Number of Hours by Male Parent",
"PLIDA","ACLD","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","DOMP_MP_16","character",100,"Unpaid Domestic Work: Number of Hours by Male Parent",
