"dataset","variable","occurrence_count","status","determination","rule","evidence_source","caveat","official_descriptions","implementation"
"CENSUS","BEDRD",2,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/housing/number-bedrooms-private-dwelling-ranges-bedrd","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Number of Bedrooms in Private Dwelling (ranges)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","C3SP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/national-reporting/attainment-certificate-iii-or-higher-or-working-towards-non-school-qualification-c3sp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Attainment of certificate iii or higher or working towards a non-school qualification","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CACF",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1402011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1402016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-all-children-family-cacf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of All Children in Family | Count of all children in family","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CALTHD",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/count-adults-aged-15-years-and-over-selected-long-term-health-conditions-household-calthd","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of adults (15 years and over) with selected long-term health condition(s) in household","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CCLTHD",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/count-children-selected-long-term-health-conditions-household-cclthd","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of children with selected long-term health condition(s) in household","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CDCAF",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1502011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1502016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-dependent-children-under-15-family-temporarily-absent-cdcaf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of Dependent Children Under 15 Temporarily Absent | Count of dependent children under 15 in family temporarily absent","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CDCF",2,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1602011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1602016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-dependent-children-family-cdcf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of Dependent Children in Family","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CDCUF",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-dependent-children-under-15-family-cdcuf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of dependent children under 15 in family","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CDEP",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Community Development Employment Projects Participation","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CDPP",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/income-and-work/community-development-programme-participation-cdpp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Community development program participation","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CDSAF",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1702011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter1702016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-dependent-students-15-24-years-family-temporarily-absent-cdsaf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of Dependent Students (15-24 years) Temporarily Absent | Count of dependent students (15-24 years) in family temporarily absent","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CDSF",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-dependent-students-15-24-years-family-cdsf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of dependent students (15-24 years) in family","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CEDD",1,"populated","populated_official_geography","Assign an official geography code for the field's reference year, consistent with spine state where the classification permits; apply age and employment structural codes to conditional fields.","Official ABS ASGS ArcGIS services recorded in inst/extdata/codeframes/census-geography-sources.csv, lga.tsv, ireg.tsv, and phn.tsv","The codes are official, but assignment within state and historical movement or workplace location is synthetic and not population-calibrated.","Commonwealth electoral divisions (en)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CEDP",1,"populated","populated_official_geography","Assign an official geography code for the field's reference year, consistent with spine state where the classification permits; apply age and employment structural codes to conditional fields.","Official ABS ASGS ArcGIS services recorded in inst/extdata/codeframes/census-geography-sources.csv, lga.tsv, ireg.tsv, and phn.tsv","The codes are official, but assignment within state and historical movement or workplace location is synthetic and not population-calibrated.","Commonwealth electoral divisions (ur)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CHCAREP",2,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/unpaid-work-and-care/unpaid-child-care-chcarep","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Unpaid Child Care","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CITP",2,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/census-population-and-housing/data%20item%20list%20-%205%20percent%20detailed%20microdata.xls | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/australian-citizenship-citp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Australian Citizenship","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CNDAF",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2002011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2002016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-non-dependent-children-family-temporarily-absent-cndaf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of Non-Dependent Children Temporarily Absent | Count of non-dependent children in family temporarily absent","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CNDCF",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2102011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2102016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-non-dependent-children-family-cndcf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of Non-Dependent Children in Family | Count of non-dependent children in family","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COARASP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-arthritis-and-asthma-coarasp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has arthritis and asthma","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COARDBP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-arthritis-and-diabetes-coardbp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has arthritis and diabetes","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COARHDP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-arthritis-and-heart-disease-coarhdp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has arthritis and heart disease","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COARMHP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-arthritis-and-mental-health-condition-coarmhp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has arthritis and mental health condition","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COASHDP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-asthma-and-heart-disease-coashdp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has asthma and heart disease","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COASLCP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-asthma-and-lung-condition-coaslcp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has asthma and lung condition","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COCNHDP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-cancer-and-heart-disease-cocnhdp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has cancer and heart disease","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CODBHDP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-diabetes-and-heart-disease-codbhdp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has diabetes and heart disease","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CODBKDP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-diabetes-and-kidney-disease-codbkdp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has diabetes and kidney disease","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COHDKDP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-heart-disease-and-kidney-disease-cohdkdp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has heart disease and kidney disease","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COHDMHP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-heart-disease-and-mental-health-condition-cohdmhp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has heart disease and mental health condition","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","COLCMHP",1,"populated","populated_coherent_official_domain","Derive the field from related spine, labour-force, household, education, health, or imputation context and encode it in the official year-specific Census domain.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-lung-condition-and-mental-health-condition-colcmhp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Whether has lung condition and mental health condition","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CPAD",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2202011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2202016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-persons-temporarily-absent-household-cpad","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of Persons Temporarily Absent from Household | Count of persons temporarily absent from household","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CPAF",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2302011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2302016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-persons-temporarily-absent-family-cpaf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of Persons Temporarily Absent from Family | Count of persons temporarily absent from family","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CPLTHD",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/count-persons-selected-long-term-health-conditions-household-cplthd","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of persons with selected long-term health condition(s) in household","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CPLTHRD",1,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/count-persons-selected-long-term-health-conditions-household-ranges-cplthrd","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of persons with selected long-term health condition(s) in household (ranges)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CPRF",2,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2402011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2402016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/count-persons-family-cprf","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Count of Persons in Family","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
"CENSUS","CTGP",3,"populated","populated_official_codeframe","Draw a deterministic synthetic value from the exact official year-specific Census codeframe and apply documented scope or not-stated values where relevant.","https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2502011 | https://www.abs.gov.au/ausstats/abs@.nsf/Lookup/2901.0Chapter2502016 | https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/child-type-including-grandchildren-ctgp","The code domain is source-backed. Conditional relationships are enforced where implemented, but synthetic frequencies are not ABS population estimates.","Child Type (including grandchildren) | Child type (including grandchildren)","R/dil_census_values.R; R/dil_geography_values.R; src/rust/src/census_2021.rs"
