"table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_metadata_description","evidence_status","official_source_url","official_code_or_source_summary","current_generated_assessment","required_next_action"
"family","FAMILY_ID","character","F0000000001=1; F0000000002=1; F0000000003=1; F0000000004=1; F0000000005=1; F0000000006=1; F0000000007=1; F0000000008=1; F0000000009=1; F0000000010=1; F0000000011=1; F0000000012=1","F0000000001; F0000000002; F0000000003; F0000000004; F0000000005; F0000000006; F0000000007; F0000000008; F0000000009; F0000000010; F0000000011; F0000000012; F0000000013; F0000000014; F0000000015; F0000000016; F0000000017; F0000000018; F0000000019; F0000000020; F0000000021; F0000000022; F0000000023; F0000000024; F0000000025; F0000000026; F0000000027; F0000000028; F0000000029; F0000000030","Family ID | Family id variable","local_identifier_not_abs_dictionary","","Synthetic package family link identifier, not an ABS Census Dictionary category.","Keep as package linkage key; do not describe as ABS code domain.","Document as local identifier only."
"family","FMCF","character","2=289; 1=257; 3=100; 9=12","2; 1; 3; 9","Family Composition | Family composition","official_abs_dictionary_large_classification_current_subset","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/family-composition-fmcf","Hierarchical family-composition classification. Top-level includes 1 couple family no children; 2 couple family with children; 3 one-parent family; 9 other family; @@@@ not applicable.","Official page exists, but current generator emits a subset or higher-level representation; full code table still needs frozen machine-readable source for validation.","Freeze or generate the full official code table and validate every emitted code against it."
"family","SSCF","character","3=537; @=112; 1=7; 2=2","3; @; 1; 2","Same Sex Couple Indicator | Same-sex couple indicator","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/same-sex-couple-indicator-sscf","1 male same-sex couple; 2 female same-sex couple; 3 opposite-sex couple; @ not applicable.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","ADFP","character","4=1847; @=456; &=127; 3=60; 1=7; 2=3","4; @; &; 3; 1; 2","Australian defence force service","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/service-australian-defence-force/australian-defence-force-service-adfp","1 current regular service; 2 current reserves; 3 previously served; 4 never served; & not stated; @ not applicable; V overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","AGE10P","character","04=343; 03=331; 05=312; 02=311; 06=309; 01=288; 07=282; 08=205; 09=86; 10=33","04; 03; 05; 02; 06; 01; 07; 08; 09; 10","Age in ten year groups","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/population/age-ten-year-groups-age10p","Two-character ten-year age group codes 01-11; top code 11 is 100 years and over.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","AGE5P","character","07=192; 06=170; 03=168; 10=167; 12=166; 05=161; 08=151; 02=148; 13=146; 09=145; 04=143; 11=143","07; 06; 03; 10; 12; 05; 08; 02; 13; 09; 04; 11; 01; 14; 15; 16; 17; 18; 20; 19","Age in 5-year groups","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/population/age-five-year-groups-age5p","Two-character five-year age group codes 01-21; top code 21 is 100 years and over.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","AGEP","integer","0 / 20 / 39 / 59 / 99","","Age of respondent","official_abs_dictionary_numeric_or_year_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/population/age-agep","Single-year age. Current generator restricts to plausible Census ages; exact Census reference-date birthday timing remains an implementation choice.","Generated values are plausible/in-domain by local tests, but exact distribution is synthetic.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","ASSNP","character","2=2185; &=164; 1=151","2; &; 1","Core Activity Need for Assistance | Core activity need for assistance","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/disability-and-carers/core-activity-need-assistance-assnp","1 has need for assistance; 2 does not have need; & not stated; V overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","BPLP","character","1101=1664; 8000=163; 8100=137; 2100=98; 7100=63; 5100=62; 6100=48; 5200=37; 5300=23; 5400=21; 5500=19; 5800=18","1101; 8000; 8100; 2100; 7100; 5100; 6100; 5200; 5300; 5400; 5500; 5800; 5600; 7200; 5700; 6400; 6500; 6600; 6800; 6200; 6300; 6900; 7300; 7400; 7600; 6700; 7500; 7700; 5900; 7800","Country of Birth of Person | Country of birth of person","official_abs_dictionary_large_classification_current_subset","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/country-birth-person-bplp","Large country-of-birth classification with four-character codes and supplementary codes; current generator uses a compact subset.","Official page exists, but current generator emits a subset or higher-level representation; full code table still needs frozen machine-readable source for validation.","Freeze or generate the full official code table and validate every emitted code against it."
"person","CHCAREP","character","1=1317; @=456; 2=403; &=128; 3=124; 4=72","1; @; 2; &; 3; 4","Unpaid Child Care | Unpaid child care","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/unpaid-work-and-care/unpaid-child-care-chcarep","1 did not provide child care; 2 cared for own child/children; 3 cared for other child/children; 4 cared for own and other child/children; &, @, V supplementary codes.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","CITP","character","1=1818; 2=532; &=150","1; 2; &","Australian Citizenship | Australian citizenship","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/australian-citizenship-citp","1 Australian citizen; 2 not an Australian citizen; & not stated; V overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","CLTHP","character","0=1551; 1=575; &=198; 2=146; 3=30","0; 1; &; 2; 3","Count of selected long-term health conditions","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/count-selected-long-term-health-conditions-cthp","0 none; 1 one condition; 2 two conditions; 3 three or more; & not stated; V overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","DOBYP","integer","1922 / 1962 / 1982 / 2001 / 2021","","Year of birth","local_plida_or_asgs_not_public_dictionary_page","","Local PLIDA year-of-birth field in generated Census output; public 2021 Census variables index did not expose this mnemonic in the same way as standard dictionary variables.","Keep as local PLIDA/DIL or ASGS field until exact DIL/ASGS source is attached.","Attach PLIDA DIL/ASGS source before using as official geography/demographic code."
"person","DOMP","character","3=630; 2=463; @=456; 1=363; 4=266; 5=192; &=130","3; 2; @; 1; 4; 5; &","Unpaid Domestic Work: Number of Hours | Unpaid domestic work: number of hours","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/unpaid-work-and-care/unpaid-domestic-work-number-hours-domp","1 nil hours; 2 less than 5 hours; 3 5-14 hours; 4 15-29 hours; 5 30 hours or more; &, @, V supplementary codes.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","DWELLING_ID","character","D0000000358=9; D0000000174=8; D0000000539=8; D0000000754=8; D0000000378=7; D0000000473=7; D0000000646=7; D0000000695=7; D0000000781=7; D0000000855=7; D0000000989=7; D0000000116=6","D0000000358; D0000000174; D0000000539; D0000000754; D0000000378; D0000000473; D0000000646; D0000000695; D0000000781; D0000000855; D0000000989; D0000000116; D0000000180; D0000000183; D0000000195; D0000000228; D0000000246; D0000000288; D0000000298; D0000000342; D0000000347; D0000000390; D0000000582; D0000000591; D0000000608; D0000000615; D0000000673; D0000000742; D0000000770; D0000000836","Dwelling ID | Dwelling id variable","local_identifier_not_abs_dictionary","","Synthetic package dwelling link identifier, not an ABS Census Dictionary category.","Keep as package linkage key; do not describe as ABS code domain.","Document as local identifier only."
"person","FAMILY_ID","character","F0000000290=12; F0000000169=11; F0000000076=10; F0000000126=10; F0000000378=10; F0000000624=10; F0000000013=9; F0000000043=9; F0000000083=9; F0000000199=9; F0000000212=9; F0000000389=9","F0000000290; F0000000169; F0000000076; F0000000126; F0000000378; F0000000624; F0000000013; F0000000043; F0000000083; F0000000199; F0000000212; F0000000389; F0000000541; F0000000036; F0000000061; F0000000071; F0000000073; F0000000161; F0000000168; F0000000228; F0000000249; F0000000284; F0000000337; F0000000375; F0000000396; F0000000413; F0000000468; F0000000555; F0000000571; F0000000573","Family ID | Family id variable","local_identifier_not_abs_dictionary","","Synthetic package family link identifier, not an ABS Census Dictionary category.","Keep as package linkage key; do not describe as ABS code domain.","Document as local identifier only."
"person","HARTP","character","012=2232; 011=268","012; 011","Whether has arthritis","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-arthritis-hartp","011 has arthritis; 012 does not have arthritis; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HASTP","character","022=2285; 021=215","022; 021","Whether has asthma","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-asthma-hastp","021 has asthma; 022 does not have asthma; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HCANP","character","032=2439; 031=61","032; 031","Whether has cancer (including remission)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-cancer-including-remission-hcanp","031 has cancer including remission; 032 does not have cancer; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HDEMP","character","042=2490; 041=10","042; 041","Whether has dementia (including alzheimer's)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-dementia-including-alzheimers-hdemp","041 has dementia including Alzheimer's; 042 does not have dementia; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HDIAP","character","052=2388; 051=112","052; 051","Whether has diabetes (excluding gestational diabetes)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-diabetes-excluding-gestational-diabetes-hdiap","051 has diabetes excluding gestational diabetes; 052 does not have diabetes; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HEAP","character","6=492; 5=489; @=456; 3=387; 4=210; 1=199; 8=139; &=86; 2=41; 7=1","6; 5; @; 3; 4; 1; 8; &; 2; 7","Level of Highest Educational Attainment | Level of highest educational attainment","official_abs_dictionary_large_classification_current_subset","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/education-and-training/level-highest-educational-attainment-heap","Hierarchical education-attainment classification. Current generator mainly uses top-level or compact child codes; full official hierarchy remains larger.","Official page exists, but current generator emits a subset or higher-level representation; full code table still needs frozen machine-readable source for validation.","Freeze or generate the full official code table and validate every emitted code against it."
"person","HHEDP","character","062=2399; 061=101","062; 061","Whether has heart disease (including heart attack or angina)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-heart-disease-including-heart-attack-or-angina-hhedp","061 has heart disease including heart attack or angina; 062 does not have heart disease; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HKIDP","character","072=2477; 071=23","072; 071","Whether has kidney disease","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-kidney-disease-hkidp","071 has kidney disease; 072 does not have kidney disease; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HLUNP","character","082=2462; 081=38","082; 081","Whether has lung condition (including copd and emphysema)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-lung-condition-including-copd-and-emphysema-hlunp","081 has lung condition including COPD or emphysema; 082 does not have lung condition; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HMHCP","character","092=2294; 091=206","092; 091","Whether has mental health condition (including depression or anxiety)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-mental-health-condition-including-depression-or-anxiety-hmhcp","091 has mental health condition including depression or anxiety; 092 does not have mental health condition; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HRSP","character","@@=1257; 43=83; 37=82; 40=80; 36=77; 41=74; 35=70; 39=70; 34=69; 42=69; 38=68; 33=66","@@; 43; 37; 40; 36; 41; 35; 39; 34; 42; 38; 33; 16; 24; 25; 17; 21; 18; 20; 19; 15; 23; 22","Hours Worked | Hours worked","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/income-and-work/hours-worked-hrsp","Hours worked as 00-99 singly plus && not stated, @@ not applicable, VV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HRWRP","character","@@=1257; 05=367; 06=306; 03=234; 02=201; 04=135","@@; 05; 06; 03; 02; 04","Hours Worked (ranges) | Hours worked (ranges)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/income-and-work/hours-worked-ranges-hrwrp","00 0 hours; 01 1-9; 02 10-19; 03 20-29; 04 30-34; 05 35-39; 06 40-44; 07 45-49; 08 50-59; 09 60-69; 10 70+; &&, @@, VV.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HSCP","character","1=1658; @=456; 3=147; &=125; 4=54; 5=47; 6=13","1; @; 3; &; 4; 5; 6","Highest Year of School Completed | Highest year of school completed","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/education-and-training/highest-year-school-completed-hscp","1 Year 12/equivalent; 2 Year 11/equivalent; 3 Year 10/equivalent; 4 Year 9/equivalent; 5 Year 8 or below; 6 did not go to school; &, @, V.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","HSTRP","character","102=2483; 101=17","102; 101","Whether has had a stroke","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/health/whether-has-had-stroke-hstrp","101 has had a stroke; 102 has not had a stroke; &&& not stated; VVV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","INCP","character","@@=456; 09=198; 01=183; 08=162; 07=159; 04=153; 13=147; 05=146; 06=139; 10=134; 16=134; 11=118","@@; 09; 01; 08; 07; 04; 13; 05; 06; 10; 16; 11; 03; 12; 15; 02; 14","Total Personal Income (weekly) | Total personal income (weekly)","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/income-and-work/total-personal-income-weekly-incp","Weekly personal income range codes 01-16, top code 16 is $3,500 or more per week; && not stated; @@ not applicable; VV overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","INDP","character","@@@@=1257; F=153; M=123; S=120; H=107; C=97; L=76; E=74; J=64; N=60; A=54; D=51","@@@@; F; M; S; H; C; L; E; J; N; A; D; K; I; R; B; O; Q; G; P","Industry of Employment | Industry of employment","official_abs_dictionary_large_classification_current_subset","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/income-and-work/industry-employment-indp","Industry of employment classification; current generator uses selected ANZSIC division-style codes plus supplementary codes, not the full detailed official table.","Official page exists, but current generator emits a subset or higher-level representation; full code table still needs frozen machine-readable source for validation.","Freeze or generate the full official code table and validate every emitted code against it."
"person","INGP","character","1=2295; &=112; 2=86; 3=4; 4=3","1; &; 2; 3; 4","Indigenous Status | Indigenous status","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/aboriginal-and-torres-strait-islander-peoples/indigenous-status-ingp","1 non-Indigenous; 2 Aboriginal; 3 Torres Strait Islander; 4 both Aboriginal and Torres Strait Islander; & not stated; V overseas visitor.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","LANP","character","1201=1796; &&&&=398; 7104=67; 4202=34; 7101=32; 6301=28; 5211=25; 5206=22; 5203=21; 2401=17; 2301=14; 6202=14","1201; &&&&; 7104; 4202; 7101; 6301; 5211; 5206; 5203; 2401; 2301; 6202; 2303; 7203; 5208","Language Spoken at Home | Language used at home","official_abs_dictionary_large_classification_current_subset","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/cultural-diversity/language-used-home-lanp","Large language-used-at-home classification with four-character language codes and supplementary codes; current generator uses a compact subset.","Official page exists, but current generator emits a subset or higher-level representation; full code table still needs frozen machine-readable source for validation.","Freeze or generate the full official code table and validate every emitted code against it."
"person","LFSP","character","1=793; 6=734; @=456; 2=421; 4=40; 3=29; 5=27","1; 6; @; 2; 4; 3; 5","Labour Force Status | Labour force status","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/income-and-work/labour-force-status-lfsp","1 employed full-time; 2 employed part-time; 3 employed away from work; 4 unemployed looking for full-time work; 5 unemployed looking for part-time work; 6 not in labour force; &, @, V.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
"person","MSTP","character","5=952; 1=717; @=456; 3=204; 2=113; 4=58","5; 1; @; 3; 2; 4","Registered Marital Status | Registered marital status","official_abs_dictionary_small_code_set_current_tested","https://www.abs.gov.au/census/guide-census-data/census-dictionary/2021/variables-topic/household-and-families/registered-marital-status-mstp","1 never married; 2 widowed; 3 divorced; 4 separated; 5 married; @ not applicable.","Generated values are tested against the ABS-style code set; sampled distribution is synthetic and not an ABS calibration fact.","Keep source URL attached; validate emitted codes against official set and keep distribution labelled local."
