"asset","dataset","variable","occurrence_count","product_count","table_count","type","official_descriptions","official_valid_responses","example_product","example_table","example_logical_output","existing_generator_exact_match","existing_generator_match_count","existing_generator_tables","existing_generator_types","existing_generator_crosswalk_statuses","existing_generator_candidate_variables","existing_generator_candidate_products","existing_generator_basis","existing_generator_notes","evidence_exact_match","evidence_file","evidence_status","evidence_source_url","evidence_source_summary","evidence_generated_assessment","evidence_required_next_action","source_coverage","initial_action","value_semantics","target_value_rule"
"PLIDA","A&T","AUTOMOTIVE",1,1,1,"character","AUTOMOTIVE",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","BASEQUALCODE",2,1,2,"character","BASEQUALCODE",,"plidage-apprentice","code_qualification_supercededby","plidage-apprentice--code_qualification_supercededby",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","BUILDING_AND_CONSTRUCTION",1,1,1,"character","BUILDING_AND_CONSTRUCTION",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","BUSINESSRELATIONSHIP",1,1,1,"character","Business Relationship",,"plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","CITIZENSHIPCODE",1,1,1,"character","The citizenship of the apprentice.",,"plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","COMMENCEMENTTYPECODE",1,1,1,"character","COMMENCEMENTTYPECODE",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","COMMENCEMENTTYPESUBCODE",1,1,1,"character","COMMENCEMENTTYPESUBCODE",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","COMMUNICATIONS",1,1,1,"character","COMMUNICATIONS",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","COMMUNITY_SERVICES_AND_HEALTH",1,1,1,"character","COMMUNITY_SERVICES_AND_HEALTH",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","CONTACTMETHOD",1,1,1,"character","The method used to contact the apprentice.",,"plidage-apprentice","intrainingsupport","plidage-apprentice--intrainingsupport",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","CURRENTSTATUS",3,1,3,"character","CURRENTSTATUS",,"plidage-apprentice","apprentice_journey","plidage-apprentice--apprentice_journey",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","DAYSINTRAINING",4,1,4,"character","DAYSINTRAINING",,"plidage-apprentice","apprentice_journey","plidage-apprentice--apprentice_journey",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","DAYSONSUSPENSION",4,1,4,"character","DAYSONSUSPENSION",,"plidage-apprentice","apprentice_journey","plidage-apprentice--apprentice_journey",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","DESCRIPTION",1,1,1,"character","DESCRIPTION",,"plidage-apprentice","code_payment_type","plidage-apprentice--code_payment_type",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","label_or_text","Look up the official label from its generated code. Do not generate arbitrary prose."
"PLIDA","A&T","DOB_M",1,1,1,"character","Mof birth",,"plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger",TRUE,1,"A&T","integer","direct_plida_dataset_variable","DOB_M","plidage-apprentice","Direct match on generated dataset + variable name in inst/plida_metadata/variables.csv.",,TRUE,"vet-apprentice-variable-code-evidence.csv","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds.","exact_partial_or_local_variable_evidence","resolve_evidence_limit_then_route_existing_generator_field","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","DOB_Y",1,1,1,"character","Yof birth",,"plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger",TRUE,1,"A&T","integer","direct_plida_dataset_variable","DOB_Y","plidage-apprentice","Direct match on generated dataset + variable name in inst/plida_metadata/variables.csv.",,TRUE,"vet-apprentice-variable-code-evidence.csv","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds.","exact_partial_or_local_variable_evidence","resolve_evidence_limit_then_route_existing_generator_field","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","EMPLOYERRELATIONSHIPEARLIEST",1,1,1,"character","EMPLOYERRELATIONSHIPEARLIEST",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","date_or_timestamp","Generate an event date within the official reference period. Enforce the relevant chronological order."
"PLIDA","A&T","EMPLOYERRELATIONSHIPLATEST",1,1,1,"character","EMPLOYERRELATIONSHIPLATEST",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","date_or_timestamp","Generate an event date within the official reference period. Enforce the relevant chronological order."
"PLIDA","A&T","EMPLOYMENTARRANGEMENTCODE",1,1,1,"character","The type of employment arrangement.",,"plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","FIN_INSUR_AND_BUS_S",1,1,1,"character","FIN_INSUR_AND_BUS_S",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","FOECODE",1,1,1,"character","Foe code",,"plidage-apprentice","code_qualification","plidage-apprentice--code_qualification",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","FURN_LGHT_MNFCTRNG",1,1,1,"character","FURN_LGHT_MNFCTRNG",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","HIGHESTSCHOOLLEVELCODE",1,1,1,"character","Highest school level completed code identifies the highest level of school that a client has successfully completed.",,"plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","IN_MAY_23",1,1,1,"character",,,"plidage-apprentice","apprentice_address","plidage-apprentice--apprentice_address",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","INDUSTRIES",1,1,1,"character","INDUSTRIES",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","ISEQUIVALENT",2,1,2,"character","ISEQUIVALENT",,"plidage-apprentice","code_qualification_supercededby","plidage-apprentice--code_qualification_supercededby",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","LANGUAGEATHOMECODE",1,1,1,"character","The main language the apprentice speaks at home.",,"plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","MANUFACTURING_ENGINEERING",1,1,1,"character","MANUFACTURING_ENGINEERING",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","MINING",1,1,1,"character","MINING",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","PAYMENTGROUP",1,1,1,"character",,,"plidage-apprentice","payments_2023","plidage-apprentice--payments_2023",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","PAYMENTGROUPCODE",1,1,1,"character","PAYMENTGROUPCODE",,"plidage-apprentice","code_payment_type","plidage-apprentice--code_payment_type",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","PAYMENTGROUPDESCRIPTION",1,1,1,"character","PAYMENTGROUPDESCRIPTION",,"plidage-apprentice","code_payment_type","plidage-apprentice--code_payment_type",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","label_or_text","Look up the official label from its generated code. Do not generate arbitrary prose."
"PLIDA","A&T","PAYMENTSTATUSCODE",1,1,1,"character","Payment Status Code",,"plidage-apprentice","payments_2023","plidage-apprentice--payments_2023",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","PAYMENTTYPECODE",2,1,2,"character","PAYMENTTYPECODE",,"plidage-apprentice","code_payment_type","plidage-apprentice--code_payment_type",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","PRIOREDUACHIEVEMENTIDENT",1,1,1,"character","Prior educational achievement identifier",,"plidage-apprentice","prio_educational_achievement","plidage-apprentice--prio_educational_achievement",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","PROCESS_MANUFACTURING",1,1,1,"character","PROCESS_MANUFACTURING",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","PROPERTY_SERVICES",1,1,1,"character","PROPERTY_SERVICES",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","QUALCODE",1,1,1,"character","Qualification Code",,"plidage-apprentice","code_qualification","plidage-apprentice--code_qualification",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","QUALCODESUPERCEDEDBY",1,1,1,"character","QUALCODESUPERCEDEDBY",,"plidage-apprentice","code_qualification_supercededby","plidage-apprentice--code_qualification_supercededby",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","QUALCODESUPERCEDES",1,1,1,"character",,,"plidage-apprentice","code_qualification_supercedes","plidage-apprentice--code_qualification_supercedes",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","QUALIFICATIONCODE",1,1,1,"character","Qualification code",,"plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","QUALLEVEL",1,1,1,"character","Qualification Level",,"plidage-apprentice","code_qualification","plidage-apprentice--code_qualification",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","QUALTITLE",1,1,1,"character","Qualification Title",,"plidage-apprentice","code_qualification","plidage-apprentice--code_qualification",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","label_or_text","Look up the official label from its generated code. Do not generate arbitrary prose."
"PLIDA","A&T","REGION",1,1,1,"character","Region",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","RETAIL_AND_WHOLESALE",1,1,1,"character","RETAIL_AND_WHOLESALE",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","RTOTYPE",1,1,1,"character","RTOTYPE",,"plidage-apprentice","code_rto","plidage-apprentice--code_rto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","SELFASSESSEDDISABILITYCODE",1,1,1,"character","Indicates whether the person consider themselves to have a disability impairment or long-term condition.",,"plidage-apprentice","apprentice_char_ledger","plidage-apprentice--apprentice_char_ledger",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","indicator_or_flag","Use the official indicator domain. Derive the value from the linked event or person state."
"PLIDA","A&T","SPORT_AND_RECREATION",1,1,1,"character","SPORT_AND_RECREATION",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","STA",1,1,1,"character","The State Training Authority that approved the training contract.",,"plidage-apprentice","trainingcontract","plidage-apprentice--trainingcontract",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","STATUS",1,1,1,"character","Status of the wdo at the time the table was updated",,"plidage-apprentice","activity_ledger","plidage-apprentice--activity_ledger",TRUE,1,"A&T","character","direct_plida_dataset_variable","STATUS","plidage-apprentice","Direct match on generated dataset + variable name in inst/plida_metadata/variables.csv.",,TRUE,"vet-apprentice-variable-code-evidence.csv","apprentice_public_codebook_not_found_local_metadata_only","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses | https://www.ncver.edu.au/rto-hub/what-is-avetmiss | https://www.ncver.edu.au/__data/assets/pdf_file/0022/62383/AVETMISS-Data-element-definitions-2_3-Nov-2022.pdf | https://www.dewr.gov.au/australian-apprenticeships","DEWR sources support the Australian Apprenticeships program context and AVETMISS covers apprentice/trainee collections. This pass did not find a public A&T variable-level codebook proving the generated compact labels.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds.","exact_partial_or_local_variable_evidence","resolve_evidence_limit_then_route_existing_generator_field","date_or_timestamp","Generate an event date within the official reference period. Enforce the relevant chronological order."
"PLIDA","A&T","TOURISM",1,1,1,"character","TOURISM",,"plidage-apprentice","code_employer_gto","plidage-apprentice--code_employer_gto",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","dataset_specific_value","Define a dataset-specific rule from the official variable definition. Link the rule to related generated fields."
"PLIDA","A&T","TPCODE",1,1,1,"character","Tp code",,"plidage-apprentice","code_qualification","plidage-apprentice--code_qualification",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","categorical_codeframe","Use the official vintage-specific codeframe. Preserve structural and item non-response as missing."
"PLIDA","A&T","TPTITLE",1,1,1,"character","Tp title",,"plidage-apprentice","code_qualification","plidage-apprentice--code_qualification",FALSE,0,,,,,,,,FALSE,,"no_exact_variable_evidence",,,,,"no_exact_variable_evidence","source_required_before_implementation","label_or_text","Look up the official label from its generated code. Do not generate arbitrary prose."
