"dataset","variable","status","value_domain","values","n_values","values_are_sample","full_list_size","value_source","value_source_url","variable_description","description_source","description_source_url","value_definition","limitation","description_provenance","value_provenance","confidence","rationale","evidence_quote","supersedes_rationale","research_file","enumerated"
"A&T","COMMENCEMENTTYPECODE","guessed","Type of apprenticeship commencement activity","[""C: Commencement"",""R: Recommencement""]",2,FALSE,,"DEWR, Australian Apprenticeship Service Delivery Operating Guidelines (Appendix E, 2024-2026 Deed RFT); Approved Apprenticeship/Traineeship Training Contract, ACT Approved Form AF2006-518 (national Training Contract instrument)","https://tenders.api.employment.gov.au/v1/attachments/a32b1f1a-4536-ee11-bdf4-6045bd3d3254/3.%20Appendix%20E%20Draft%20Australian%20Apprenticeship%20Service%20Delivery%20Operating%20Guidelines.pdf",,,,,,,,"medium","Commonwealth apprenticeship administration draws one primary distinction at the start of an activity: a commencement, where the apprentice starts a Training Contract, and a recommencement, defined in the departmental guidelines as an apprentice continuing an existing STA-approved Training Contract with a new employer. The Training Contract's incentives section names the same pair. The field sits on activity_ledger, which records these events. The letter codes are inferred.","These Incentives can include Commencement, Recommencement, Completion and other special incentives.","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The commencement/recommencement distinction is published by DEWR.","findings-at.json",TRUE
"A&T","COMMENCEMENTTYPESUBCODE","guessed","Sub-classification of the commencement type","[]",0,TRUE,,"Approved Apprenticeship/Traineeship Training Contract, ACT Approved Form AF2006-518 (national Training Contract instrument), questions 7 and 19","https://www.legislation.act.gov.au/af/2006-518/20061223-31623/pdf/2006-518.pdf",,,,,,,,"low","The field is a subordinate code under COMMENCEMENTTYPECODE on activity_ledger, so it refines commencement or recommencement rather than replacing it. The distinctions the system actually needs at commencement are the ones that drive incentive eligibility and that the Training Contract asks about: existing worker (question 7), school-based apprenticeship (question 19), and, for recommencements, a change of employer. The values are an inferred shape, not a published list.","Is the apprentice/trainee an existing worker?",,"findings-at.json",FALSE
"A&T","COMMUNICATIONS","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw",,,,,,,,"high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'Communications' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","COMMUNITY_SERVICES_AND_HEALTH","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw",,,,,,,,"high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'Community Services and Health' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","CONTACTMETHOD","guessed","Channel used to contact the apprentice","[""Face-to-face (in person)"",""Face-to-face (visual electronic)"",""Telephone"",""Email"",""SMS"",""Mail""]",6,FALSE,6,"DEWR, Australian Apprenticeship Service Delivery Operating Guidelines (Appendix E, 2024-2026 Deed RFT)","https://tenders.api.employment.gov.au/v1/attachments/a32b1f1a-4536-ee11-bdf4-6045bd3d3254/3.%20Appendix%20E%20Draft%20Australian%20Apprenticeship%20Service%20Delivery%20Operating%20Guidelines.pdf",,,,,,,,"medium","The intrainingsupport table records provider contacts with the apprentice, and the department's own operating guidelines for those services enumerate the permitted channels as ADMS, face-to-face, email, telephone, SMS and mail, and separately distinguish in-person face-to-face from 'visual electronic' face-to-face. ADMS is the system itself rather than a contact channel, so it is left out. The labels are published; the stored codes are not.","ADMS face-to-face Email telephone SMS mail","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The service delivery guidelines do publish the contact channels for exactly this service.","findings-at.json",TRUE
"A&T","DESCRIPTION","guessed","Label for the payment type","[]",0,TRUE,,"DEWR, Australian Apprenticeship Service Delivery Operating Guidelines (Appendix E, 2024-2026 Deed RFT); Approved Apprenticeship/Traineeship Training Contract, ACT Approved Form AF2006-518 (national Training Contract instrument)","https://tenders.api.employment.gov.au/v1/attachments/a32b1f1a-4536-ee11-bdf4-6045bd3d3254/3.%20Appendix%20E%20Draft%20Australian%20Apprenticeship%20Service%20Delivery%20Operating%20Guidelines.pdf",,,,,,,,"medium","DESCRIPTION sits on code_payment_type beside PAYMENTTYPECODE, PAYMENTGROUPCODE and PAYMENTGROUPDESCRIPTION, which is the standard code-plus-label pair. It therefore holds the free-text name of the payment type. code_payment_type is the reference table behind the payments_2023 records, which are Australian Apprenticeships incentive and support payments. The named payments are read off two departmental documents: the Training Contract, which names the commencement, recommencement and completion incentives plus Living Away From Home Allowance and disability wage support, and the AASN operating guidelines, which name DAAWS, LAFHA, TSL, AATSP, NEASP, the Priority Wage Subsidy, the Hiring Incentive and the AISS payment. The payment names are published; the internal codes are not, and the list changed when the Incentives System replaced the Incentives Program on 1 July 2022, so the full internal table spans both programmes.","These Incentives can include Commencement, Recommencement, Completion and other special incentives.","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a label column, so its content is the published payment names.","findings-at.json",FALSE
"A&T","FIN_INSUR_AND_BUS_S","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw",,,,,,,,"high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'Finance, Insurance and Business Services' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","FOOD_INDUSTRY","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw",,,,,,,,"high","A per-industry membership flag in code_employer_gto, which is keyed on EMPLOYERGUID with one row per Group Training Organisation and 21 industry-named columns. The published GTO directory tags a single organisation with many industries at once, so each column is a membership flag rather than a code. This corrects an earlier reading of the field as an ANZSIC industry code, which rested only on the _INDUSTRY suffix; ANZSIC has no Food, Forestry, Primary or Public Sector category, and public sector is an institutional-sector concept rather than an industry at all.",,"Replaces an inferred ANZSIC industry code domain that could not hold: four columns in one block cannot be open ANZSIC codes while their 17 neighbours are two-value flags.","findings-at.json",TRUE
"A&T","FOREST_INDUSTRY","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw",,,,,,,,"high","A per-industry membership flag in code_employer_gto, which is keyed on EMPLOYERGUID with one row per Group Training Organisation and 21 industry-named columns. The published GTO directory tags a single organisation with many industries at once, so each column is a membership flag rather than a code. This corrects an earlier reading of the field as an ANZSIC industry code, which rested only on the _INDUSTRY suffix; ANZSIC has no Food, Forestry, Primary or Public Sector category, and public sector is an institutional-sector concept rather than an industry at all.",,"Replaces an inferred ANZSIC industry code domain that could not hold: four columns in one block cannot be open ANZSIC codes while their 17 neighbours are two-value flags.","findings-at.json",TRUE
"A&T","FURN_LGHT_MNFCTRNG","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw",,,,,,,,"high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'Furnishing / Light Manufacturing' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","INDUSTRIES","guessed","Free-text list of Group Training Organisation industry tags","[]",0,TRUE,,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw",,,,,,,,"low","INDUSTRIES sits on the same code_employer_gto row as the 21 single-industry flag columns, so it is the roll-up of those flags. The GTO directory renders each organisation's coverage as one delimited string of industry names, which is the most likely content; a simple count of flagged industries is the alternative. The sample values are constructed from the directory vocabulary to show the shape, not read from ADMS.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The shape is inferable from the surrounding columns, but the choice between a delimited name list and a count is not.","findings-at.json",FALSE
"A&T","ISEQUIVALENT","guessed","Qualification equivalence flag","[""Y: equivalent to the qualification it supersedes"",""N: not equivalent""]",2,FALSE,2,"training.gov.au Qualification Mapping Information table, E/NE column","https://training.gov.au/TrainingComponentFiles/CPC/CPC30220_R1.pdf",,,,,,,,"high","Every training.gov.au qualification mapping row carries a two-valued equivalence column headed 'E/NE', taking E for equivalent and NE for not equivalent, and the code_qualification_supercedes and code_qualification_supercededby tables reproduce that mapping row. The domain is therefore binary. The field name begins 'IS', so ADMS most likely stores it as Y/N or 1/0 rather than the literal E/NE that training.gov.au prints, which is why this is recorded as guessed rather than sourced.","Supersedes and is equivalent to: CPC30211 Certificate III in Carpentry.","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The number of values is published even though the literal codes are not.","findings-at.json",TRUE
"A&T","MANUFACTURING_ENGINEERING","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw",,,,,,,,"high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'Manufacturing Engineering' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","MINING","guessed","Group Training Organisation industry coverage flag","[""Y: the Group Training Organisation places apprentices in this industry"",""N: it does not""]",2,FALSE,2,"NSW Government, 'Find a GTO in NSW' Group Training Organisation directory (industry coverage vocabulary)","https://www.nsw.gov.au/education-and-training/apprentices-and-trainees/employers/find-a-gto-nsw",,,,,,,,"high","This is one column in a wide reference table, code_employer_gto, keyed on EMPLOYERGUID with one row per Group Training Organisation; its 21 industry-named columns reproduce, one for one, the industry tag vocabulary used in the published GTO directory, in which 'Mining' is a single selectable tag and a GTO carries many tags at once. A per-industry column over a multi-tag vocabulary is a membership flag, not a coded classification.","Automotive, Building and Construction, Communications, Community Services and Health, Finance, Insurance and Business Services","The earlier pass looked for an internal ADMS codeframe and found none, so marked the field typed missing. It did not ask the narrower question of what shape the field takes. The field is a flag, so a two-value domain is defensible even though the literal codes (Y/N versus 1/0) are not published.","findings-at.json",TRUE
"A&T","PAYMENTGROUP","guessed","Payment group","[]",0,TRUE,,"DEWR, Australian Apprenticeship Service Delivery Operating Guidelines (Appendix E, 2024-2026 Deed RFT)","https://tenders.api.employment.gov.au/v1/attachments/a32b1f1a-4536-ee11-bdf4-6045bd3d3254/3.%20Appendix%20E%20Draft%20Australian%20Apprenticeship%20Service%20Delivery%20Operating%20Guidelines.pdf",,,,,,,,"low","PAYMENTGROUP is the copy of the payment group carried on the payments_2023 record itself, joining to PAYMENTGROUPCODE on code_payment_type. The payment group is the higher of the two tiers in code_payment_type, with several payment types under each group. The payments_2023 record carries both GSTAMOUNT and PAYGTAXAMOUNT: GST applies to payments made to a business, PAYG withholding to taxable payments made to an individual, and the departmental guidelines confirm that AATSP and NEASP are taxable apprentice payments while the Hiring Incentive and Priority Wage Subsidy go to employers. Splitting payment types by recipient is therefore the most likely grouping. A grouping by programme (Incentives Program before 1 July 2022, Incentives System after, and Trade Support Loans separately) is a plausible alternative, and neither grouping is published. The letter codes shown are inferred.","AATSP, and/or NEASP for taxation purposes",,"findings-at.json",FALSE
"A&T","PAYMENTGROUPCODE","guessed","Payment group","[]",0,TRUE,,"DEWR, Australian Apprenticeship Service Delivery Operating Guidelines (Appendix E, 2024-2026 Deed RFT)","https://tenders.api.employment.gov.au/v1/attachments/a32b1f1a-4536-ee11-bdf4-6045bd3d3254/3.%20Appendix%20E%20Draft%20Australian%20Apprenticeship%20Service%20Delivery%20Operating%20Guidelines.pdf",,,,,,,,"low","The payment group is the higher of the two tiers in code_payment_type, with several payment types under each group. The payments_2023 record carries both GSTAMOUNT and PAYGTAXAMOUNT: GST applies to payments made to a business, PAYG withholding to taxable payments made to an individual, and the departmental guidelines confirm that AATSP and NEASP are taxable apprentice payments while the Hiring Incentive and Priority Wage Subsidy go to employers. Splitting payment types by recipient is therefore the most likely grouping. A grouping by programme (Incentives Program before 1 July 2022, Incentives System after, and Trade Support Loans separately) is a plausible alternative, and neither grouping is published. The letter codes shown are inferred.","AATSP, and/or NEASP for taxation purposes",,"findings-at.json",FALSE
"A&T","PAYMENTGROUPDESCRIPTION","guessed","Label for the payment group","[]",0,TRUE,,"DEWR, Australian Apprenticeship Service Delivery Operating Guidelines (Appendix E, 2024-2026 Deed RFT)","https://tenders.api.employment.gov.au/v1/attachments/a32b1f1a-4536-ee11-bdf4-6045bd3d3254/3.%20Appendix%20E%20Draft%20Australian%20Apprenticeship%20Service%20Delivery%20Operating%20Guidelines.pdf",,,,,,,,"low","PAYMENTGROUPDESCRIPTION is the label paired with PAYMENTGROUPCODE on code_payment_type, so it holds the free-text name of the group. The payment group is the higher of the two tiers in code_payment_type, with several payment types under each group. The payments_2023 record carries both GSTAMOUNT and PAYGTAXAMOUNT: GST applies to payments made to a business, PAYG withholding to taxable payments made to an individual, and the departmental guidelines confirm that AATSP and NEASP are taxable apprentice payments while the Hiring Incentive and Priority Wage Subsidy go to employers. Splitting payment types by recipient is therefore the most likely grouping. A grouping by programme (Incentives Program before 1 July 2022, Incentives System after, and Trade Support Loans separately) is a plausible alternative, and neither grouping is published.","AATSP, and/or NEASP for taxation purposes",,"findings-at.json",FALSE
"A&T","PAYMENTSTATUSCODE","guessed","Payment or claim lifecycle status","[]",0,TRUE,,"DEWR, Australian Apprenticeship Service Delivery Operating Guidelines (Appendix E, 2024-2026 Deed RFT)","https://tenders.api.employment.gov.au/v1/attachments/a32b1f1a-4536-ee11-bdf4-6045bd3d3254/3.%20Appendix%20E%20Draft%20Australian%20Apprenticeship%20Service%20Delivery%20Operating%20Guidelines.pdf",,,,,,,,"medium","The payments_2023 row carries APPROVEDDATE, CLEARINGDOCDATE ('the date the payment was deposited into the recipient's account') and PAYMENTSTATUSDATE, so the status tracks a claim from lodgement through approval to deposit. The departmental guidelines describe claims being lodged in ADMS, paid once the due date falls, and overpayments being identified and recovered, which gives the terminal states. The stored codes are not published and the real list is probably longer.","ADMS will allow claims to be paid once the due date has fallen.",,"findings-at.json",FALSE
