"dataset","table","variable","type","observed_generated_domain_or_distribution","observed_small_domain_values","plida_or_crosswalk_variable","plida_or_crosswalk_description","crosswalk_status","evidence_status","source_url","source_summary","current_generated_assessment","required_next_action"
"DEX","DEX","SCORE_PRE","integer","1 / 1 / 2 / 3 / 3","1; 2; 3","OUTCOMEDOMAINSCORE","An outcome domain rating recorded for a given client outcome assessment, represented by a score 1-5.","manual_same_dataset_plida_concept_match","official_dex_score_range_distribution_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DEX policy/protocols support SCORE outcomes; local PLIDA metadata describes outcome-domain score as 1-5. The generated pre/post distribution and monotonic rule are synthetic local behaviour.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep generated frequencies/distributions labelled synthetic unless calibrated against official aggregate or source-data evidence."
"DEX","DEX","SESSION_DATE","Date","2015-01-13 to 2024-12-12","","CONDUCTEDDATE","The date a given session took place.","manual_same_dataset_plida_concept_match","dex_protocol_context_generated_domain_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS Data Exchange policy/protocols support DEX service, client, SCORE, extended-data, and exit-reason concepts. The exact generated labels remain local unless separately matched to a protocol field-value table.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Keep this row under source-backed regression tests and retain the cited source."
"DEX","DEX","STATE_ASGS_2021","integer","1 / 1 / 2 / 3 / 8","1; 2; 3; 4; 5; 6; 7; 8","STATE_ASGS_2021","State (number)","direct_plida_dataset_variable","dex_protocol_context_generated_domain_local","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS Data Exchange policy/protocols support DEX service, client, SCORE, extended-data, and exit-reason concepts. The exact generated labels remain local unless separately matched to a protocol field-value table.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Keep this row under source-backed regression tests and retain the cited source."
"DEX","DEX","SYNTHETIC_AEUID","character","75FF80000004=1; 75FF8000000C=1; 75FF80000030=1; 75FF80000050=1; 75FF80000052=1; 75FF80000068=1; 75FF80000071=1; 75FF800000B3=1; 75FF8000010D=1; 75FF80000125=1; 75FF80000128=1; 75FF8000014E=1","75FF80000004; 75FF8000000C; 75FF80000030; 75FF80000050; 75FF80000052; 75FF80000068; 75FF80000071; 75FF800000B3; 75FF8000010D; 75FF80000125; 75FF80000128; 75FF8000014E; 75FF8000015C; 75FF80000161; 75FF80000175; 75FF8000017C; 75FF8000018D; 75FF800001AE; 75FF800001C9; 75FF800001E4; 75FF800001E7; 75FF800001F6; 75FF8000021C; 75FF80000221; 75FF8000022B; 75FF80000243; 75FF80000272; 75FF80000283; 75FF80000288; 75FF800002B3","SYNTHETIC_AEUID","Anonymised DEX person level id","direct_plida_dataset_variable","local_identifier_not_public_source_variable","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","This is a generated package linkage identifier, not an official public DSS code distribution.","Generated identifier shape is observed local output; it is not an official public code distribution.","Keep this as a generated linkage identifier check; do not cite it as a public source variable."
"DOMINO","det_ben","BEN_STATUS","character","CUR=1418; SUS=24","CUR; SUS","BEN_STATUS","Benefit status","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","det_ben","BEN_TYPE_CODE","character","AGE=583; JSP=347; YAL=206; PPP=91; PPS=90; FTB=48; DSP=42; ABY=15; AUS=11; CAR=6; CDA=3","AGE; JSP; YAL; PPP; PPS; FTB; DSP; ABY; AUS; CAR; CDA","BEN_TYPE_CODE","Recipient benefit type code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","det_ben","DURN_DAYS","integer","3.00 / 134.00 / 356.00 / 539.75 / 730.00","","DURN_DAYS","Duration of episode (days)","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed quantiles/ranges are synthetic generated-output evidence, not an official distribution.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","det_ben","END_RSN","character","CAN=316; SUS=24","CAN; SUS","END_RSN","End reason","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","det_ben","END_RSN_CODE","character","EMP=88; OTH=51; INC=43; APR=33; NFR=32; ASS=25; AGE=20; FSD=18; 6WK=17; CLR=6; NRQ=4; ADE=3","EMP; OTH; INC; APR; NFR; ASS; AGE; FSD; 6WK; CLR; NRQ; ADE","END_RSN_CODE","End reason code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","det_ben","PERIOD_END_DATE","Date","2020-02-22 to 2021-12-31","","PERIOD_END_DATE","Event end date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","det_ben","PERIOD_START_DATE","Date","2020-01-01 to 2021-12-28","","PERIOD_START_DATE","Event start date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","det_ben","SYNTHETIC_AEUID","character","75FF80000002=1; 75FF80000003=1; 75FF80000004=1; 75FF80000008=1; 75FF8000000C=1; 75FF80000018=1; 75FF80000019=1; 75FF8000001E=1; 75FF80000020=1; 75FF80000021=1; 75FF80000026=1; 75FF80000027=1","75FF80000002; 75FF80000003; 75FF80000004; 75FF80000008; 75FF8000000C; 75FF80000018; 75FF80000019; 75FF8000001E; 75FF80000020; 75FF80000021; 75FF80000026; 75FF80000027; 75FF80000029; 75FF8000002D; 75FF80000031; 75FF80000035; 75FF80000038; 75FF8000003A; 75FF8000003B; 75FF80000041; 75FF80000042; 75FF80000043; 75FF80000046; 75FF80000051; 75FF80000058; 75FF8000005C; 75FF80000060; 75FF80000061; 75FF80000063; 75FF80000065","SYNTHETIC_AEUID","Synthetic MADIP Person ID","direct_plida_dataset_variable","local_identifier_not_public_source_variable","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","This is a generated package linkage identifier, not an official public DSS code distribution.","Generated identifier shape is observed local output; it is not an official public code distribution.","Keep this as a generated linkage identifier check; do not cite it as a public source variable."
"DOMINO","edu_lvl","LVL_ATTAINED","character","05=395; 03=344; 02=314; 01=229; 04=160","05; 03; 02; 01; 04","LVL_ATTAINED","Education level attained code","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","edu_lvl","LVL_ATTAINED_DESC","character","Bachelor or higher=395; Certificate III/IV=344; Year 12=314; Below Year 12=229; Diploma/Advanced Diploma=160","Bachelor or higher; Certificate III/IV; Year 12; Below Year 12; Diploma/Advanced Diploma","LVL_ATTAINED_DESC","Education level attained description","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed values are the current fplida generated domain; source equivalence depends on the evidence status.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","edu_lvl","PERIOD_END_DATE","Date","2021-12-31 to 2021-12-31","2021-12-31","PERIOD_END_DATE","Event end date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
"DOMINO","edu_lvl","PERIOD_START_DATE","Date","2020-01-01 to 2021-01-01","2020-01-01; 2021-01-01","PERIOD_START_DATE","Event start date","direct_plida_dataset_variable","domino_aristotle_dataset_context_public_code_table_not_found","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation | https://www.dss.gov.au/doing-business-us/corporate-policies/metadata-research-datasets | https://dss.aristotlecloud.io/item/1942/dataset/domino-external-analytical-version | https://dex.dss.gov.au/policy | https://dex.dss.gov.au/sites/default/files/documents/2023-03/1931-data-exchange-protocols.pdf | https://dex.dss.gov.au/sites/default/files/documents/2025-09/2646-2536-chsp-dex-protocols.pdf","DSS confirms DOMINO as longitudinal social-security administrative data and points users to Aristotle metadata; the public dataset entry supports dataset context, but this pass did not locate public variable-level pages proving generated DOMINO code values.","Observed date range is synthetic generated-output evidence unless an official source is attached separately.","Find a public variable/code-table source or keep this row labelled local/synthetic in future builds."
