"Table.Number","Sheet","Table.Name","Product.Name","Item","Variable.Name","Variable.Level","Valid.Response","Available.Periods"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Standard Institutional Sector Classification of Australia (SISCA) 2006","x_sisca06","ABN level","0 - Unknown or missing","2005-06;2006-07;2007-08;2008-09"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Standard Institutional Sector Classification of Australia (SISCA) 1993","x_sisca93","ABN level","0 - Unknown or missing","2001-02;2002-03;2003-04;2004-05"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Derived Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","d_anzsic06","ABN level","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Derived Standard Institutional Sector Classification of Australia (SISCA) 2008","d_sisca08","ABN level","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Type of Legal Organisation (TOLO)","x_tolo","ABN level","Profiled Population","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Postcode","x_pcode","ABN level","4 digit numeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","States of operation","x_st_op","ABN level","9 digit numeric category States of operation. e.g. - '100050780' operates in NSW,WA,NT,ACT Profiled population: stored and maintained at TAU level, Non-profiled population: from ABN registration data 1 - NSW 2 - Victoria 3 - Queensland 4 - South Australia 5 - Western Australia 6 - Tasmania 7 - Northern Territory 8 - Australian Capital Territory","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","State","x_state","ABN level","0 - Unknown or missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Alive status","x_al_st","ABN level","0 = Dead / Cancelled 1 = Alive / Active 2 = Excluded units: not enough information available to stratify 9 = ABN linked to profiled population","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Non Profit Institution flag","x_npi","ABN level","1 = non profit institution 2 = other institution 9 = not determined","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Private/Public indicator","x_sector","ABN level","1 = private 2 = public 9 = not determined","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Income Tax instalment payer roles","x_itip","ABN level","n - does not exist 0 - cancelled 1 = active L - Long term non-remitter","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Income Tax Withholiding roles","x_itw","ABN level","n - does not exist 0 - cancelled 1 = active L - Long term non-remitter","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","Goods and services tax payer role","x_gstp","ABN level","n - does not exist 0 - cancelled 1 = active L - Long term non-remitter","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
1,"1","Cross-sectional Indicative data items","blade-table-01-cross-sectional-indicative-data-items","De-identified lead GST grouped ABN","x_gst_bn","ABN level","10 digit alphanumeric Blank = ABN is not part of a GST Group ABNs with a non-missing x_gst_bn value are part of a GST Group. The x_gst_bn ABN value is the representative member that completes activity statements and ccounts for GST on behalf of the whole group. See GST Groups for more information.","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Identifier - deidentified unit_id","id","","10 digit alphanumeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","BLADE Enterprise Group ID","bg_id","","10 digit alphanumeric Blank = unit is not part of a BLADE Enterprise Group ABNs with a bg_id are part of the profiled population. ABNs with no bg_id are part of the non-profiled population.","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Integration version (internal ABS reference)","frame_version","","8 digit alphanumeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Time series ID (last 2 digits of end year in a financial year)","tsid","","2 digit numeric example: 2020/2021 = '21'","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Latest Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","latest_anzsic06","","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","cast_anzsic06","","4 digit numeric 0 or 9999 - Unknown or missing","2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Derived Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006","d_anzsic06","","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Australian and New Zealand Standard Industrial Classification (ANZSIC), 1993","cast_anzsic93","","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Latest derived Industry Division 2006","latest_div06","","A - Agriculture, Forestry and Fishing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Derived Industry Division 2006 (cast) - derived from either cast_anzsic06 or d_anzsic06","d_div06","","1 digit alphanumeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Latest Standard Institutional Sector Classification of Australia (SISCA) 2008","latest_sisca08","","0 - Unknown or missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Standard Institutional Sector Classification of Australia (SISCA) 2008","cast_sisca08","","4 digit numeric 0 or 9999 - Unknown or missing","2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Derived Standard Institutional Sector Classification of Australia (SISCA) 2008","d_sisca08","","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Standard Institutional Sector Classification of Australia (SISCA) 2006","cast_sisca06","","4 digit numeric 0 or 9999 - Unknown or missing","2005-06;2006-07;2007-08"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Standard Institutional Sector Classification of Australia (SISCA) 1993","cast_sisca93","","4 digit numeric 0 or 9999 - Unknown or missing","2001-02;2002-03;2003-04;2004-05"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Type of Legal Organisation (TOLO)","cast_tolo","","Profiled Population","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","States of operation","cast_st_op","","9 digit numeric category","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Non Profit Institution flag","cast_npi","","1 = non profit institution 2 = other institution 9 = not determined","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Private/Public indicator","cast_sector","","1 = private 2 = public 9 = not determined","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","State","cast_state","","0 - Unknown or missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Postcode","cast_pcode","","4 digit numeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Cross-sectional Alive status","x_al_st","","0 = Dead / Cancelled 1 = Alive / Active 2 = Excluded units: not enough information available to stratify 9 = ATO Client / ABN linked to profiled population . = Unknown or missing","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
2,"2","Longitudinal Indicative data items","blade-table-02-longitudinal-indicative-data-items","Impute code; denotes where units have been 'cast' back or forward in time to maintain longitudinal nature of the dataset","impute","","0 = Years in which the Unit has not been cast 1 = Years in which the Unit is in the ABS profiled population and has been cast backward 2 = Years in which the Unit is in the ABS profiled population and has been cast forward 3 = Years in which the Unit is not in the ABS profiled population and has been cast forward or backward","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Identifier - deidentified ABN","bn","","10 digit alphanumeric","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Identifier - deidentified Ag unit_id ID of farm in a single location. Can relate to multiple activities eg growing wheat AND farming sheep.","s_ag_id","","10 digit alphanumeric","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Identifier deidentified previous Ag UNITID (may have changed over years)","s_previd","","10 digit alphanumeric","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","identifier - deidentified 'related entity' id Shows ag units/ABNs that have a reporting relationship","s_re_id","","10 digit alphanumeric","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Integration version (internal ABS reference)","ag_version","","8 digit alphanumeric ""in129_v1""","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Time series identifier (last 2 digits of end year in a financial year)","tsid","","2 digit numeric example: 2020/2021 = '21'","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Derived Ag ANZSIC 2006 Class Derived from reported survey and frame variables, showing the main activity by value (nb May or may not be an Agriculture Industry ANZSIC)","d_ag_anzsic06_class","","4 digit numeric 0 or 9999 - Unknown or missing","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Derived Ag ANZSIC 2006 Group (3 digit) Derived from 4 digit class ANZSIC. Those sensitive 4 digit ANZSICs in certain states will only have a 3 digit ANZSIC available.","d_ag_anzsic06_group","","3 digit numeric 0 or 999 - Uknown or missing","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Derived expected value of agricultural operations (derived from reported and frame variables)","d_evao","","Numeric ($)","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Derived area of holdings (derived from reported and frame variables)","d_aoh","","Numeric (ha)","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Derived state variable (derived from geographical area codes)","d_ag_state","","0 - Unknown or missing 1 - NSW 2 - VIC 3 - QLD 4 - SA 5 - WA 6 - TAS 7 - NT 8 - ACT","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Statistical Area 1 Code","sa1_code_2021","","Numeric","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Statistical Area 2 Code","sa2_code_2021","","Numeric","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
3,"3","Agricultural Indicative data items","blade-table-03-agricultural-indicative-data-items","Full name of SA2","sa2_name_2021","","Char","2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Identifier bn - deidentified ABN","bn","","10 digit alphanumeric","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Integration version (internal ABS reference)","bas_version","","8 digit alphanumeric example: ""in140_v1""","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Time series ID (last 2 digits of end year in a financial year)","tsid","","2 digit numeric example: 2020/2021 = '21'","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Financial year quarter data is in reference to**","quarter","","6 digit alphanumeric YYYY is a financial year, i.e. 2021, 2122 ""YYYYQ1"" = July to September ""YYYYQ2"" = October to December ""YYYYQ3"" = January to March ""YYYYQ4"" = April to June","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Month data is in reference to***","month_actioned","","3 Character Mmm i.e. ""Jan"", ""Feb""","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Total sales (excludes GST)","turnover","","Numeric ($)","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Export sales*","exports_amt","","Numeric ($)","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Other GST-free sales*","other_gst_free_sales","","Numeric ($)","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Capital purchases*","capex","","Numeric ($)","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Non-capital purchases*","oexp","","Numeric ($)","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Total Expenditure (capex + oexp, excluding GST)","tot_expenses","","Numeric ($)","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Total salary, wages and other payments","wages","","Numeric ($)","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
4,"4","Business Activity Statement (BAS)","blade-table-04-business-activity-statement-bas","Amount withheld from salary, wages and other payments","p_wrk_amt","","Numeric ($)","2001-02;2002-03;2003-04;2004-05;2005-06;2006-07;2007-08;2008-09;2009-10;2010-11;2011-12;2012-13;2013-14;2014-15;2015-16;2016-17;2017-18;2018-19;2019-20;2020-21;2021-22;2022-23;2023-24;2024-25;2025-26"
