"Table.Number","Sheet","Table.Name","Table.Title","Product.Name","Reference.Period","Scope","Header.Row"
36,"36","JobKeeper Payment Scheme","Table 36: JobKeeper Payment Scheme, 2019-20 to 2020-21","blade-table-36-jobkeeper-payment-scheme","2019-20 to 2020-21","requestable",6
37,"37","JobMaker Hiring Credit Scheme","Table 37: JobMaker Hiring Credit Scheme, 2020-21 to 2022-23","blade-table-37-jobmaker-hiring-credit-scheme","2020-21 to 2022-23","requestable",6
38,"38","Business Characteristics Survey (BCS) survey weights","Table 38: Business Characteristics Survey (BCS) survey weights, 2007-08 to 2019-20","blade-table-38-business-characteristics-survey-bcs-survey-weights","2007-08 to 2019-20","requestable",6
39,"39","Business Characteristics Survey: Digital Activity Module (DAM) survey weights","Table 39: Business Characteristics Survey: Digital Activity Module (DAM) survey weights, 2021-22","blade-table-39-business-characteristics-survey-digital-activity-module-dam-survey-wei","2021-22","requestable",6
40,"40","Business Characteristics Survey: Innovation Module (IM) survey weights","Table 40: Business Characteristics Survey: Innovation Module (IM) survey weights, 2022-23","blade-table-40-business-characteristics-survey-innovation-module-im-survey-weights","2022-23","requestable",6
41,"41","Business Characteristics Survey: Management Capabilities Module (MCM) survey weights","Table 41: Business Characteristics Survey: Management Capabilities Module (MCM) survey weights, 2015-16","blade-table-41-business-characteristics-survey-management-capabilities-module-mcm-sur","2015-16","requestable",6
42,"42","Business Expenditure on Research and Development (BERD) survey weights","Table 42: Business Expenditure on Research and Development (BERD) survey weights, 2011-12 to 2021-22","blade-table-42-business-expenditure-on-research-and-development-berd-survey-weights","2011-12 to 2021-22","requestable",6
43,"43","Economic Activity Survey (EAS) survey weights","Table 43: Economic Activity Survey (EAS) survey weights, 2006-07 to 2023-24","blade-table-43-economic-activity-survey-eas-survey-weights","2006-07 to 2023-24","requestable",6
44,"44","Private New Capital Expenditure and Expected Expenditure (CAPEX) survey weights","Table 44: Private New Capital Expenditure and Expected Expenditure (CAPEX) survey weights, 2017-18 to 2025-26","blade-table-44-private-new-capital-expenditure-and-expected-expenditure-capex-survey-","2017-18 to 2025-26","requestable",6
45,"45","Restraint Clauses Short Survey of Employment Conditions (SSEC) survey weights","Table 45: Restraint Clauses Short Survey of Employment Conditions (SSEC) survey weights, 2023-24","blade-table-45-restraint-clauses-short-survey-of-employment-conditions-ssec-survey-we","2023-24","requestable",6
46,"46","Agricultural Commodities","Table 46: Agricultural Commodities, 2010-11 to 2020-21","blade-table-46-agricultural-commodities","2010-11 to 2020-21","requestable",6
47,"47","Merchandise Trade Exports","Table 47: Merchandise Trade Exports, 2003-04 to 2024-25","blade-table-47-merchandise-trade-exports","2003-04 to 2024-25","requestable",9
48,"48","Merchandise Trade Imports","Table 48: Merchandise Trade Imports, 2003-04 to 2024-25","blade-table-48-merchandise-trade-imports","2003-04 to 2024-25","requestable",9
49,"49","Workplace Agreements Database (WAD) Agreement","Table 49: Workplace Agreements Database (WAD) Agreement, 2001-02 to 2022-23","blade-table-49-workplace-agreements-database-wad-agreement","2001-02 to 2022-23","requestable",7
50,"50","Workplace Agreements Database (WAD) Key","Table 50: Workplace Agreements Database (WAD) Key, 2001-02 to 2022-23","blade-table-50-workplace-agreements-database-wad-key","2001-02 to 2022-23","requestable",6
51,"51","Workplace Agreements Database (WAD) Variation","Table 51: Workplace Agreements Database (WAD) Variation, 2001-02 to 2022-23","blade-table-51-workplace-agreements-database-wad-variation","2001-02 to 2022-23","requestable",6
52,"52","Emerging Industries","Table 52: Emerging Industries, 2024-25","blade-table-52-emerging-industries","2024-25","requestable",6
53,"53","Research and Development Tax Incentive (RDTI) Program","Table 53: Research and Development Tax Incentive (RDTI) Program, 2013-14 to 2020-21","blade-table-53-research-and-development-tax-incentive-rdti-program","2013-14 to 2020-21","requestable",7
54,"54","Research and Development Tax Incentive (RDTI) Program RSPCRC Key","Table 54: Research and Development Tax Incentive (RDTI) Program RSPCRC Key, 2013-14 to 2020-21","blade-table-54-research-and-development-tax-incentive-rdti-program-rspcrc-key","2013-14 to 2020-21","requestable",7
55,"55","Research and Development Tax Incentive (RDTI) Program Subsidiary Key","Table 55: Research and Development Tax Incentive (RDTI) Program Subsidiary Key, 2013-14 to 2020-21","blade-table-55-research-and-development-tax-incentive-rdti-program-subsidiary-key","2013-14 to 2020-21","requestable",6
56,"56","Farm Level Analytical Dataset (FLAD) Control","Table 56: Farm Level Analytical Dataset (FLAD) Control, 2000-01 to 2019-20","blade-table-56-farm-level-analytical-dataset-flad-control","2000-01 to 2019-20","requestable",6
57,"57","Farm Level Analytical Dataset (FLAD) IDW","Table 57: Farm Level Analytical Dataset (FLAD) IDW, 2000-01 to 2019-20","blade-table-57-farm-level-analytical-dataset-flad-idw","2000-01 to 2019-20","requestable",6
58,"58","Farm Level Analytical Dataset (FLAD) SUC","Table 58: Farm Level Analytical Dataset (FLAD) SUC, 2000-01 to 2019-20","blade-table-58-farm-level-analytical-dataset-flad-suc","2000-01 to 2019-20","requestable",6
59,"59","Dealroom","Table 59: Dealroom, 2025","blade-table-59-dealroom","2025","requestable",6
60,"60","National Family Violence Funded Agencies (NFVFA)","Table 60: National Family Violence Funded Agencies (NFVFA), 2012-13 to 2022-23","blade-table-60-national-family-violence-funded-agencies-nfvfa","2012-13 to 2022-23","requestable",6
61,"61","Microdata on Australian Exporters (MAX) Panel","Table 61: Microdata on Australian Exporters (MAX) Panel 2010-11 to 2024-25","blade-table-61-microdata-on-australian-exporters-max-panel","2010-11 to 2024-25","requestable",7
62,"62","Microdata on Australian Exporters (MAX) Markets","Table 62: Microdata on Australian Exporters (MAX) Markets 2012-13 to 2024-25","blade-table-62-microdata-on-australian-exporters-max-markets","2012-13 to 2024-25","requestable",7
