"Domain","Variable.Name","Value","Source.Sheet"
"iso_country_alpha2","","BM","A12"
"iso_country_alpha2","","BN","A12"
"iso_country_alpha2","","BO","A12"
"iso_country_alpha2","","BQ","A12"
"iso_country_alpha2","","BR","A12"
"iso_country_alpha2","","BS","A12"
"iso_country_alpha2","","BT","A12"
"iso_country_alpha2","","BV","A12"
"iso_country_alpha2","","BW","A12"
"iso_country_alpha2","","BX","A12"
"iso_country_alpha2","","BY","A12"
"iso_country_alpha2","","BZ","A12"
"iso_country_alpha2","","CA","A12"
"iso_country_alpha2","","CC","A12"
"iso_country_alpha2","","CD","A12"
"iso_country_alpha2","","CF","A12"
"iso_country_alpha2","","CG","A12"
"iso_country_alpha2","","CH","A12"
"iso_country_alpha2","","CI","A12"
"iso_country_alpha2","","CK","A12"
"iso_country_alpha2","","CL","A12"
"iso_country_alpha2","","CM","A12"
"iso_country_alpha2","","CN","A12"
"iso_country_alpha2","","CO","A12"
"iso_country_alpha2","","CR","A12"
"iso_country_alpha2","","CS","A12"
"iso_country_alpha2","","CU","A12"
"iso_country_alpha2","","CV","A12"
"iso_country_alpha2","","CW","A12"
"iso_country_alpha2","","CX","A12"
"iso_country_alpha2","","CY","A12"
"iso_country_alpha2","","CZ","A12"
"iso_country_alpha2","","DD","A12"
"iso_country_alpha2","","DE","A12"
"iso_country_alpha2","","DJ","A12"
"iso_country_alpha2","","DK","A12"
"iso_country_alpha2","","DM","A12"
"iso_country_alpha2","","DO","A12"
"iso_country_alpha2","","DZ","A12"
"iso_country_alpha2","","EA","A12"
"iso_country_alpha2","","EC","A12"
"iso_country_alpha2","","EE","A12"
"iso_country_alpha2","","EG","A12"
"iso_country_alpha2","","EH","A12"
"iso_country_alpha2","","EM","A12"
"iso_country_alpha2","","EP","A12"
"iso_country_alpha2","","ER","A12"
"iso_country_alpha2","","ES","A12"
"iso_country_alpha2","","ET","A12"
"iso_country_alpha2","","EU","A12"
"iso_country_alpha2","","FI","A12"
"iso_country_alpha2","","FJ","A12"
"iso_country_alpha2","","FK","A12"
"iso_country_alpha2","","FM","A12"
"iso_country_alpha2","","FO","A12"
"iso_country_alpha2","","FR","A12"
"iso_country_alpha2","","GA","A12"
"iso_country_alpha2","","GB","A12"
"iso_country_alpha2","","GC","A12"
"iso_country_alpha2","","GD","A12"
"iso_country_alpha2","","GE","A12"
"iso_country_alpha2","","GF","A12"
"iso_country_alpha2","","GG","A12"
"iso_country_alpha2","","GH","A12"
"iso_country_alpha2","","GI","A12"
"iso_country_alpha2","","GL","A12"
"iso_country_alpha2","","GM","A12"
"iso_country_alpha2","","GN","A12"
"iso_country_alpha2","","GP","A12"
"iso_country_alpha2","","GQ","A12"
"iso_country_alpha2","","GR","A12"
"iso_country_alpha2","","GS","A12"
"iso_country_alpha2","","GT","A12"
"iso_country_alpha2","","GU","A12"
"iso_country_alpha2","","GW","A12"
"iso_country_alpha2","","GY","A12"
"iso_country_alpha2","","HK","A12"
"iso_country_alpha2","","HM","A12"
"iso_country_alpha2","","HN","A12"
"iso_country_alpha2","","HR","A12"
"iso_country_alpha2","","HT","A12"
"iso_country_alpha2","","HU","A12"
"iso_country_alpha2","","IB","A12"
"iso_country_alpha2","","ID","A12"
"iso_country_alpha2","","IE","A12"
"iso_country_alpha2","","IL","A12"
"iso_country_alpha2","","IM","A12"
"iso_country_alpha2","","IN","A12"
"iso_country_alpha2","","IO","A12"
"iso_country_alpha2","","IQ","A12"
"iso_country_alpha2","","IR","A12"
"iso_country_alpha2","","IS","A12"
"iso_country_alpha2","","IT","A12"
"iso_country_alpha2","","JA","A12"
"iso_country_alpha2","","JE","A12"
"iso_country_alpha2","","JM","A12"
"iso_country_alpha2","","JO","A12"
"iso_country_alpha2","","JP","A12"
"iso_country_alpha2","","KE","A12"
"iso_country_alpha2","","KG","A12"
"iso_country_alpha2","","KH","A12"
"iso_country_alpha2","","KI","A12"
"iso_country_alpha2","","KM","A12"
"iso_country_alpha2","","KN","A12"
"iso_country_alpha2","","KP","A12"
"iso_country_alpha2","","KR","A12"
"iso_country_alpha2","","KW","A12"
"iso_country_alpha2","","KY","A12"
"iso_country_alpha2","","KZ","A12"
"iso_country_alpha2","","LA","A12"
"iso_country_alpha2","","LB","A12"
"iso_country_alpha2","","LC","A12"
"iso_country_alpha2","","LI","A12"
"iso_country_alpha2","","LK","A12"
"iso_country_alpha2","","LR","A12"
"iso_country_alpha2","","LS","A12"
"iso_country_alpha2","","LT","A12"
"iso_country_alpha2","","LU","A12"
"iso_country_alpha2","","LV","A12"
"iso_country_alpha2","","LY","A12"
"iso_country_alpha2","","MA","A12"
"iso_country_alpha2","","MC","A12"
"iso_country_alpha2","","MD","A12"
"iso_country_alpha2","","ME","A12"
"iso_country_alpha2","","MF","A12"
"iso_country_alpha2","","MG","A12"
"iso_country_alpha2","","MH","A12"
"iso_country_alpha2","","MK","A12"
"iso_country_alpha2","","ML","A12"
"iso_country_alpha2","","MM","A12"
"iso_country_alpha2","","MN","A12"
"iso_country_alpha2","","MO","A12"
"iso_country_alpha2","","MP","A12"
"iso_country_alpha2","","MQ","A12"
"iso_country_alpha2","","MR","A12"
"iso_country_alpha2","","MS","A12"
"iso_country_alpha2","","MT","A12"
"iso_country_alpha2","","MU","A12"
"iso_country_alpha2","","MV","A12"
"iso_country_alpha2","","MW","A12"
"iso_country_alpha2","","MX","A12"
"iso_country_alpha2","","MY","A12"
"iso_country_alpha2","","MZ","A12"
"iso_country_alpha2","","NA","A12"
"iso_country_alpha2","","NAN","A12"
"iso_country_alpha2","","NC","A12"
"iso_country_alpha2","","NE","A12"
"iso_country_alpha2","","NF","A12"
"iso_country_alpha2","","NG","A12"
"iso_country_alpha2","","NI","A12"
"iso_country_alpha2","","NL","A12"
"iso_country_alpha2","","NO","A12"
"iso_country_alpha2","","NP","A12"
"iso_country_alpha2","","NR","A12"
"iso_country_alpha2","","NU","A12"
"iso_country_alpha2","","NZ","A12"
"iso_country_alpha2","","OA","A12"
"iso_country_alpha2","","OM","A12"
"iso_country_alpha2","","PA","A12"
"iso_country_alpha2","","PE","A12"
"iso_country_alpha2","","PF","A12"
"iso_country_alpha2","","PG","A12"
"iso_country_alpha2","","PH","A12"
"iso_country_alpha2","","PK","A12"
"iso_country_alpha2","","PL","A12"
"iso_country_alpha2","","PM","A12"
"iso_country_alpha2","","PN","A12"
"iso_country_alpha2","","PR","A12"
"iso_country_alpha2","","PS","A12"
"iso_country_alpha2","","PT","A12"
"iso_country_alpha2","","PW","A12"
"iso_country_alpha2","","PY","A12"
"iso_country_alpha2","","QA","A12"
"iso_country_alpha2","","RE","A12"
"iso_country_alpha2","","RO","A12"
"iso_country_alpha2","","RS","A12"
"iso_country_alpha2","","RU","A12"
"iso_country_alpha2","","RW","A12"
"iso_country_alpha2","","SA","A12"
"iso_country_alpha2","","SB","A12"
"iso_country_alpha2","","SC","A12"
"iso_country_alpha2","","SD","A12"
"iso_country_alpha2","","SE","A12"
"iso_country_alpha2","","SG","A12"
"iso_country_alpha2","","SH","A12"
"iso_country_alpha2","","SI","A12"
"iso_country_alpha2","","SJ","A12"
"iso_country_alpha2","","SK","A12"
"iso_country_alpha2","","SL","A12"
"iso_country_alpha2","","SM","A12"
"iso_country_alpha2","","SN","A12"
"iso_country_alpha2","","SO","A12"
"iso_country_alpha2","","SR","A12"
"iso_country_alpha2","","SS","A12"
"iso_country_alpha2","","ST","A12"
"iso_country_alpha2","","SU","A12"
"iso_country_alpha2","","SV","A12"
"iso_country_alpha2","","SX","A12"
"iso_country_alpha2","","SY","A12"
"iso_country_alpha2","","SZ","A12"
"iso_country_alpha2","","TC","A12"
"iso_country_alpha2","","TD","A12"
"iso_country_alpha2","","TF","A12"
"iso_country_alpha2","","TG","A12"
"iso_country_alpha2","","TH","A12"
"iso_country_alpha2","","TJ","A12"
"iso_country_alpha2","","TK","A12"
"iso_country_alpha2","","TL","A12"
"iso_country_alpha2","","TM","A12"
"iso_country_alpha2","","TN","A12"
"iso_country_alpha2","","TO","A12"
"iso_country_alpha2","","TR","A12"
"iso_country_alpha2","","TT","A12"
"iso_country_alpha2","","TV","A12"
"iso_country_alpha2","","TW","A12"
"iso_country_alpha2","","TX","A12"
"iso_country_alpha2","","TZ","A12"
"iso_country_alpha2","","UA","A12"
"iso_country_alpha2","","UG","A12"
"iso_country_alpha2","","UK","A12"
"iso_country_alpha2","","UM","A12"
"iso_country_alpha2","","US","A12"
"iso_country_alpha2","","UY","A12"
"iso_country_alpha2","","UZ","A12"
"iso_country_alpha2","","VA","A12"
"iso_country_alpha2","","VC","A12"
"iso_country_alpha2","","VE","A12"
"iso_country_alpha2","","VG","A12"
"iso_country_alpha2","","VI","A12"
"iso_country_alpha2","","VN","A12"
"iso_country_alpha2","","VU","A12"
"iso_country_alpha2","","WF","A12"
"iso_country_alpha2","","WO","A12"
"iso_country_alpha2","","WS","A12"
"iso_country_alpha2","","XN","A12"
"iso_country_alpha2","","XX","A12"
"iso_country_alpha2","","YE","A12"
"iso_country_alpha2","","YT","A12"
"iso_country_alpha2","","YU","A12"
"iso_country_alpha2","","ZA","A12"
"iso_country_alpha2","","ZM","A12"
"iso_country_alpha2","","ZW","A12"
"ip_right_sub_type","","certification","A13"
"ip_right_sub_type","","certification_collective","A13"
"ip_right_sub_type","","certification_collective_trade_mark","A13"
"ip_right_sub_type","","certification_trade_mark","A13"
"ip_right_sub_type","","collective_defensive","A13"
"ip_right_sub_type","","defensive","A13"
"ip_right_sub_type","","design","A13"
"ip_right_sub_type","","innovation","A13"
"ip_right_sub_type","","petty","A13"
"ip_right_sub_type","","provisional","A13"
"ip_right_sub_type","","standard_complete","A13"
"ip_right_sub_type","","trade_mark","A13"
"ip_right_sub_type","","trade_mark_certification","A13"
"ip_right_sub_type","","trade_mark_collective","A13"
"ip_right_sub_type","","trade_mark_collective_certification","A13"
"ip_right_sub_type","","trade_mark_collective_defensive","A13"
"ip_right_sub_type","","trade_mark_defensive","A13"
"ip_status","","accepted","A14"
"ip_status","","cancelled","A14"
"ip_status","","ceased","A14"
"ip_status","","certified","A14"
"ip_status","","converted","A14"
"ip_status","","ex_parte_refused","A14"
"ip_status","","expired","A14"
"ip_status","","filed","A14"
"ip_status","","granted","A14"
"ip_status","","inter_partes_refused","A14"
"ip_status","","lapsed","A14"
"ip_status","","linked","A14"
"ip_status","","not_filed","A14"
"ip_status","","protected","A14"
"ip_status","","published","A14"
"ip_status","","refused","A14"
"ip_status","","registered","A14"
"ip_status","","removed","A14"
"ip_status","","revoked","A14"
"ip_status","","unknown","A14"
"ip_status","","voided","A14"
"ip_status","","withdrawn","A14"
"ip_event_category","","accepted","A17"
"ip_event_category","","accepted_historical","A17"
"ip_event_category","","cancelled","A17"
"ip_event_category","","ceased","A17"
"ip_event_category","","ceased_historical","A17"
"ip_event_category","","certified","A17"
"ip_event_category","","converted","A17"
"ip_event_category","","converted_historical","A17"
"ip_event_category","","exam_adverse_report_correspondence","A17"
"ip_event_category","","exam_commenced_historical","A17"
"ip_event_category","","exam_deferment","A17"
"ip_event_category","","exam_direction","A17"
"ip_event_category","","exam_direction_correspondence","A17"
"ip_event_category","","exam_outcome_adverse","A17"
"ip_event_category","","exam_outcome_clear","A17"
"ip_event_category","","exam_report_response","A17"
"ip_event_category","","exam_request","A17"
"ip_event_category","","exam_request_expedite","A17"
"ip_event_category","","excluded","A17"
"ip_event_category","","expired","A17"
"ip_event_category","","expired_historical","A17"
"ip_event_category","","filing","A17"
"ip_event_category","","filing_historical","A17"
"ip_event_category","","formalities","A17"
"ip_event_category","","granted","A17"
"ip_event_category","","granted_historical","A17"
"ip_event_category","","indexing_approved_historical","A17"
"ip_event_category","","ip_right_date","A17"
"ip_event_category","","ir_full_transform_date","A17"
"ip_event_category","","ir_madrid_export_application_date","A17"
"ip_event_category","","irda_entry","A17"
"ip_event_category","","lapsed","A17"
"ip_event_category","","lapsed_historical","A17"
"ip_event_category","","linked","A17"
"ip_event_category","","linked_historical","A17"
"ip_event_category","","not_filed","A17"
"ip_event_category","","opi","A17"
"ip_event_category","","opposed","A17"
"ip_event_category","","opposed_historical","A17"
"ip_event_category","","party_change","A17"
"ip_event_category","","process_error","A17"
"ip_event_category","","publish_accc","A17"
"ip_event_category","","publish_accepted","A17"
"ip_event_category","","publish_amendment","A17"
"ip_event_category","","publish_application","A17"
"ip_event_category","","publish_cancelled","A17"
"ip_event_category","","publish_ceased","A17"
"ip_event_category","","publish_certified","A17"
"ip_event_category","","publish_claimed_int","A17"
"ip_event_category","","publish_correction","A17"
"ip_event_category","","publish_eot","A17"
"ip_event_category","","publish_eoterm","A17"
"ip_event_category","","publish_excluded","A17"
"ip_event_category","","publish_expired","A17"
"ip_event_category","","publish_filed","A17"
"ip_event_category","","publish_granted","A17"
"ip_event_category","","publish_ir_full_transform","A17"
"ip_event_category","","publish_ir_partial_transform","A17"
"ip_event_category","","publish_irda_entry","A17"
"ip_event_category","","publish_lapsed","A17"
"ip_event_category","","publish_licence","A17"
"ip_event_category","","publish_lodged","A17"
"ip_event_category","","publish_merged","A17"
"ip_event_category","","publish_misc","A17"
"ip_event_category","","publish_mortgage","A17"
"ip_event_category","","publish_name_change","A17"
"ip_event_category","","publish_non_use","A17"
"ip_event_category","","publish_opi","A17"
"ip_event_category","","publish_opposition","A17"
"ip_event_category","","publish_ownership","A17"
"ip_event_category","","publish_party_change","A17"
"ip_event_category","","publish_published","A17"
"ip_event_category","","publish_refused","A17"
"ip_event_category","","publish_registered","A17"
"ip_event_category","","publish_rejected","A17"
"ip_event_category","","publish_removed","A17"
"ip_event_category","","publish_renew","A17"
"ip_event_category","","publish_renewal_due","A17"
"ip_event_category","","publish_republish","A17"
"ip_event_category","","publish_restored","A17"
"ip_event_category","","publish_revoked","A17"
"ip_event_category","","publish_surrender","A17"
"ip_event_category","","publish_user","A17"
"ip_event_category","","publish_withdraw_acceptance","A17"
"ip_event_category","","publish_withdrawn","A17"
"ip_event_category","","published","A17"
"ip_event_category","","received","A17"
"ip_event_category","","refused","A17"
"ip_event_category","","refused_historical","A17"
"ip_event_category","","registered","A17"
"ip_event_category","","registered_historical","A17"
"ip_event_category","","rejected","A17"
"ip_event_category","","removed","A17"
"ip_event_category","","removed_historical","A17"
"ip_event_category","","request_postpone_acceptance","A17"
"ip_event_category","","request_registration_historical","A17"
"ip_event_category","","revoked","A17"
"ip_event_category","","revoked_historical","A17"
"ip_event_category","","voided","A17"
"ip_event_category","","withdrawn","A17"
"ip_event_type","","accepted","A18"
"ip_event_type","","accepted_awaiting_advertisement","A18"
"ip_event_type","","accepted_opposition_period_expired","A18"
"ip_event_type","","application_converted_to_new_act","A18"
"ip_event_type","","application_lapsed","A18"
"ip_event_type","","application_refused","A18"
"ip_event_type","","cancelled","A18"
"ip_event_type","","ceased","A18"
"ip_event_type","","ceased_1st_term_amended_1906_act_","A18"
"ip_event_type","","ceased_2003_act_","A18"
"ip_event_type","","ceased_2nd_term_1906_act_","A18"
"ip_event_type","","ceased_2nd_term_amended_1906_act_","A18"
"ip_event_type","","ceased_initial_term_amended_1906_act_","A18"
"ip_event_type","","certified","A18"
"ip_event_type","","converted","A18"
"ip_event_type","","converted_application","A18"
"ip_event_type","","date_of_patent","A18"
"ip_event_type","","ex_parte_refused","A18"
"ip_event_type","","exam_direction_to_request_exam","A18"
"ip_event_type","","exam_direction_to_request_exam_sent","A18"
"ip_event_type","","exam_expedited_first_report","A18"
"ip_event_type","","exam_expedited_further_report","A18"
"ip_event_type","","exam_expedited_patent_acceptance_notice_sent","A18"
"ip_event_type","","exam_expedited_report_sent","A18"
"ip_event_type","","exam_expedited_request_for_innovation_examination_by_third_party","A18"
"ip_event_type","","exam_expedited_request_full_examination","A18"
"ip_event_type","","exam_expedited_request_modified_examination_standard","A18"
"ip_event_type","","exam_expedited_response_to_examination_report","A18"
"ip_event_type","","exam_first_adverse_report_sent","A18"
"ip_event_type","","exam_first_report","A18"
"ip_event_type","","exam_further_report","A18"
"ip_event_type","","exam_outcome_adverse","A18"
"ip_event_type","","exam_outcome_clear","A18"
"ip_event_type","","exam_outcome_directed_amendment","A18"
"ip_event_type","","exam_outcome_full_refusal","A18"
"ip_event_type","","exam_outcome_intention_to_reject","A18"
"ip_event_type","","exam_outcome_invalid","A18"
"ip_event_type","","exam_outcome_partial_refusal","A18"
"ip_event_type","","exam_outcome_provisional_acceptance","A18"
"ip_event_type","","exam_outcome_unknown_irda_refusal","A18"
"ip_event_type","","exam_patent_acceptance_notice_sent","A18"
"ip_event_type","","exam_report_sent","A18"
"ip_event_type","","exam_request","A18"
"ip_event_type","","exam_request_deferment_of_examination_sec_46","A18"
"ip_event_type","","exam_request_for_innovation_examination_by_third_party","A18"
"ip_event_type","","exam_request_for_innovation_examination_by_third_party_patentee_payment_","A18"
"ip_event_type","","exam_request_for_re_examination_owner","A18"
"ip_event_type","","exam_request_for_re_examination_third_party","A18"
"ip_event_type","","exam_request_full_examination","A18"
"ip_event_type","","exam_request_modified_examination_standard","A18"
"ip_event_type","","exam_response_to_examination_report","A18"
"ip_event_type","","exam_statement_in_response_to_re_examination_report_sec_99_sec_101h_","A18"
"ip_event_type","","excluded_2003_act_","A18"
"ip_event_type","","expedited_exam_request","A18"
"ip_event_type","","expired","A18"
"ip_event_type","","expired_1906_act_","A18"
"ip_event_type","","expired_amended_1906_act_","A18"
"ip_event_type","","expired_renewal_possible","A18"
"ip_event_type","","filed","A18"
"ip_event_type","","first_open_for_public_inspection","A18"
"ip_event_type","","granted","A18"
"ip_event_type","","indexing_approved","A18"
"ip_event_type","","inter_partes_refused","A18"
"ip_event_type","","ip_right_detail_change_request","A18"
"ip_event_type","","ip_right_full_transfer_request","A18"
"ip_event_type","","ip_right_partial_transfer_request","A18"
"ip_event_type","","ip_right_transfer_request","A18"
"ip_event_type","","ir_full_transform_date","A18"
"ip_event_type","","ir_madrid_export_application_date","A18"
"ip_event_type","","ir_notification_of_madrid_import_date","A18"
"ip_event_type","","lapsed","A18"
"ip_event_type","","lapsed_accepted","A18"
"ip_event_type","","lapsed_not_protected","A18"
"ip_event_type","","linked","A18"
"ip_event_type","","linked_merged","A18"
"ip_event_type","","linked_registration","A18"
"ip_event_type","","lodged","A18"
"ip_event_type","","minimum_filing_requirements_met","A18"
"ip_event_type","","new","A18"
"ip_event_type","","not_filed","A18"
"ip_event_type","","opposed","A18"
"ip_event_type","","pct_application_enters_national_phase","A18"
"ip_event_type","","process_error","A18"
"ip_event_type","","protected","A18"
"ip_event_type","","published","A18"
"ip_event_type","","published_2003_act_","A18"
"ip_event_type","","published_alteration_of_name_s_in_register","A18"
"ip_event_type","","published_amendments_alteration_of_name_s_of_applicant_s_patentee_s_","A18"
"ip_event_type","","published_amendments_amendment_made","A18"
"ip_event_type","","published_amendments_applications_for_amendment","A18"
"ip_event_type","","published_amendments_applications_for_amendment_withdrawn","A18"
"ip_event_type","","published_amendments_made_section_105","A18"
"ip_event_type","","published_amendments_to_published_filing_date_under_s3_5_a_","A18"
"ip_event_type","","published_application_refused","A18"
"ip_event_type","","published_application_withdrawn","A18"
"ip_event_type","","published_applications_accepted","A18"
"ip_event_type","","published_applications_opi","A18"
"ip_event_type","","published_assignments_before_grant_section_113","A18"
"ip_event_type","","published_assignments_registered_section_187_reg_19","A18"
"ip_event_type","","published_certified_innovation_patent","A18"
"ip_event_type","","published_change_of_applicant_name_section_104","A18"
"ip_event_type","","published_complete_applications_filed","A18"
"ip_event_type","","published_complete_specification_treated_as_provisional_specification_section_37","A18"
"ip_event_type","","published_corrigenda","A18"
"ip_event_type","","published_crn","A18"
"ip_event_type","","published_cro","A18"
"ip_event_type","","published_discharge_of_a_licence","A18"
"ip_event_type","","published_discharge_of_a_mortgage","A18"
"ip_event_type","","published_eot_advert","A18"
"ip_event_type","","published_eot_grant_advert","A18"
"ip_event_type","","published_extension_of_term_of_standard_patent_accepted","A18"
"ip_event_type","","published_extension_of_term_of_standard_patent_extension_granted","A18"
"ip_event_type","","published_extension_of_term_of_standard_patent_extension_refused","A18"
"ip_event_type","","published_extension_of_term_of_standard_patent_extension_withdrawn","A18"
"ip_event_type","","published_extension_of_term_of_standard_patent_section_70_application_to_extend","A18"
"ip_event_type","","published_extensions_of_time_section_223_applications_allowed","A18"
"ip_event_type","","published_extensions_of_time_section_223_applications_received","A18"
"ip_event_type","","published_general_notice","A18"
"ip_event_type","","published_innovation_application_filed","A18"
"ip_event_type","","published_innovation_patents_opi","A18"
"ip_event_type","","published_innovation_patents_opi_pre_grant","A18"
"ip_event_type","","published_ip_off_surrender","A18"
"ip_event_type","","published_ip_right_assignment","A18"
"ip_event_type","","published_ipr_accc_assess_appr","A18"
"ip_event_type","","published_ipr_accc_assess_appr_vartn","A18"
"ip_event_type","","published_ipr_accc_assess_not_appr","A18"
"ip_event_type","","published_ipr_accc_decn_appr","A18"
"ip_event_type","","published_ipr_accc_decn_appr_vartn","A18"
"ip_event_type","","published_ipr_accc_decn_not_appr","A18"
"ip_event_type","","published_ipr_accepted","A18"
"ip_event_type","","published_ipr_alter_name","A18"
"ip_event_type","","published_ipr_alter_register","A18"
"ip_event_type","","published_ipr_alter_trade_mark","A18"
"ip_event_type","","published_ipr_amend_advert_reps","A18"
"ip_event_type","","published_ipr_amend_advert_sond","A18"
"ip_event_type","","published_ipr_amend_alter_tm","A18"
"ip_event_type","","published_ipr_amend_description","A18"
"ip_event_type","","published_ipr_amend_made_convention","A18"
"ip_event_type","","published_ipr_amend_made_designers","A18"
"ip_event_type","","published_ipr_amend_made_products","A18"
"ip_event_type","","published_ipr_amend_made_reps","A18"
"ip_event_type","","published_ipr_amend_made_sond","A18"
