"pbs_code","atc_code","atc_level1","benefit_type","claimed_price","pack_size","number_of_repeats","manner_of_admin","weight"
"10759G","A02BD06","A","R",20.69,1,0,"ORAL",0.000286982052583947
"10889D","A07DA03","A","A",1.39,12,0,"ORAL",0.000286982052583947
"1089H","A03BA01","A","U",14.87,10,1,"INJECTION",0.000286982052583947
"11049M","A07CA","A","A",4.47,1,0,"ORAL",0.000286982052583947
"11107N","A04AD12","A","S",58.22,1,5,"INJECTION",0.000286982052583947
"11180K","A05AA02","A","S",255,100,4,"ORAL",0.000286982052583947
"11210B","A07EC02","A","R",61.06,90,5,"ORAL",0.000286982052583947
"1121B","A01AD02","A","R",8.1,1,1,"ORAL_APPLICATION",0.000286982052583947
"11269D","A10BD19","A","S",59.71,30,5,"ORAL",0.000286982052583947
"11286B","A10BD21","A","A",58.84,28,5,"ORAL",0.000286982052583947
"11302W","A10AE04","A","U",73.06,1,1,"INJECTION",0.000286982052583947
"11303X","A10BD19","A","S",59.71,30,5,"ORAL",0.000286982052583947
"11308E","A10AE04","A","U",43.84,1,1,"INJECTION",0.000286982052583947
"11351K","A07EC04","A","S",132.84,280,5,"ORAL",0.000286982052583947
"11364D","A10BJ05","A","A",111.44,4,5,"INJECTION",0.000286982052583947
"11426J","A10AD06","A","U",66,1,1,"INJECTION",0.000286982052583947
"11554D","A07EC02","A","R",57.26,60,5,"ORAL",0.000286982052583947
"11645X","A10AB04","A","U",45.78,1,1,"INJECTION",0.000286982052583947
"11669E","A02BC03","A","S",4,28,5,"ORAL",0.000286982052583947
"11670F","A02BC04","A","S",3.33,30,5,"ORAL",0.000286982052583947
"11676M","A16AX07","A","A",776.15,30,0,"ORAL",0.000286982052583947
"11677N","A02BC01","A","S",10.65,30,5,"ORAL",0.000286982052583947
"11678P","A02BC02","A","S",19.64,30,5,"ORAL",0.000286982052583947
"11681T","A02BC02","A","S",7.48,30,5,"ORAL",0.000286982052583947
"11682W","A02BC01","A","S",4,30,5,"ORAL",0.000286982052583947
"11683X","A02BC01","A","S",4,30,5,"ORAL",0.000286982052583947
"11687D","A02BC05","A","S",4,30,5,"ORAL",0.000286982052583947
"11691H","A16AX07","A","A",776.15,30,5,"ORAL",0.000286982052583947
"11692J","A02BC05","A","S",10.51,30,5,"ORAL",0.000286982052583947
"11697P","A02BC03","A","S",8.35,28,5,"ORAL",0.000286982052583947
"11726E","A12AA04","A","S",7.48,120,1,"ORAL",0.000286982052583947
"11815W","A10AE04","A","U",31.71,1,1,"INJECTION",0.000286982052583947
"11865L","A16AX03","A","S",475,1,5,"ORAL",0.000286982052583947
"11970B","A16AX07","A","A",3880.75,30,5,"ORAL",0.000286982052583947
"11971C","A16AX07","A","A",3880.75,30,0,"ORAL",0.000286982052583947
"11973E","A16AX07","A","A",3880.75,30,0,"ORAL",0.000286982052583947
"11983Q","A16AX07","A","A",3880.75,30,5,"ORAL",0.000286982052583947
"1206L","A03FA01","A","U",7.1,10,0,"INJECTION",0.000286982052583947
"12075M","A10BJ06","A","A",111.44,1,5,"INJECTION",0.000286982052583947
"1207M","A03FA01","A","U",5.8,25,0,"ORAL",0.000286982052583947
"12198B","A07EC02","A","R",64.8,28,5,"RECTAL",0.000286982052583947
"12203G","A07EC02","A","R",86.97,100,5,"ORAL",0.000286982052583947
"12234X","A10AD04","A","U",28.18,1,1,"INJECTION",0.000286982052583947
"12236B","A10AE05","A","R",61.61,1,1,"INJECTION",0.000286982052583947
"12237C","A10AB04","A","U",28.18,1,1,"INJECTION",0.000286982052583947
"12238D","A10AD05","A","U",28.18,1,1,"INJECTION",0.000286982052583947
"12254Y","A10AB05","A","U",28.18,1,1,"INJECTION",0.000286982052583947
"12261H","A10AD04","A","U",28.18,1,1,"INJECTION",0.000286982052583947
"12268Q","A10AB06","A","U",28.19,1,1,"INJECTION",0.000286982052583947
"12270T","A02BC01","A","A",10.65,30,5,"ORAL",0.000286982052583947
"12272X","A02BC01","A","A",4,30,5,"ORAL",0.000286982052583947
"12275C","A02BC05","A","A",4,30,5,"ORAL",0.000286982052583947
"12276D","A02BC03","A","A",8.35,28,5,"ORAL",0.000286982052583947
"12277E","A02BC02","A","A",7.48,30,5,"ORAL",0.000286982052583947
"12281J","A02BC01","A","A",4,30,5,"ORAL",0.000286982052583947
"12282K","A02BC02","A","A",19.64,30,5,"ORAL",0.000286982052583947
"12283L","A02BC05","A","A",13.3,30,5,"ORAL",0.000286982052583947
"12284M","A02BC03","A","A",4,28,5,"ORAL",0.000286982052583947
"12286P","A02BC04","A","A",3.33,30,5,"ORAL",0.000286982052583947
"12287Q","A02BC05","A","A",10.51,30,5,"ORAL",0.000286982052583947
"12290W","A02BC05","A","A",6.79,30,5,"ORAL",0.000286982052583947
"12463Y","A07EC02","A","R",64.32,60,4,"ORAL",0.000286982052583947
"12569M","A16AX07","A","A",776.15,30,5,"ORAL",0.000286982052583947
"12570N","A16AX07","A","A",3880.75,30,0,"ORAL",0.000286982052583947
"12579C","A16AX07","A","A",776.15,30,0,"ORAL",0.000286982052583947
"1258F","A06AB02","A","R",3.5,1,4,"RECTAL",0.000286982052583947
"12595X","A09AA02","A","R",67.93,100,10,"ORAL",0.000286982052583947
"1259G","A06AB02","A","R",5.99,200,2,"ORAL",0.000286982052583947
"1260H","A06AB02","A","R",4.32,1,5,"RECTAL",0.000286982052583947
"12623J","A05AA04","A","A",3631,30,5,"ORAL",0.000286982052583947
"12630R","A05AA04","A","S",3631,30,5,"ORAL",0.000286982052583947
"12640G","A05AA04","A","S",3631,30,5,"ORAL",0.000286982052583947
"12823X","A10BK01","A","S",36.61,28,5,"ORAL",0.000286982052583947
"12915R","A07EA06","A","S",38.85,90,2,"ORAL",0.000286982052583947
"12918X","A10BK03","A","S",39.02,30,5,"ORAL",0.000286982052583947
"12982G","A07EA06","A","A",360,60,5,"ORAL",0.000286982052583947
"12987M","A07EA06","A","A",360,60,5,"ORAL",0.000286982052583947
"12994X","A07EA06","A","A",540,90,1,"ORAL",0.000286982052583947
"13106T","A10BK01","A","S",36.61,28,5,"ORAL",0.000286982052583947
"13124R","A16AX12","A","A",825,100,5,"ORAL",0.000286982052583947
"13247F","A07EC02","A","R",146.26,120,5,"ORAL",0.000286982052583947
"1326T","A02BC01","A","S",4,30,1,"ORAL",0.000286982052583947
"1327W","A02BC01","A","S",4,30,5,"ORAL",0.000286982052583947
"13354W","A11DA01","A","S",3.62,100,2,"ORAL",0.000286982052583947
"13355X","A07EC02","A","R",86.97,100,5,"ORAL",0.000286982052583947
"13356Y","A07EC02","A","R",146.26,120,5,"ORAL",0.000286982052583947
"13357B","A12BA01","A","R",11,200,1,"ORAL",0.000286982052583947
"13361F","A07EC02","A","R",50.78,100,5,"ORAL",0.000286982052583947
"13362G","A07EC02","A","R",50.78,100,5,"ORAL",0.000286982052583947
"13375Y","A09AA02","A","R",30.99,1,10,"ORAL",0.000286982052583947
"13394Y","A07EC02","A","R",57.26,60,5,"ORAL",0.000286982052583947
"13395B","A07EC02","A","R",64.32,60,4,"ORAL",0.000286982052583947
"13396C","A07EC02","A","R",50.78,100,5,"ORAL",0.000286982052583947
"13397D","A07EC02","A","R",107.1,60,5,"ORAL",0.000286982052583947
"13398E","A07EC02","A","R",94.95,100,5,"ORAL",0.000286982052583947
"13407P","A09AA02","A","R",67.93,100,10,"ORAL",0.000286982052583947
"13422K","A07EC02","A","R",61.06,90,5,"ORAL",0.000286982052583947
"13423L","A07EC02","A","R",29.43,100,5,"ORAL",0.000286982052583947
"13433B","A07EC01","A","R",22.01,100,5,"ORAL",0.000286982052583947
"13456F","A07EC02","A","R",107.1,30,5,"ORAL",0.000286982052583947
"13457G","A11CC04","A","S",17.12,100,3,"ORAL",0.000286982052583947
"13460K","A07EC02","A","R",82.03,60,5,"ORAL",0.000286982052583947
"13470Y","A09AA02","A","R",48.53,100,10,"ORAL",0.000286982052583947
"1347X","A03FA03","A","U",1.85,25,0,"ORAL",0.000286982052583947
"13484Q","A07EC04","A","S",132.84,280,5,"ORAL",0.000286982052583947
"13485R","A12AA04","A","S",7.48,120,1,"ORAL",0.000286982052583947
"13486T","A12BA01","A","R",11.5,60,1,"ORAL",0.000286982052583947
"13487W","A07EC02","A","R",73.13,60,5,"ORAL",0.000286982052583947
"13518L","A07EC02","A","R",82.03,30,5,"ORAL",0.000286982052583947
"13547B","A12AA04","A","S",10.36,240,1,"ORAL",0.000286982052583947
"13557M","A07EC01","A","R",18.3,100,5,"ORAL",0.000286982052583947
"13560Q","A09AA02","A","R",24.35,100,10,"ORAL",0.000286982052583947
"13576M","A07EC02","A","R",56.97,60,5,"ORAL",0.000286982052583947
"13640X","A04AA","A","A",91.27,1,5,"INJECTION",0.000286982052583947
"13651L","A10AB05","A","U",28.18,1,1,"INJECTION",0.000286982052583947
"13695T","A10BK03","A","S",39.02,30,5,"ORAL",0.000286982052583947
"13711P","A07EA06","A","A",360,60,8,"ORAL",0.000286982052583947
"13719C","A07EA06","A","A",360,60,8,"ORAL",0.000286982052583947
"13844P","A10BK01","A","S",36.61,28,5,"ORAL",0.000286982052583947
"13845Q","A10BK03","A","S",39.02,30,5,"ORAL",0.000286982052583947
"13846R","A10BH02","A","S",34.53,60,5,"ORAL",0.000286982052583947
"13847T","A10BA02","A","R",8.97,60,5,"ORAL",0.000286982052583947
"13848W","A10BB12","A","R",2.5,30,5,"ORAL",0.000286982052583947
"13851B","A10BD15","A","S",38.31,56,5,"ORAL",0.000286982052583947
"13852C","A10BD20","A","S",40.83,60,5,"ORAL",0.000286982052583947
"13855F","A10BD21","A","A",58.84,28,5,"ORAL",0.000286982052583947
"13868X","A10BB01","A","R",3.5,100,5,"ORAL",0.000286982052583947
"13869Y","A10BF01","A","R",19.09,90,5,"ORAL",0.000286982052583947
"13870B","A10BB12","A","R",2.5,30,5,"ORAL",0.000286982052583947
"13871C","A10BH01","A","S",19.33,28,5,"ORAL",0.000286982052583947
"13875G","A10BD15","A","S",37.1,28,5,"ORAL",0.000286982052583947
"13876H","A10BD10","A","S",37.28,28,5,"ORAL",0.000286982052583947
"13877J","A10BD08","A","S",34.61,60,5,"ORAL",0.000286982052583947
"13879L","A10BD11","A","S",41.45,60,5,"ORAL",0.000286982052583947
"13880M","A10BD10","A","S",38.41,56,5,"ORAL",0.000286982052583947
"13895H","A10BH03","A","S",35.8,28,5,"ORAL",0.000286982052583947
"13896J","A10BB09","A","R",4.77,100,5,"ORAL",0.000286982052583947
"13897K","A10BH04","A","S",35.8,28,5,"ORAL",0.000286982052583947
"13898L","A10BG03","A","R",6.18,28,5,"ORAL",0.000286982052583947
"13899M","A10BA02","A","R",8.97,120,5,"ORAL",0.000286982052583947
"13903R","A10BD20","A","S",39.5,60,5,"ORAL",0.000286982052583947
"13904T","A10BD19","A","S",59.71,30,5,"ORAL",0.000286982052583947
"13920P","A10BK03","A","S",39.22,30,5,"ORAL",0.000286982052583947
"13921Q","A10BG03","A","R",9.51,28,5,"ORAL",0.000286982052583947
"13922R","A10BB09","A","R",13.17,60,5,"ORAL",0.000286982052583947
"13923T","A10BH03","A","S",35.8,28,5,"ORAL",0.000286982052583947
"13952H","A10BA02","A","R",8.09,60,5,"ORAL",0.000286982052583947
"13953J","A10BH04","A","S",35.8,28,5,"ORAL",0.000286982052583947
"13954K","A10BH05","A","S",38.36,30,5,"ORAL",0.000286982052583947
"13955L","A10BF01","A","R",13.48,90,5,"ORAL",0.000286982052583947
"13958P","A10BD19","A","S",59.71,30,5,"ORAL",0.000286982052583947
"13959Q","A10BD11","A","S",40.23,60,5,"ORAL",0.000286982052583947
"13976N","A10BA02","A","R",8.09,100,5,"ORAL",0.000286982052583947
"13977P","A10BH04","A","S",35.8,28,5,"ORAL",0.000286982052583947
"13987E","A10BD20","A","S",40.83,60,5,"ORAL",0.000286982052583947
"13989G","A10BD13","A","S",38.39,56,5,"ORAL",0.000286982052583947
"13990H","A10BD07","A","S",30.47,56,5,"ORAL",0.000286982052583947
"13991J","A10BD08","A","S",35.4,60,5,"ORAL",0.000286982052583947
"13994M","A10BD07","A","S",20.33,56,5,"ORAL",0.000286982052583947
"14018T","A10BK03","A","S",39.02,30,5,"ORAL",0.000286982052583947
"14019W","A10BB07","A","R",6.22,100,5,"ORAL",0.000286982052583947
"14020X","A10BB12","A","R",2.69,30,5,"ORAL",0.000286982052583947
"14021Y","A10BH01","A","S",19.33,28,5,"ORAL",0.000286982052583947
"14028H","A10BD15","A","S",36.37,28,5,"ORAL",0.000286982052583947
"14029J","A10BD20","A","S",39.5,60,5,"ORAL",0.000286982052583947
"14030K","A10BD10","A","S",36.54,28,5,"ORAL",0.000286982052583947
"14031L","A10BD07","A","S",29.48,28,5,"ORAL",0.000286982052583947
"14032M","A10BD08","A","S",35.83,60,5,"ORAL",0.000286982052583947
"14035Q","A10BD07","A","S",21.31,56,5,"ORAL",0.000286982052583947
"14054Q","A10BK01","A","S",36.61,28,5,"ORAL",0.000286982052583947
"14055R","A10BB12","A","R",3.2,30,5,"ORAL",0.000286982052583947
"14056T","A10BA02","A","R",8.55,90,5,"ORAL",0.000286982052583947
"14057W","A10BG03","A","R",12.37,28,5,"ORAL",0.000286982052583947
"14058X","A10BH01","A","S",19.33,28,5,"ORAL",0.000286982052583947
"14061C","A10BD13","A","S",38.03,56,5,"ORAL",0.000286982052583947
"14062D","A10BD13","A","S",37.13,56,5,"ORAL",0.000286982052583947
"14064F","A10BD07","A","S",21.01,56,5,"ORAL",0.000286982052583947
"14065G","A10BD11","A","S",41.01,60,5,"ORAL",0.000286982052583947
"14073Q","A10BK01","A","S",36.61,28,5,"ORAL",0.000286982052583947
"14092Q","A10BK03","A","S",39.02,30,5,"ORAL",0.000286982052583947
"14150R","A10BJ05","A","S",111.44,4,5,"INJECTION",0.000286982052583947
"14163K","A10BJ06","A","S",111.44,1,5,"INJECTION",0.000286982052583947
"1426C","A10AD01","A","U",13.6,1,2,"INJECTION",0.000286982052583947
"14302R","A02BC03","A","S",4,28,5,"ORAL",0.000286982052583947
"14303T","A02BC05","A","S",4,30,5,"ORAL",0.000286982052583947
"14304W","A02BC03","A","A",4,28,5,"ORAL",0.000286982052583947
"14305X","A06AB02","A","R",3.5,1,4,"RECTAL",0.000286982052583947
"14306Y","A02BA04","A","R",16.77,60,5,"ORAL",0.000286982052583947
"14308C","A02BC05","A","S",10.51,30,5,"ORAL",0.000286982052583947
"14330F","A02BC02","A","S",7.48,30,5,"ORAL",0.000286982052583947
"14339Q","A02BC03","A","A",8.35,28,5,"ORAL",0.000286982052583947
"14340R","A02BC03","A","S",4,28,5,"ORAL",0.000286982052583947
"14341T","A06AD15","A","R",8.81,1,5,"ORAL",0.000286982052583947
"14342W","A02BC03","A","S",8.35,28,5,"ORAL",0.000286982052583947
"14362X","A02BC02","A","S",7.48,30,5,"ORAL",0.000286982052583947
"14363Y","A02BC01","A","A",10.65,30,5,"ORAL",0.000286982052583947
"14364B","A02BC01","A","S",4,30,5,"ORAL",0.000286982052583947
"14372K","A02BA04","A","R",16.77,30,5,"ORAL",0.000286982052583947
"14373L","A02BC05","A","A",13.3,30,5,"ORAL",0.000286982052583947
"14374M","A02BC03","A","R",7.89,28,5,"ORAL",0.000286982052583947
"14394N","A02BC02","A","A",7.48,30,5,"ORAL",0.000286982052583947
"14395P","A02BC02","A","A",19.64,30,5,"ORAL",0.000286982052583947
"14396Q","A02BC04","A","A",3.33,30,5,"ORAL",0.000286982052583947
"14397R","A02BC01","A","S",10.65,30,5,"ORAL",0.000286982052583947
"14405E","A02BC05","A","A",6.79,30,5,"ORAL",0.000286982052583947
"14406F","A02BC03","A","S",8.35,28,5,"ORAL",0.000286982052583947
"14408H","A06AD15","A","R",5.83,1,5,"ORAL",0.000286982052583947
"14432N","A02BC01","A","R",3.5,30,5,"ORAL",0.000286982052583947
"14433P","A02BC04","A","S",3.33,30,5,"ORAL",0.000286982052583947
"14444F","A02BC05","A","S",10.51,30,5,"ORAL",0.000286982052583947
"14445G","A02BC05","A","A",6.79,30,5,"ORAL",0.000286982052583947
"14446H","A06AB02","A","R",5.99,200,2,"ORAL",0.000286982052583947
"14447J","A06AB02","A","R",4.32,1,5,"RECTAL",0.000286982052583947
"14448K","A02BC03","A","R",3.5,30,5,"ORAL",0.000286982052583947
"14463F","A02BC04","A","S",3.33,30,5,"ORAL",0.000286982052583947
"14464G","A02BC01","A","S",4,30,5,"ORAL",0.000286982052583947
"14465H","A02BC01","A","A",4,30,5,"ORAL",0.000286982052583947
"14466J","A02BC02","A","S",19.64,30,5,"ORAL",0.000286982052583947
"14481E","A02BC05","A","A",10.51,30,5,"ORAL",0.000286982052583947
"14500E","A02BC02","A","S",19.64,30,5,"ORAL",0.000286982052583947
"14501F","A02BC02","A","R",7.12,30,5,"ORAL",0.000286982052583947
"14502G","A02BC04","A","R",3.33,28,5,"ORAL",0.000286982052583947
"14510Q","A02BC05","A","S",4,30,5,"ORAL",0.000286982052583947
"14512T","A02BC05","A","A",13.3,30,5,"ORAL",0.000286982052583947
"14533X","A02BC01","A","S",4,30,5,"ORAL",0.000286982052583947
"14534Y","A06AG20","A","R",11.04,1,2,"RECTAL",0.000286982052583947
"14537D","A02BC05","A","A",4,30,5,"ORAL",0.000286982052583947
"14557E","A02BC01","A","S",10.65,30,5,"ORAL",0.000286982052583947
"14558F","A02BC01","A","A",4,30,5,"ORAL",0.000286982052583947
"14559G","A02BC01","A","S",4,30,5,"ORAL",0.000286982052583947
"14571X","A07EA06","A","S",25.18,50,1,"ORAL",0.000286982052583947
"14573B","A16AX14","A","A",27913.85,14,6,"ORAL",0.000286982052583947
"14638K","A10BD29","A","S",49.61,28,5,"ORAL",0.000286982052583947
"14645T","A10BD29","A","S",49.61,28,5,"ORAL",0.000286982052583947
"14692G","A02BC05","A","S",10.51,30,1,"ORAL",0.000286982052583947
"14701R","A02BC05","A","S",4,30,1,"ORAL",0.000286982052583947
"14702T","A02BC01","A","R",3.5,30,5,"ORAL",0.000286982052583947
"14706B","A02BC01","A","S",4,30,1,"ORAL",0.000286982052583947
"14707C","A02BC01","A","S",10.65,30,1,"ORAL",0.000286982052583947
"14708D","A02BC01","A","S",4,30,1,"ORAL",0.000286982052583947
"14716M","A05AA02","A","S",255,100,4,"ORAL",0.000286982052583947
"14722W","A10BF01","A","U",146.79,90,5,"ORAL",0.000286982052583947
"14734L","A10BF01","A","R",146.79,90,5,"ORAL",0.000286982052583947
"14740T","A10BB09","A","R",4.91,100,5,"ORAL",0.000286982052583947
"14838Y","A07EC02","A","S",45.8,1,5,"RECTAL",0.000286982052583947
"14840C","A07EC02","A","S",53,1,5,"RECTAL",0.000286982052583947
"14843F","A07EC02","A","R",80.33,30,5,"RECTAL",0.000286982052583947
"14844G","A10BJ06","A","A",111.44,1,5,"INJECTION",0.000286982052583947
"14846J","A10BJ06","A","S",111.44,1,5,"INJECTION",0.000286982052583947
"14847K","A07EC02","A","S",71.64,1,5,"RECTAL",0.000286982052583947
"14848L","A07EC02","A","S",45.8,1,5,"RECTAL",0.000286982052583947
"14850N","A07EC02","A","R",64.8,28,5,"RECTAL",0.000286982052583947
"15047Y","A02BA03","A","R",3.58,60,5,"ORAL",0.000286982052583947
"1504E","A02BA04","A","U",16.77,30,5,"ORAL",0.000286982052583947
"15052F","A16AX18","A","A",97986.57,1,2,"INJECTION",0.000286982052583947
"1505F","A02BA04","A","U",16.77,60,5,"ORAL",0.000286982052583947
"15060P","A16AX18","A","A",97986.57,1,1,"INJECTION",0.000286982052583947
"15061Q","A02BA03","A","R",3.58,30,5,"ORAL",0.000286982052583947
"15084X","A05AX06","A","A",5722.2,30,5,"ORAL",0.000286982052583947
"15089E","A05AX06","A","S",5722.2,30,5,"ORAL",0.000286982052583947
"15107D","A05AX06","A","A",5722.2,30,5,"ORAL",0.000286982052583947
"15134M","A05AX05","A","A",33480,30,4,"ORAL",0.000286982052583947
"15135N","A05AX05","A","A",5580,30,2,"ORAL",0.000286982052583947
"15136P","A05AX05","A","A",5580,30,5,"ORAL",0.000286982052583947
"15150J","A05AX05","A","A",33480,30,5,"ORAL",0.000286982052583947
"15151K","A05AX05","A","A",11160,30,5,"ORAL",0.000286982052583947
"15157R","A05AX05","A","A",5580,30,2,"ORAL",0.000286982052583947
"15158T","A05AX05","A","A",16740,30,5,"ORAL",0.000286982052583947
"15163C","A05AX05","A","A",33480,30,4,"ORAL",0.000286982052583947
"15164D","A05AX05","A","A",16740,30,5,"ORAL",0.000286982052583947
"15165E","A05AX05","A","A",33480,30,5,"ORAL",0.000286982052583947
"15166F","A05AX05","A","A",16740,30,2,"ORAL",0.000286982052583947
"15167G","A05AX05","A","A",11160,30,4,"ORAL",0.000286982052583947
"15174P","A05AX05","A","A",11160,30,5,"ORAL",0.000286982052583947
"15181B","A05AX05","A","A",16740,30,2,"ORAL",0.000286982052583947
"15182C","A05AX05","A","A",33480,30,2,"ORAL",0.000286982052583947
"15183D","A05AX05","A","A",11160,30,2,"ORAL",0.000286982052583947
"15184E","A05AX05","A","A",11160,30,4,"ORAL",0.000286982052583947
"15185F","A05AX05","A","A",5580,30,4,"ORAL",0.000286982052583947
"15186G","A05AX05","A","A",11160,30,2,"ORAL",0.000286982052583947
"15192N","A05AX05","A","A",5580,30,4,"ORAL",0.000286982052583947
"15193P","A05AX05","A","A",16740,30,4,"ORAL",0.000286982052583947
"15194Q","A05AX05","A","A",16740,30,4,"ORAL",0.000286982052583947
"15195R","A05AX05","A","A",5580,30,5,"ORAL",0.000286982052583947
"15196T","A05AX05","A","A",33480,30,2,"ORAL",0.000286982052583947
"1531N","A10AB01","A","U",13.6,1,2,"INJECTION",0.000286982052583947
"1533Q","A10AC01","A","U",13.6,1,2,"INJECTION",0.000286982052583947
"1571Q","A07DA03","A","S",1.39,12,0,"ORAL",0.000286982052583947
"1594X","A04AA01","A","S",8.75,10,1,"ORAL",0.000286982052583947
"1595Y","A04AA01","A","S",10.83,10,1,"ORAL",0.000286982052583947
"1611T","A07EC02","A","R",29.43,100,5,"ORAL",0.000286982052583947
"1696G","A07AA02","A","U",8.53,50,0,"ORAL",0.000286982052583947
"1699K","A07AA02","A","U",8.53,50,0,"ORAL",0.000286982052583947
"1728Y","A07EC03","A","S",29.38,100,5,"ORAL",0.000286982052583947
"1761Q","A10AC01","A","U",23.49,1,1,"INJECTION",0.000286982052583947
"1762R","A10AB01","A","U",23.49,1,1,"INJECTION",0.000286982052583947
"1763T","A10AD01","A","U",23.49,1,1,"INJECTION",0.000286982052583947
"1801T","A10BA02","A","R",8.09,60,5,"ORAL",0.000286982052583947
"1841X","A12BA01","A","U",11,200,1,"ORAL",0.000286982052583947
"1920C","A07EA01","A","R",38.54,7,3,"RECTAL",0.000286982052583947
"1921D","A10AB06","A","U",28.19,1,1,"INJECTION",0.000286982052583947
"1977C","A02BA02","A","U",3.5,30,5,"ORAL",0.000286982052583947
"1978D","A02BA02","A","U",3.5,60,5,"ORAL",0.000286982052583947
"2091C","A06AG20","A","R",11.04,1,2,"RECTAL",0.000286982052583947
"2093E","A07EC01","A","R",18.3,100,5,"ORAL",0.000286982052583947
"2096H","A07EC01","A","R",22.01,100,5,"ORAL",0.000286982052583947
"2214M","A07EC02","A","R",50.78,100,5,"ORAL",0.000286982052583947
"2240X","A02BC03","A","S",4,28,1,"ORAL",0.000286982052583947
"2241Y","A02BC03","A","S",4,28,5,"ORAL",0.000286982052583947
"2287J","A07EC02","A","R",107.1,60,5,"ORAL",0.000286982052583947
"2369Q","A04AD","A","U",15.66,10,0,"INJECTION",0.000286982052583947
"2430X","A10BA02","A","R",8.09,100,5,"ORAL",0.000286982052583947
"2440K","A10BB07","A","U",6.22,100,5,"ORAL",0.000286982052583947
"2449X","A10BB09","A","U",4.77,100,5,"ORAL",0.000286982052583947
"2487X","A02BA03","A","U",3.58,60,5,"ORAL",0.000286982052583947
"2488Y","A02BA03","A","U",3.58,30,5,"ORAL",0.000286982052583947
"2501P","A07DA01","A","U",5.8,20,0,"ORAL",0.000286982052583947
"2502Q","A11CC04","A","S",17.12,100,3,"ORAL",0.000286982052583947
"2518M","A04AD12","A","S",49.52,1,5,"ORAL",0.000286982052583947
"2554K","A07EA01","A","R",8.46,1,3,"RECTAL",0.000286982052583947
"2893G","A04AD","A","U",5.29,25,0,"ORAL",0.000286982052583947
"2931G","A01AB04","A","U",3.96,20,1,"ORAL",0.000286982052583947
"2933J","A10BH04","A","S",35.8,28,5,"ORAL",0.000286982052583947
"2939Q","A10BB01","A","U",3.5,100,5,"ORAL",0.000286982052583947
"2944Y","A10BH04","A","S",35.8,28,5,"ORAL",0.000286982052583947
"2986E","A10BH04","A","S",35.8,28,5,"ORAL",0.000286982052583947
"3012M","A12BA01","A","U",11.5,60,1,"ORAL",0.000286982052583947
"3113W","A07AA09","A","A",44.16,20,0,"ORAL",0.000286982052583947
"3114X","A07AA09","A","A",88.3,20,0,"ORAL",0.000286982052583947
"3117C","A12AA04","A","S",10.36,240,1,"ORAL",0.000286982052583947
