"ato_code"	"ato_description"
149311	"Event manager"
149411	"Fleet manager"
149412	"Manager - railway station"
149413	"Bus - owner-driver"
149911	"Kennel operator"
149912	"Cinema manager"
149913	"Facilities manager"
149914	"Bank manager"
149915	"Equipment hire manager"
149999	"Owner - taxi"
211111	"Actor"
211112	"Dancer"
211113	"Comedian"
211199	"Circus trainer"
211211	"Composer"
211212	"Music director"
211213	"Drummer"
211214	"Singer"
211299	"Musicologist"
211311	"Photographer"
211411	"Artist - painter"
211412	"Ceramic artist"
211413	"Sculptor"
211499	"Quilter"
212111	"Artistic director"
212112	"Producer - media"
212113	"Radio announcer"
212114	"Television announcer"
212211	"Author"
212212	"Book editor"
212311	"Art director - film, television or stage"
212312	"Film director"
212313	"Director of photography"
212314	"Film editor"
212315	"Director - television or radio program"
212316	"Stage manager"
212317	"Technical director - film, television, radio or stage"
212318	"Video production manager"
212399	"Audio director"
212411	"Copywriter"
212412	"Sub editor"
212413	"Print journalist"
212414	"Radio journalist"
212415	"Technical writer"
212416	"Television journalist"
212499	"Web journalist"
221111	"Bank accountant"
221112	"Cost accountant"
221113	"Agent - tax"
221211	"Company secretary - corporate governance"
221212	"Corporate treasurer"
221213	"Auditor"
221214	"Internal auditor"
222111	"Commodities broker"
222112	"Finance broker"
222113	"Insurance broker"
222199	"Investment broker"
222211	"Derivatives trader"
222212	"Futures trader"
222213	"Stockbroker"
222299	"Equities analyst"
222311	"Financial adviser"
222312	"Financial investment manager"
223111	"Personnel officer"
223112	"Employment consultant"
223113	"Workplace relations adviser"
223311	"Training officer"
224111	"Actuary"
224112	"Mathematician"
224114	"Data analyst"
224115	"Data scientist"
224116	"Statistician"
224211	"Archivist"
224212	"Museum curator"
224213	"Health information manager"
224214	"Records administrator"
224311	"Economist"
224411	"Intelligence officer"
224412	"Policy officer"
224511	"Land economist"
224512	"Valuer"
224611	"Librarian"
224712	"Skills auditor"
224713	"Management consultant"
224714	"Supply chain analyst"
224911	"Electorate officer"
224912	"Liaison officer"
224913	"Migration agent"
224914	"Patents examiner"
224999	"Lobbyist"
225111	"Media planner"
225112	"Market research analyst"
225113	"Marketing specialist"
225114	"Content creator (marketing)"
225115	"Digital marketing analyst"
225211	"IT account manager"
225212	"IT business development manager"
225213	"IT sales representative"
225311	"Media officer"
225411	"Company rep. - industrial"
225412	"Company rep. - medical and pharmaceutical products"
225499	"Sales representative - other technical products"
231111	"Aeroplane pilot"
231112	"Air traffic controller"
231113	"Flying instructor"
231114	"Helicopter pilot"
231199	"Flight engineer"
231211	"Master fisher"
231212	"Marine engineer"
231213	"Ship's captain or master"
231214	"Ship's officer"
231215	"Marine surveyor"
231299	"Ship's purser"
232111	"Architect"
232112	"Landscape architect"
232212	"Scientist - surveyor"
232213	"Cartographer"
232214	"Spatial scientist - other"
232311	"Fashion designer"
232312	"Furniture designer"
232313	"Jewellery designer"
232411	"Graphic designer"
232412	"Illustrator"
232413	"Multimedia designer"
232414	"Web designer"
232511	"Interior designer"
232611	"Town planner"
233111	"Chemical engineer"
233112	"Materials engineer"
233211	"Civil engineer"
233212	"Geotechnical engineer"
233213	"Quantity surveyor"
233214	"Structural engineer"
233215	"Transport engineer"
233311	"Electrical engineer"
233411	"Electronics engineer"
233511	"Industrial engineer"
233512	"Mechanical engineer"
233513	"Production or plant engineer"
233611	"Mining engineer"
233612	"Petroleum engineer"
233911	"Aeronautical engineer"
233912	"Agricultural engineer"
233913	"Biomedical engineer"
233914	"Engineering technologist"
233915	"Environmental engineer"
233916	"Naval architect"
233999	"Acoustic engineer"
234111	"Agricultural field officer"
234113	"Forest ranger"
234114	"Agricultural research scientist"
234115	"Agronomist"
234116	"Aquaculture or fisheries scientist"
234211	"Research chemist"
234212	"Food technologist"
234213	"Wine maker"
234311	"Conservation officer"
234312	"Environmental adviser"
234313	"Environmental scientist"
234314	"Park ranger"
234399	"Soil scientist"
234411	"Geologist"
234412	"Geophysicist"
234413	"Hydrogeologist"
234511	"Biologist"
234513	"Biochemist"
234514	"Biotechnologist"
234515	"Botanist"
234516	"Marine biologist"
234517	"Microbiologist"
234521	"Entomologist"
234522	"Zoologist"
234599	"Anatomist"
234611	"IVF embryologist"
234612	"Respiratory scientist"
234711	"Veterinarian"
234911	"Conservator"
234912	"Metallurgist"
234913	"Meteorologist"
234914	"Physicist"
234915	"Exercise physiologist"
234999	"Metrologist"
241111	"Pre-school teacher"
241213	"Infant school teacher"
241311	"Middle school teacher"
241411	"High school teacher"
241511	"Remedial teacher"
241512	"Teacher of the hearing impaired"
241513	"Teacher of the sight impaired"
241599	"Migrant teacher"
241999	"Teacher - other school"
242111	"Academic"
242112	"University tutor"
242211	"TAFE teacher or tutor"
249111	"Education advisor"
249112	"Education reviewer"
249211	"Art teacher - private"
249212	"Ballet teacher"
249213	"Drama teacher - private"
249214	"Music teacher - private"
249299	"English language teacher"
249311	"ESL teacher"
251111	"Dietitian"
251112	"Nutritionist"
251211	"Radiographer"
251212	"Medical radiation therapist"
251213	"Nuclear medicine technologist"
251214	"Sonographer"
251311	"Health inspector"
251312	"Occupational health and safety adviser"
251411	"Optometrist"
251412	"Orthoptist"
251511	"Hospital pharmacist"
251512	"Industrial pharmacist"
251513	"Chemist - pharmacy"
251911	"Health promotion officer"
251912	"Orthotist"
251999	"Genetic counsellor"
252111	"Chiropractor"
252112	"Osteopath"
252211	"Acupuncturist"
252212	"Homeopath"
252213	"Naturopath"
252214	"Herbalist - chinese"
252299	"Play therapist"
252311	"Dental specialist"
252312	"Dentist"
252411	"Occupational therapist"
252511	"Physiotherapist"
252611	"Podiatrist"
252711	"Audiologist"
252712	"Speech therapist"
253111	"Doctor"
253112	"Resident medical officer"
253211	"Anaesthetist"
253311	"Specialist physician - general medicine"
253312	"Cardiologist"
253313	"Clinical haematologist"
253314	"Medical oncologist"
253315	"Endocrinologist"
253316	"Gastroenterologist"
253317	"Intensive care specialist"
253318	"Neurologist"
253321	"Paediatrician"
253322	"Renal medicine specialist"
253323	"Rheumatologist"
253324	"Thoracic medicine specialist"
253399	"Sleep medicine physician"
253411	"Psychiatrist"
253511	"Surgeon - general"
253512	"Cardiothoracic surgeon"
253513	"Neurosurgeon"
253514	"Orthopaedic surgeon"
253515	"Otorhinolaryngologist"
253516	"Paediatric surgeon"
253517	"Plastic and reconstructive surgeon"
253518	"Urologist"
253521	"Vascular surgeon"
253911	"Dermatologist"
253912	"Emergency medicine specialist"
253913	"Obstetrician"
253914	"Ophthalmologist"
253915	"Pathologist"
253917	"Diagnostic and interventional radiologist"
253918	"Radiation oncologist"
253999	"Sports physician"
254111	"Midwife"
254211	"Clinical nurse educator"
254212	"Research nurse"
254311	"Charge nurse"
254411	"Nurse practitioner"
254412	"Aged care nurse"
254413	"Child and family health nurse"
254414	"School nurse"
254415	"Acute care nurse"
254416	"Developmental disability nurse"
254417	"Nurse - rehabilitation"
254418	"Medical nurse"
254421	"Medical practice nurse"
254422	"Psychiatric nurse"
254423	"Recovery nurse"
254424	"Surgical nurse"
254425	"Paediatrics nurse"
254499	"Flight nurse"
261111	"IT business analyst"
261112	"Systems analyst"
261113	"User experience designer (ICT)"
261211	"Games programmer"
261212	"Web programmer"
261311	"Analyst - programmer"
261312	"Software developer"
261313	"Software designer"
261314	"Software tester"
261315	"Cyber security engineer"
261316	"Devops engineer"
261317	"Penetration tester"
262111	"Database administrator"
262113	"Systems administrator"
262114	"Cyber governance risk and compliance specialist"
262115	"Cyber security advice and assessment specialist"
262116	"Cyber security analyst"
262117	"Cyber security architect"
262118	"Cyber security operations coordinator"
263111	"Systems engineer - computer networks"
263112	"IT network administrator"
263113	"IT network analyst"
263211	"Computer systems auditor"
263212	"IT support engineer"
263213	"IT systems test engineer"
263299	"Usability architect"
263311	"Telecommunications engineer"
263312	"Telecommunications network engineer"
271111	"Barrister"
271211	"Judge - law"
271212	"Magistrate"
271213	"Tribunal member"
271214	"Patent attorney"
271299	"Coroner"
271311	"Lawyer"
272111	"Careers adviser"
272112	"Drug and alcohol counsellor"
272113	"Marriage counsellor"
272114	"Rehabilitation counsellor"
272115	"Student counsellor"
272199	"Counsellor - other"
272211	"Imam"
272311	"Clinical psychologist"
272312	"Educational psychologist"
272313	"Organisational psychologist"
272314	"Psychotherapist"
272399	"Sports psychologist"
272411	"Historian"
272412	"Interpreter"
272413	"Translator"
272414	"Archaeologist"
272499	"Geographer"
272511	"Social worker"
272611	"Community arts worker"
272612	"Recreation officer"
272613	"Welfare officer"
311112	"Agricultural and agritech technician"
311113	"Animal husbandry technician"
311114	"Aquaculture or fisheries technician"
311115	"Irrigation designer"
311211	"Anaesthetic technician"
311212	"Cardiac technician"
311213	"Medical laboratory technician"
311214	"Operating theatre technician"
311215	"Pharmacy technician"
311216	"Phlebotomist"
311217	"Respiratory technician"
311299	"Ophthalmic technician"
311311	"Fisheries officer"
311312	"Meat inspector"
311313	"Biosecurity officer"
311314	"Primary products quality assurance officer"
311399	"Fruit and vegetable inspector"
311411	"Chemistry technician"
311412	"Soil technician"
311413	"Life science technician"
311414	"School laboratory technician"
311499	"Calibration - technician"
312111	"Building designer"
312112	"Technician - building"
312113	"Building inspector"
312114	"Construction estimator"
312115	"Plumbing inspector"
312116	"Surveying technician"
312199	"Roof truss detailer"
312211	"Structural draftsperson"
312212	"Technician - civil engineering"
312311	"Electrical engineering draftsperson"
312312	"Electrical tester"
312411	"Electronic engineering draftsperson"
312412	"Electronic engineering technician"
312511	"Mechanical engineering draftsperson"
312512	"Technician - mechanical engineering"
312611	"Safety inspector"
312911	"Maintenance planner"
312912	"Metallurgical and materials technician"
312913	"Mine deputy"
312914	"Other draftsperson"
312999	"Mining draftsperson"
313111	"IT hardware technician"
313112	"IT help desk officer"
313113	"Web administrator"
313199	"Computing professional - other support technicians"
313211	"Radiocommunications technician"
313212	"Telecommunications field engineer"
313213	"Telecommunications network planner"
313214	"Telecommunications technical officer"
321111	"Automotive electrician"
321211	"Motor mechanic"
321212	"Mechanic - diesel motor"
321213	"Motorcycle mechanic"
321214	"Small engine mechanic"
322111	"Blacksmith"
322112	"Galvaniser"
322113	"Farrier"
322114	"Model maker - metal"
322115	"Metal polisher"
322211	"Coppersmith"
322311	"Boilermaker"
322312	"Pressure welder"
322313	"Welder"
323111	"Army - avionics technician"
323112	"Army - fitter armament"
323113	"Army - aircraft structural fitter"
323211	"Fitter (trade)"
323212	"Fitter and turner"
323213	"Fitter-welder"
323214	"Turner - metal"
323215	"Textile, clothing and footwear mechanic"
323311	"Engraver"
323312	"Gunsmith"
323313	"Locksmith"
323314	"Camera repairer"
323315	"Saw doctor"
323316	"Clock and watch maker and repairer"
323411	"Engineering patternmaker"
323412	"Die maker"
324111	"Panel beater"
324211	"Coach builder"
324212	"Vehicle trimmer"
324311	"Spray painter"
331111	"Bricklayer"
331112	"Stonemason"
331211	"Shop fitter"
331212	"Carpenter"
331213	"Joiner"
332111	"Carpet layer"
332211	"Paperhanger"
333111	"Glazier"
333211	"Plasterer"
333212	"Cement renderer"
333311	"Roof tiler"
333411	"Tiler"
334112	"Air conditioning and mechanical services plumber"
334113	"Drainer"
334114	"Gasfitter"
334115	"Roof plumber"
334116	"Plumber (general)"
334117	"Fire protection plumber"
341111	"Electrical fitter"
341113	"Lift mechanic"
342111	"Refrigeration mechanic"
342211	"Electrical lines worker"
342212	"Technical cable jointer"
342311	"Office machine mechanic"
342312	"Communications operator"
342313	"IT technician"
342314	"Electronic technician (navy)"
342411	"Telecommunications and data cabler"
342412	"Repairer - communications cable"
342413	"Army - operator bearer systems"
342414	"Telephone technician"
351111	"Baker"
351112	"Pastry cook"
351211	"Butcher"
351311	"Chef"
351411	"Cook"
361111	"Trainer - dog"
361112	"Stable manager"
361113	"Pet groomer"
361114	"Zookeeper"
361115	"Pet minder"
361116	"Track rider"
361199	"Animal attendant"
361311	"Animal nurse"
362111	"Florist"
362312	"Sports turf manager"
362313	"Sports turf trades worker"
362411	"Nurseryperson"
362511	"Arborist"
362512	"Tree worker"
362611	"Gardener (general)"
362711	"Landscape gardener"
362712	"Irrigation technician"
363111	"Aquaculture supervisor"
363112	"Fishing leading hand"
363113	"Forestry operations supervisor"
363114	"Horticultural supervisor or specialist"
363115	"Senior broadacre crop and livestock farm worker"
363116	"Senior broadacre crop farm worker"
363199	"Senior aquaculture, crop and forestry workers nec"
363211	"Senior beef cattle station worker"
363212	"Senior cattle and sheep farm worker"
363213	"Senior dairy cattle farm worker"
363214	"Senior piggery stockperson"
363215	"Senior sheep farm worker"
363299	"Senior livestock farm workers nec"
363311	"Shearer"
363312	"Wool classer"
391111	"Barber"
392111	"Book binder"
392112	"Screen printer"
392211	"Compositor"
392311	"Printing machinist"
392312	"Small offset printer"
393111	"Canvas goods maker"
393112	"Leather goods maker"
393113	"Sailmaker"
393114	"Repairer - shoe"
393211	"Apparel cutter"
393212	"Clothing pattern maker"
393213	"Tailor"
393299	"Milliner"
393311	"Upholsterer"
394112	"Cabinet maker"
394113	"Furniture maker"
394211	"French polisher"
394212	"Picture framer"
394213	"Wood machinist"
394214	"Wood turner"
394299	"Cooper"
399111	"Rigger - boat"
399112	"Shipwright"
399211	"Paint maker"
399212	"Gas plant operator"
399213	"Power generation plant operator"
399311	"Taxidermist"
399312	"Library officer"
399411	"Jeweller"
399511	"Broadcast transmitter operator"
399512	"Motion picture camera operator"
399513	"Lighting technician"
399514	"Make-up artist"
399515	"Piano tuner"
399516	"Audio engineer"
399517	"Vision mixer - television"
399599	"Continuity person"
399611	"Signwriter"
399911	"Diver (open water)"
399912	"Interior decorator"
399913	"Optical dispenser"
399914	"Optical mechanic"
399915	"Photographic studio assistant"
399916	"Plastics technician"
399918	"Fire protection equipment technician"
399999	"Glass blower"
411111	"Paramedic"
411211	"Dental hygienist"
411212	"Dental prosthetist"
411213	"Dental technician"
411214	"Dental therapist"
411311	"Diversional therapist"
411411	"Student nurse"
411412	"Mothercraft nurse"
411511	"Aboriginal and torres strait islander health worker"
411611	"Myotherapist"
411711	"Community support worker"
411712	"Disabilities support officer"
411713	"Family support worker"
411714	"Parole officer"
411715	"Residential care officer"
411716	"Youth worker"
421111	"Childcare worker"
421112	"Family day care worker"
421113	"Nanny"
421114	"Out of school hours care worker"
422111	"Aboriginal and Torres Strait Islander education worker"
422112	"Integration aide (schools)"
422115	"Pre-school aide"
422116	"Teachers aide"
423111	"Aged carer"
423211	"Dental nurse"
423311	"Ward assistant"
423312	"Assistant nurse"
423313	"Personal care assistant"
423314	"Physio assistant"
423411	"Child or youth residential care assistant"
423412	"Hostel parent"
423413	"Refuge worker"
431111	"Barman"
431112	"Barista"
431211	"Cafe worker"
431311	"Croupier"
431411	"Concierge - hotel"
431511	"Waiter"
431911	"Bar useful or busser"
431912	"Door person"
431999	"Host - casino"
441111	"Army - commando"
441211	"Emergency service worker"
441212	"Fire fighter"
441311	"Police detective"
441312	"Police officer"
442111	"Guard - prison"
442211	"Security worker - security, alarm or surveillance monitor"
442212	"Payroll guard"
442213	"Bouncer"
442214	"Private detective"
442215	"Retail loss prevention officer"
442216	"Security consultant"
442217	"Guard - security"
442299	"Casino worker - surveillance officer"
451111	"Beautician"
451211	"Driving instructor"
451311	"Undertaker"
451399	"Funeral attendant"
451411	"Attendant - museum"
451412	"Tourist guide"
451511	"Iridologist"
451512	"Weight loss consultant"
451513	"Herbalist - western"
451611	"Tourist adviser or officer"
451612	"Agent - travel"
451711	"Cabin crew"
451799	"Marine steward"
451811	"Civil celebrant"
451812	"Hair salon assistant"
451813	"Prostitute"
451814	"Tattooist"
451815	"First aid trainer"
451816	"Lay preacher"
451899	"Butler"
452111	"Gym instructor"
452211	"Bungy jump master"
452212	"Fishing guide"
452213	"Hunting guide"
452214	"Mountain guide"
452215	"Outdoor adventure instructor"
452216	"Trekking guide"
452217	"Whitewater rafting guide"
452299	"Skydiving instructor"
452311	"Coach - diving (open water)"
452312	"Coach - gymnastics"
452313	"Coach - horse riding"
452314	"Coach - ski"
452315	"Coach - swimming"
452316	"Tennis coach"
452317	"Coach - other"
452318	"Dog racing judge"
452321	"Sports development officer"
452322	"Referee"
452323	"Sportsperson - other sports official"
452411	"Footballer"
452412	"Golfer"
452413	"Jockey"
452414	"Lifeguard"
452450	"Athlete"
452451	"Basketballer"
452452	"Racing car driver"
452453	"Squash player"
452454	"Boxer - sports"
452455	"Cyclist"
452456	"Gymnast"
452457	"Cricketer"
452458	"Surfer"
452459	"Swimmer"
452460	"Tennis player"
452499	"Sportsperson - other"
511111	"Contract administrator"
511112	"Admin officer"
512111	"Office manager"
512211	"Health practice manager"
512299	"Legal practice manager"
521111	"Personal assistant"
521211	"Secretary"
521212	"Legal secretary"
531000	"Public servant - federal or state/territory - non-executive - middle (e.g. federal APS3-4)"
531111	"Clerk"
532111	"Keyboard operator"
532112	"Court reporter"
532113	"Typist"
541111	"Call centre team leader"
541112	"Call centre operator"
541211	"Enquiry clerk"
542111	"Receptionist"
542112	"Admissions clerk"
542113	"Hotel receptionist"
542114	"Medical secretary"
551111	"Accounts clerk"
551112	"Estimator"
551211	"Bookkeeper"
551311	"Payroll clerk"
552111	"Banker"
552211	"Loans officer"
552311	"Bookmaker"
552312	"Clerk - insurance"
552313	"Stockbroking clerk"
552314	"Actuarial clerk"
561000	"Public servant - federal or state/territory - non-executive - lower (e.g. federal APS1-2)"
561111	"Tab clerk"
561112	"Bookmaker's clerk"
561113	"Call centre operator - betting"
561199	"Bingo caller"
561211	"Courier"
561212	"Postal delivery officer"
561311	"Filing clerk"
561411	"Mail clerk"
561412	"Postal sorting officer"
561511	"Market research interviewer"
561611	"Telephonist"
561911	"Classified advertising clerk"
561912	"Meter reader"
561913	"Parking inspector"
561999	"Cash processor"
591112	"Clerk - scheduling"
591113	"Clerk - purchasing"
591115	"Stock clerk"
591116	"Warehouse manager"
591117	"Order clerk"
591211	"Freight clerk"
591212	"Customs agent"
599111	"Conveyancer"
599112	"Paralegal"
599211	"Clerk of court"
599212	"Court bailiff or sheriff"
599213	"Court orderly"
599214	"Law clerk"
599215	"Trust officer"
599311	"Debt collector"
599411	"Human resources clerk"
599511	"Inspector - customs"
599512	"Immigration officer"
599513	"Motor vehicle licence inspector"
599514	"Noxious weeds and pest inspector"
599515	"Social security assessor"
599516	"Tax investigator"
599517	"Train examiner"
599518	"Bus inspector"
599521	"Water inspector"
599599	"Fraud investigator"
599611	"Insurance investigator"
599612	"Insurance loss adjuster"
599613	"Insurance risk surveyor"
599711	"Library assistant"
599912	"Production assistant - film, television, radio or stage"
599913	"Proofreader"
599914	"Radio dispatcher"
599915	"Clinical coder"
599916	"Facilities administrator"
599999	"Invigilator"
611111	"Auctioneer"
611112	"Stock and station agent"
611211	"Agent - insurance"
611311	"Salesperson - building and plumbing supplies"
611312	"Salesperson - business services"
611313	"Sales representative - car parts and accessories"
611314	"Salesperson - personal and household goods"
611399	"Account manager"
612111	"Business broker"
612112	"Real estate property manager"
612113	"Real estate agency manager"
612114	"Estate agent"
612115	"Real estate salesperson"
621111	"Cosmetician"
621211	"Salesperson - IT"
621311	"Car salesperson"
621411	"Pharmacy assistant"
621511	"Retail supervisor"
621611	"Garage attendant"
621711	"Milk vendor"
621712	"Door-to-door salesperson"
621713	"Street vendor"
621911	"Scrap merchant"
621912	"Rental salesperson"
621999	"Program seller"
631111	"Checkout operator"
631112	"Cashier"
639111	"Model"
639112	"Merchandiser"
639211	"Buyer - retail goods"
639212	"Wool buyer"
639311	"Telemarketer"
639411	"Ticket seller"
639412	"Bus conductor"
639511	"Window dresser"
711111	"Turner - porcelain"
711112	"Concrete products machine operator"
711113	"Glassware maker"
711114	"Stone processing machine operator"
711211	"Spray painter - industrial"
711311	"Paper products maker"
711313	"Miller - timber"
711314	"Process worker - wood processing other than sawmilling"
711411	"Dark room attendant"
711511	"Plastic cablemaking machine operator"
711512	"Plastic compounding and reclamation machine operator"
711513	"Fabricator - plastics"
711514	"Die setter - plastics"
711515	"Fibreglasser"
711516	"Miller - tyres"
711611	"Curtain maker"
711711	"Footwear production machine operator"
711712	"Hide and skin processing machine operator"
711713	"Knitting machine operator"
711714	"Textile dyeing and finishing machine operator"
711715	"Weaver"
711716	"Yarn carding and spinning machine operator"
711911	"Chemical production machine operator"
711912	"Projectionist - film"
711913	"Sand-blaster"
711914	"Sterilisation technician"
711999	"Asbestos removalist"
712111	"Lift operator"
712211	"Driller"
712212	"Miner"
712213	"Shot firer"
712311	"Arc welder"
712911	"Boiler attendant"
712912	"Bulk materials handling plant operator"
712913	"Miller - cement"
712914	"Concrete batching plant operator"
712915	"Concrete pump operator"
712916	"Pulp mill operator"
712917	"Railway worker - signal operator"
712918	"Train controller"
712921	"Water plant operator"
712922	"Weighbridge operator"
712999	"Distiller"
721111	"Tractor operator"
721112	"Logging plant operator"
721211	"Earthmoving plant operator - general"
721212	"Back hoe operator"
721213	"Bulldozer operator"
721214	"Excavator operator"
721215	"Grader operator"
721216	"Bobcat operator"
721311	"Forklift driver"
721911	"Loadmaster - aircraft"
721912	"Linemarker"
721913	"Paving plant operator"
721914	"Plant operator - railway track plant"
721915	"Road roller operator"
721916	"Streetsweeper operator"
721999	"Tunneller"
731111	"Chauffeur"
731112	"Cab driver"
731211	"Bus driver"
731212	"Tour bus driver"
731213	"Coach driver"
731311	"Train driver"
731312	"Tram driver"
732111	"Van driver"
733111	"Lorry driver"
733112	"Aircraft refueller"
733113	"Removalist"
733114	"Tanker driver"
733115	"Tow truck driver"
741111	"Storeman"
811111	"Car detailer"
811211	"Office cleaner"
811311	"Cleaner - domestic"
811411	"Room attendant"
811412	"Housekeeping"
811511	"Laundry worker"
811512	"Drycleaner"
811513	"Ironer or presser - laundry"
811611	"Carpet cleaner"
811612	"Window cleaner"
811699	"Chimney sweep"
821111	"Labourer - builder's"
821112	"Drainage, sewerage and stormwater labourer"
821113	"Grave digger"
821114	"Plumber's assistant"
821211	"Concrete worker"
821311	"Fence erector"
821411	"Building insulation installer"
821412	"Curtain installer"
821511	"Road maintenance worker"
821611	"Labourer - railway track"
821711	"Rigger - construction"
821712	"Scaffolder"
821713	"Steel fixer"
821714	"Steel erector - structural"
821911	"Crane chaser"
821912	"Driller's assistant"
821913	"Lagger"
821914	"Mining labourer"
821915	"Surveyor's assistant"
831111	"Baking factory worker"
831112	"Brewery worker"
831113	"Confectioner"
831114	"Cheesemaker"
831115	"Fruit and vegetable factory worker"
831116	"Grain mill worker"
831117	"Sugar mill worker"
831118	"Winery cellar hand"
831199	"Pasta maker"
831211	"Boner"
831212	"Slaughterer"
831311	"Meat process worker"
831312	"Poultry process worker"
831313	"Mussel opener"
832111	"Chocolate packer"
832112	"Container filler"
832113	"Fruit and vegetable packer"
832114	"Meat packer"
832115	"Seafood packer"
832199	"Bread packer"
832211	"Assembler"
839111	"Fettler"
839211	"Labourer - plastics plant hand"
839212	"Labourer - rubber factory hand"
839311	"Product examiner"
839312	"Egg grader"
839313	"Product tester"
839411	"Pulp mill worker"
839412	"Sawmill labourer"
839413	"Wood and wood products factory worker"
839911	"Labourer - cement plant hand"
839912	"Labourer - gas plant hand"
839913	"Labourer - kiln hand"
839914	"Cloth cutter"
839915	"Labourer - footwear factory hand"
839916	"Labourer - glass plant hand"
839917	"Labourer - tannery hand"
839918	"Recycling worker"
839999	"Rag cutter"
842111	"Aquaculture worker"
842211	"Cotton farm worker"
842212	"Fruit farm worker"
842213	"Fruit picker"
842214	"Grain, oilseed, pulse and pasture farm worker (Aust) or field farm worker (NZ)"
842215	"Mushroom picker"
842216	"Nut farm worker"
842217	"Sugar cane farm worker"
842218	"Vegetable farm worker (Aust) or market garden worker (NZ)"
842221	"Vegetable picker"
842222	"Vineyard worker"
842299	"Crop farm workers nec"
842311	"Beef cattle farm worker"
842312	"Cattle and sheep farm worker"
842313	"Dairy cattle farm worker"
842314	"Livestock husbandry worker"
842315	"Piggery farm worker"
842316	"Poultry farm worker"
842317	"Sheep farm worker"
842318	"Stable hand"
842321	"Wool handler"
842399	"Livestock farm workers nec"
842411	"Broadacre crop and livestock farm worker"
842499	"Mixed production farm workers nec"
843111	"Forestry worker"
843112	"Logging assistant"
843113	"Tree faller"
843211	"Garden labourer"
843311	"Horticultural nursery assistant"
843411	"Pest control technician"
843911	"Hunter-trapper"
843912	"Irrigation assistant"
843999	"Forestry and garden workers nec"
851111	"Fast food cook"
851211	"Bakery assistant"
851311	"Dishwasher"
891111	"Baggage handler - bus or train"
891112	"Truck driver's offsider"
891113	"Stevedore"
891211	"Night filler"
899111	"Janitor"
899211	"Deckhand"
899212	"Fishing hand"
899311	"Handyperson"
899411	"Car accessories fitter"
899412	"Windscreen fitter"
899413	"Muffler repairer"
899414	"Radiator fitter"
899415	"Tyre fitter"
899511	"Printer's hand"
899512	"Printing table worker"
899611	"Garbage collector"
899711	"Gaming attendant"
899911	"Bicycle mechanic"
899912	"Car park attendant"
899913	"Crossing supervisor"
899914	"Labourer - electrical"
899915	"Leaflet deliverer"
899916	"Mechanic's assistant"
899917	"Railway worker - guard"
899918	"Sign erector"
899921	"Usher"
899922	"Trolley collector"
899923	"Road traffic controller"
899999	"Stagehand"
913301	"Consultant - construction manager"
922101	"Consultant - tax accountant"
922201	"Consultant - financial investment"
922301	"Consultant - human resources"
922302	"Consultant - recruitment"
