dataset	variable	code	label
A&T	SPORT_AND_RECREATION	N	it does not
A&T	SPORT_AND_RECREATION	Y	the Group Training Organisation places apprentices in this industry
A&T	TOURISM	N	it does not
A&T	TOURISM	Y	the Group Training Organisation places apprentices in this industry
A&T	TRANSPORT_AND_DISTRIBUTION	N	it does not
A&T	TRANSPORT_AND_DISTRIBUTION	Y	the Group Training Organisation places apprentices in this industry
A&T	UTILITIES_AND_ELCTRTECH	N	it does not
A&T	UTILITIES_AND_ELCTRTECH	Y	the Group Training Organisation places apprentices in this industry
ACLD	IEO_UR_21	0	No SEIFA Score
ACLD	IEO_UR_21	1	Decile 1 (most disadvantaged)
ACLD	IEO_UR_21	10	Decile 10 (least disadvantaged)
ACLD	IEO_UR_21	2	Decile 2
ACLD	IEO_UR_21	3	Decile 3
ACLD	IEO_UR_21	4	Decile 4
ACLD	IEO_UR_21	5	Decile 5
ACLD	IEO_UR_21	6	Decile 6
ACLD	IEO_UR_21	7	Decile 7
ACLD	IEO_UR_21	8	Decile 8
ACLD	IEO_UR_21	9	Decile 9
ACLD	IEO_UR_21	999	Unlinked record
ACLD	RA_UR_11	10	Major Cities of Australia (NSW)
ACLD	RA_UR_11	11	Inner Regional Australia (NSW)
ACLD	RA_UR_11	12	Outer Regional Australia (NSW)
ACLD	RA_UR_11	13	Remote Australia (NSW)
ACLD	RA_UR_11	14	Very Remote Australia (NSW)
ACLD	RA_UR_11	20	Major Cities of Australia (Vic.)
ACLD	RA_UR_11	21	Inner Regional Australia (Vic.)
ACLD	RA_UR_11	22	Outer Regional Australia (Vic.)
ACLD	RA_UR_11	23	Remote Australia (Vic.)
ACLD	RA_UR_11	30	Major Cities of Australia (Qld)
ACLD	RA_UR_11	31	Inner Regional Australia (Qld)
ACLD	RA_UR_11	32	Outer Regional Australia (Qld)
ACLD	RA_UR_11	33	Remote Australia (Qld)
ACLD	RA_UR_11	34	Very Remote Australia (Qld)
ACLD	RA_UR_11	40	Major Cities of Australia (SA)
ACLD	RA_UR_11	41	Inner Regional Australia (SA)
ACLD	RA_UR_11	42	Outer Regional Australia (SA)
ACLD	RA_UR_11	43	Remote Australia (SA)
ACLD	RA_UR_11	44	Very Remote Australia (SA)
ACLD	RA_UR_11	50	Major Cities of Australia (WA)
ACLD	RA_UR_11	51	Inner Regional Australia (WA)
ACLD	RA_UR_11	52	Outer Regional Australia (WA)
ACLD	RA_UR_11	53	Remote Australia (WA)
ACLD	RA_UR_11	54	Very Remote Australia (WA)
ACLD	RA_UR_11	61	Inner Regional Australia (Tas.)
ACLD	RA_UR_11	62	Outer Regional Australia (Tas.)
ACLD	RA_UR_11	63	Remote Australia (Tas.)
ACLD	RA_UR_11	64	Very Remote Australia (Tas.)
ACLD	RA_UR_11	72	Outer Regional Australia (NT)
ACLD	RA_UR_11	73	Remote Australia (NT)
ACLD	RA_UR_11	74	Very Remote Australia (NT)
ACLD	RA_UR_11	80	Major Cities of Australia (ACT)
ACLD	RA_UR_11	81	Inner Regional Australia (ACT)
ACLD	RA_UR_11	91	Inner Regional Australia (Other Territories)
ACLD	RA_UR_11	94	Very Remote Australia (Other Territories)
ACLD	RA_UR_11	999	Unlinked record
ACLD	RA_UR_16	10	Major Cities of Australia (NSW)
ACLD	RA_UR_16	11	Inner Regional Australia (NSW)
ACLD	RA_UR_16	12	Outer Regional Australia (NSW)
ACLD	RA_UR_16	13	Remote Australia (NSW)
ACLD	RA_UR_16	14	Very Remote Australia (NSW)
ACLD	RA_UR_16	20	Major Cities of Australia (Vic.)
ACLD	RA_UR_16	21	Inner Regional Australia (Vic.)
ACLD	RA_UR_16	22	Outer Regional Australia (Vic.)
ACLD	RA_UR_16	23	Remote Australia (Vic.)
ACLD	RA_UR_16	30	Major Cities of Australia (Qld)
ACLD	RA_UR_16	31	Inner Regional Australia (Qld)
ACLD	RA_UR_16	32	Outer Regional Australia (Qld)
ACLD	RA_UR_16	33	Remote Australia (Qld)
ACLD	RA_UR_16	34	Very Remote Australia (Qld)
ACLD	RA_UR_16	40	Major Cities of Australia (SA)
ACLD	RA_UR_16	41	Inner Regional Australia (SA)
ACLD	RA_UR_16	42	Outer Regional Australia (SA)
ACLD	RA_UR_16	43	Remote Australia (SA)
ACLD	RA_UR_16	44	Very Remote Australia (SA)
ACLD	RA_UR_16	50	Major Cities of Australia (WA)
ACLD	RA_UR_16	51	Inner Regional Australia (WA)
ACLD	RA_UR_16	52	Outer Regional Australia (WA)
ACLD	RA_UR_16	53	Remote Australia (WA)
ACLD	RA_UR_16	54	Very Remote Australia (WA)
ACLD	RA_UR_16	61	Inner Regional Australia (Tas.)
ACLD	RA_UR_16	62	Outer Regional Australia (Tas.)
ACLD	RA_UR_16	63	Remote Australia (Tas.)
ACLD	RA_UR_16	64	Very Remote Australia (Tas.)
ACLD	RA_UR_16	72	Outer Regional Australia (NT)
ACLD	RA_UR_16	73	Remote Australia (NT)
ACLD	RA_UR_16	74	Very Remote Australia (NT)
ACLD	RA_UR_16	80	Major Cities of Australia (ACT)
ACLD	RA_UR_16	81	Inner Regional Australia (ACT)
ACLD	RA_UR_16	91	Inner Regional Australia (Other Territories)
ACLD	RA_UR_16	94	Very Remote Australia (Other Territories)
ACLD	RA_UR_16	999	Unlinked record
AEDC	CONSULTTYPE1	0	No
AEDC	CONSULTTYPE1	1	Yes
AEDC	CONSULTTYPE10	0	No
AEDC	CONSULTTYPE10	1	Yes
AEDC	CONSULTTYPE11	0	No
AEDC	CONSULTTYPE11	1	Yes
AEDC	CONSULTTYPE12	0	No
AEDC	CONSULTTYPE12	1	Yes
AEDC	CONSULTTYPE13	0	No
AEDC	CONSULTTYPE13	1	Yes
AEDC	CONSULTTYPE2	0	No
AEDC	CONSULTTYPE2	1	Yes
AEDC	CONSULTTYPE3	0	No
AEDC	CONSULTTYPE3	1	Yes
AEDC	CONSULTTYPE4	0	No
AEDC	CONSULTTYPE4	1	Yes
AEDC	CONSULTTYPE5	0	No
AEDC	CONSULTTYPE5	1	Yes
AEDC	CONSULTTYPE6	0	No
AEDC	CONSULTTYPE6	1	Yes
AEDC	CONSULTTYPE7	0	No
AEDC	CONSULTTYPE7	1	Yes
AEDC	CONSULTTYPE8	0	No
AEDC	CONSULTTYPE8	1	Yes
AEDC	CONSULTTYPE9	0	No
AEDC	CONSULTTYPE9	1	Yes
AEDC	CPROFILE	0	No
AEDC	CPROFILE	1	Yes
AEDC	CPUBLIC	1	The Community has AEDC results publicly available
AEDC	CPUBLIC	21	Community not public: Less than 15 AEDC children valid
AEDC	CPUBLIC	22	Community not public: Less than 2 teachers reporting for the Community
AEDC	CPUBLIC	23	Community not public: Less than 15 AEDC children valid and less than 2 teachers reporting for the Community
AEDC	CPUBLIC	5	Community not public: Number of AEDC children valid less than 80% of all non-special needs children surveyed in the Community
AEDC	CPUBLIC	6	Community not public: Number of children <80% of the ABS Estimated Resident Population (ERP) for the Community (where ERP >35)
AEDC	CPUBLIC	9	Community not public: Location not available
AEDC	EMOT_1_VULN	0	Not Developmentally Vulnerable
AEDC	EMOT_1_VULN	1	Developmentally Vulnerable
AEDC	EMOT_2_VULN	0	Not Developmentally Vulnerable
AEDC	EMOT_2_VULN	1	Developmentally Vulnerable
AEDC	EMOT_3_VULN	0	Not Developmentally Vulnerable
AEDC	EMOT_3_VULN	1	Developmentally Vulnerable
AEDC	EMOT_4_VULN	0	Not Developmentally Vulnerable
AEDC	EMOT_4_VULN	1	Developmentally Vulnerable
AEDC	GCCSACODE	19499	No usual address (NSW)
AEDC	GCCSACODE	19799	Migratory - Offshore - Shipping (NSW)
AEDC	GCCSACODE	1GSYD	Greater Sydney
AEDC	GCCSACODE	1RNSW	Rest of NSW
AEDC	GCCSACODE	29499	No usual address (Vic.)
AEDC	GCCSACODE	29799	Migratory - Offshore - Shipping (Vic.)
AEDC	GCCSACODE	2GMEL	Greater Melbourne
AEDC	GCCSACODE	2RVIC	Rest of Vic.
AEDC	GCCSACODE	39499	No usual address (Qld)
AEDC	GCCSACODE	39799	Migratory - Offshore - Shipping (Qld)
AEDC	GCCSACODE	3GBRI	Greater Brisbane
AEDC	GCCSACODE	3RQLD	Rest of Qld
AEDC	GCCSACODE	49499	No usual address (SA)
AEDC	GCCSACODE	49799	Migratory - Offshore - Shipping (SA)
AEDC	GCCSACODE	4GADE	Greater Adelaide
AEDC	GCCSACODE	4RSAU	Rest of SA
AEDC	GCCSACODE	59499	No usual address (WA)
AEDC	GCCSACODE	59799	Migratory - Offshore - Shipping (WA)
AEDC	GCCSACODE	5GPER	Greater Perth
AEDC	GCCSACODE	5RWAU	Rest of WA
AEDC	GCCSACODE	69499	No usual address (Tas.)
AEDC	GCCSACODE	69799	Migratory - Offshore - Shipping (Tas.)
AEDC	GCCSACODE	6GHOB	Greater Hobart
AEDC	GCCSACODE	6RTAS	Rest of Tas.
AEDC	GCCSACODE	79499	No usual address (NT)
AEDC	GCCSACODE	79799	Migratory - Offshore - Shipping (NT)
AEDC	GCCSACODE	7GDAR	Greater Darwin
AEDC	GCCSACODE	7RNTE	Rest of NT
AEDC	GCCSACODE	89499	No usual address (ACT)
AEDC	GCCSACODE	89799	Migratory - Offshore - Shipping (ACT)
AEDC	GCCSACODE	8ACTE	Australian Capital Territory
AEDC	GCCSACODE	99499	No usual address (OT)
AEDC	GCCSACODE	99799	Migratory - Offshore - Shipping (OT)
AEDC	GCCSACODE	9OTER	Other Territories
AEDC	GCCSANAME	19499	No usual address (NSW)
AEDC	GCCSANAME	19799	Migratory - Offshore - Shipping (NSW)
AEDC	GCCSANAME	1GSYD	Greater Sydney
AEDC	GCCSANAME	1RNSW	Rest of NSW
AEDC	GCCSANAME	29499	No usual address (Vic.)
AEDC	GCCSANAME	29799	Migratory - Offshore - Shipping (Vic.)
AEDC	GCCSANAME	2GMEL	Greater Melbourne
AEDC	GCCSANAME	2RVIC	Rest of Vic.
AEDC	GCCSANAME	39499	No usual address (Qld)
AEDC	GCCSANAME	39799	Migratory - Offshore - Shipping (Qld)
AEDC	GCCSANAME	3GBRI	Greater Brisbane
AEDC	GCCSANAME	3RQLD	Rest of Qld
AEDC	GCCSANAME	49499	No usual address (SA)
AEDC	GCCSANAME	49799	Migratory - Offshore - Shipping (SA)
AEDC	GCCSANAME	4GADE	Greater Adelaide
AEDC	GCCSANAME	4RSAU	Rest of SA
AEDC	GCCSANAME	59499	No usual address (WA)
AEDC	GCCSANAME	59799	Migratory - Offshore - Shipping (WA)
AEDC	GCCSANAME	5GPER	Greater Perth
AEDC	GCCSANAME	5RWAU	Rest of WA
AEDC	GCCSANAME	69499	No usual address (Tas.)
AEDC	GCCSANAME	69799	Migratory - Offshore - Shipping (Tas.)
AEDC	GCCSANAME	6GHOB	Greater Hobart
AEDC	GCCSANAME	6RTAS	Rest of Tas.
AEDC	GCCSANAME	79499	No usual address (NT)
AEDC	GCCSANAME	79799	Migratory - Offshore - Shipping (NT)
AEDC	GCCSANAME	7GDAR	Greater Darwin
AEDC	GCCSANAME	7RNTE	Rest of NT
AEDC	GCCSANAME	89499	No usual address (ACT)
AEDC	GCCSANAME	89799	Migratory - Offshore - Shipping (ACT)
AEDC	GCCSANAME	8ACTE	Australian Capital Territory
AEDC	GCCSANAME	99499	No usual address (OT)
AEDC	GCCSANAME	99799	Migratory - Offshore - Shipping (OT)
AEDC	GCCSANAME	9OTER	Other Territories
AEDC	IAREPUBLIC	1	IARE has AEDC results publicly available
AEDC	IAREPUBLIC	21	IARE not public: Less than 15 AEDC children valid
AEDC	IAREPUBLIC	22	IARE not public: Less than two teachers
AEDC	IAREPUBLIC	23	IARE not public: Less than 15 AEDC children valid and less than two teachers
AEDC	IAREPUBLIC	5	IARE not public: Less than 80% of all non-special needs children
AEDC	IAREPUBLIC	9	IARE not public: Location not available
AEDC	ILOCPUBLIC	1	ILOC has AEDC results publicly available
AEDC	ILOCPUBLIC	21	ILOC not public: Less than 15 AEDC children valid
AEDC	ILOCPUBLIC	22	ILOC not public: Less than two teachers
AEDC	ILOCPUBLIC	23	ILOC not public: Less than 15 AEDC children valid and less than two teachers
AEDC	ILOCPUBLIC	5	ILOC not public: Less than 80% of all non-special needs children
AEDC	ILOCPUBLIC	9	ILOC not public: Location not available
AEDC	LANGCOG_1_VULN	0	Not Developmentally Vulnerable
AEDC	LANGCOG_1_VULN	1	Developmentally Vulnerable
AEDC	LANGCOG_2_VULN	0	Not Developmentally Vulnerable
AEDC	LANGCOG_2_VULN	1	Developmentally Vulnerable
AEDC	LANGCOG_3_VULN	0	Not Developmentally Vulnerable
AEDC	LANGCOG_3_VULN	1	Developmentally Vulnerable
AEDC	LANGCOG_4_VULN	0	Not Developmentally Vulnerable
AEDC	LANGCOG_4_VULN	1	Developmentally Vulnerable
AEDC	LCABSSEIFACATEGORY	1	Quintile 1 (most disadvantaged)
AEDC	LCABSSEIFACATEGORY	2	Quintile 2
AEDC	LCABSSEIFACATEGORY	3	Quintile 3
AEDC	LCABSSEIFACATEGORY	4	Quintile 4
AEDC	LCABSSEIFACATEGORY	5	Quintile 5 (least disadvantaged)
AEDC	LCARIACODE	1	1
AEDC	LCARIACODE	2	2
AEDC	LCARIACODE	3	3
AEDC	LCARIACODE	4	4
AEDC	LCARIACODE	5	5
AEDC	LCARIANAME	Inner Regional Australia	Inner Regional Australia
AEDC	LCARIANAME	Major Cities of Australia	Major Cities of Australia
AEDC	LCARIANAME	Outer Regional Australia	Outer Regional Australia
AEDC	LCARIANAME	Remote Australia	Remote Australia
AEDC	LCARIANAME	Very Remote Australia	Very Remote Australia
AEDC	LCMAPPABLE	0	No
AEDC	LCMAPPABLE	1	Yes
AEDC	LCPROFILE	0	No
AEDC	LCPROFILE	1	Yes
AEDC	LCPUBLIC	1	The Local Community has AEDC results publicly available
AEDC	LCPUBLIC	21	Local community not public: Less than 15 AEDC children valid
AEDC	LCPUBLIC	22	Local community not public: Less than 2 teachers reporting for the Local Community
AEDC	LCPUBLIC	23	Local community not public: Less than 15 AEDC children valid and less than 2 teachers reporting for the Local Community
AEDC	LCPUBLIC	3	Local community not public: Discrepancy between number of children with instruments and ABS estimated residential population
AEDC	LCPUBLIC	5	Local community not public: Number of AEDC children valid less than 80% of all non-special needs children surveyed in the Local Community
AEDC	LCPUBLIC	6	Local community not public: Number of children <80% of the ABS Estimated Resident Population (ERP) for the Local Community (where ERP >35)
AEDC	LCPUBLIC	9	Local community not public: Location not available
AEDC	MSICATEGORY	1	Low strengths (0 to 18 strengths)
AEDC	MSICATEGORY	2	Medium strengths (19 to 27 strengths)
AEDC	MSICATEGORY	3	High strengths (28 to 39 strengths)
AEDC	MSIVALID	0	Child has special needs status, is 3 years old or has too many unanswered instrument questions for the domain
AEDC	MSIVALID	1	Child does not have special needs, is not 3 years old and has minimum number of valid instrument responses for the domain
AEDC	PHYS_1_VULN	0	Not Developmentally Vulnerable
AEDC	PHYS_1_VULN	1	Developmentally Vulnerable
AEDC	PHYS_2_VULN	0	Not Developmentally Vulnerable
AEDC	PHYS_2_VULN	1	Developmentally Vulnerable
AEDC	PHYS_3_VULN	0	Not Developmentally Vulnerable
AEDC	PHYS_3_VULN	1	Developmentally Vulnerable
AEDC	PLACEOFBIRTH	1	Australia (includes Australian external territories)
AEDC	PLACEOFBIRTH	2	Other main English-speaking country
AEDC	PLACEOFBIRTH	3	Other country
AEDC	PLACEOFBIRTH	4	Unknown
AEDC	REFUGEESTATUS	(blank)	Unknown
AEDC	REFUGEESTATUS	1	Yes
AEDC	SOC_1_VULN	0	Not Developmentally Vulnerable
AEDC	SOC_1_VULN	1	Developmentally Vulnerable
AEDC	SOC_2_VULN	0	Not Developmentally Vulnerable
AEDC	SOC_2_VULN	1	Developmentally Vulnerable
AEDC	SOC_3_VULN	0	Not Developmentally Vulnerable
AEDC	SOC_3_VULN	1	Developmentally Vulnerable
AEDC	SOC_4_VULN	0	Not Developmentally Vulnerable
AEDC	SOC_4_VULN	1	Developmentally Vulnerable
AIR	LCTN_TYP_CD	Aboriginal Health Service or Aboriginal Medical Service (AMS)	Aboriginal Health Service or Aboriginal Medical Service (AMS)
AIR	LCTN_TYP_CD	Community health centre or community health service	Community health centre or community health service
AIR	LCTN_TYP_CD	Council	Council
AIR	LCTN_TYP_CD	Flying doctor service	Flying doctor service
AIR	LCTN_TYP_CD	Medical practice or general practice	Medical practice or general practice
AIR	LCTN_TYP_CD	Pharmacy	Pharmacy
AIR	LCTN_TYP_CD	Private hospital	Private hospital
AIR	LCTN_TYP_CD	Public Health Unit (PHU)	Public Health Unit (PHU)
AIR	LCTN_TYP_CD	Public hospital	Public hospital
AIR	LCTN_TYP_CD	Residential care facility	Residential care facility
AIR	LCTN_TYP_CD	State or territory health department	State or territory health department
AIR	PRVDR_PRCTC_TYP_GRP	Aboriginal Health Service or Aboriginal Medical Service (AMS)	Aboriginal Health Service or Aboriginal Medical Service (AMS)
AIR	PRVDR_PRCTC_TYP_GRP	Authorised Nurse Immuniser (ANI)	Authorised Nurse Immuniser (ANI)
AIR	PRVDR_PRCTC_TYP_GRP	Commercial provider	Commercial provider
AIR	PRVDR_PRCTC_TYP_GRP	Community health centre or community health service	Community health centre or community health service
AIR	PRVDR_PRCTC_TYP_GRP	Council	Council
AIR	PRVDR_PRCTC_TYP_GRP	Flying doctor service	Flying doctor service
AIR	PRVDR_PRCTC_TYP_GRP	Medical practice or general practice	Medical practice or general practice
AIR	PRVDR_PRCTC_TYP_GRP	Pharmacy	Pharmacy
AIR	PRVDR_PRCTC_TYP_GRP	Private hospital	Private hospital
AIR	PRVDR_PRCTC_TYP_GRP	Public Health Unit (PHU)	Public Health Unit (PHU)
AIR	PRVDR_PRCTC_TYP_GRP	Public hospital	Public hospital
AIR	PRVDR_PRCTC_TYP_GRP	Residential care facility	Residential care facility
AIR	PRVDR_PRCTC_TYP_GRP	State or territory health department	State or territory health department
AIR	PRVTYPE	Aboriginal Health Service or Aboriginal Medical Service (AMS)	Aboriginal Health Service or Aboriginal Medical Service (AMS)
AIR	PRVTYPE	Authorised Nurse Immuniser (ANI)	Authorised Nurse Immuniser (ANI)
AIR	PRVTYPE	Commercial provider	Commercial provider
AIR	PRVTYPE	Community health centre or community health service	Community health centre or community health service
AIR	PRVTYPE	Council	Council
AIR	PRVTYPE	Flying doctor service	Flying doctor service
AIR	PRVTYPE	Medical practice or general practice	Medical practice or general practice
AIR	PRVTYPE	Pharmacy	Pharmacy
AIR	PRVTYPE	Private hospital	Private hospital
AIR	PRVTYPE	Public Health Unit (PHU)	Public Health Unit (PHU)
AIR	PRVTYPE	Public hospital	Public hospital
AIR	PRVTYPE	Residential care facility	Residential care facility
AIR	PRVTYPE	State or territory health department	State or territory health department
ATO_CR	POSTALTYPE	CARE PO	care of post office (also poste restante)
ATO_CR	POSTALTYPE	CMA	community mail agent
ATO_CR	POSTALTYPE	CMB	community mail bag
ATO_CR	POSTALTYPE	CPA	community postal agent
ATO_CR	POSTALTYPE	GPO BOX	general post office box
ATO_CR	POSTALTYPE	LOCKED BAG	locked mail bag service
ATO_CR	POSTALTYPE	MS	mail service
ATO_CR	POSTALTYPE	PO BOX	post office box
ATO_CR	POSTALTYPE	PRIVATE BAG	private mail bag service
ATO_CR	POSTALTYPE	RMB	roadside mail bag or box
ATO_CR	POSTALTYPE	RMS	roadside mail service
ATO_CR	POSTALTYPE	RSD	roadside delivery
BLADE	BEC_GROUP_CODE_IM	111	Food and beverages, primary, mainly for industry
BLADE	BEC_GROUP_CODE_IM	112	Food and beverages, primary, mainly for household consumption
BLADE	BEC_GROUP_CODE_IM	121	Food and beverages, processed, mainly for industry
BLADE	BEC_GROUP_CODE_IM	122	Food and beverages, processed, mainly for household consumption
BLADE	BEC_GROUP_CODE_IM	210	Industrial supplies nes, primary
BLADE	BEC_GROUP_CODE_IM	220	Industrial supplies nes, processed
BLADE	BEC_GROUP_CODE_IM	310	Fuels and lubricants, primary
BLADE	BEC_GROUP_CODE_IM	321	Fuels and lubricants, processed, motor spirit
BLADE	BEC_GROUP_CODE_IM	322	Fuels and lubricants, processed (other than motor spirit)
BLADE	BEC_GROUP_CODE_IM	410	Capital goods (except transport equipment)
BLADE	BEC_GROUP_CODE_IM	420	Parts and accessories of capital goods (except transport equipment)
BLADE	BEC_GROUP_CODE_IM	510	Transport equipment, passenger motor cars
BLADE	BEC_GROUP_CODE_IM	521	Transport equipment, other, industrial
BLADE	BEC_GROUP_CODE_IM	522	Transport equipment, other, non-industrial
BLADE	BEC_GROUP_CODE_IM	530	Parts and accessories of transport equipment
BLADE	BEC_GROUP_CODE_IM	610	Consumption goods nes, durable
BLADE	BEC_GROUP_CODE_IM	620	Consumption goods nes, semi-durable
BLADE	BEC_GROUP_CODE_IM	630	Consumption goods nes, non-durable
BLADE	BEC_GROUP_CODE_IM	700	Goods nes
BLADE	BEC_GROUP_CODE_IM	900	Non-merchandise trade (ABS code, outside the UN BEC structure; all such HTISCs are flagged MERCH = N)
BLADE	CLASSIFICATION_AREA	(empty string)	(empty string)
BLADE	CLASSIFICATION_AREA	01	01
BLADE	CLASSIFICATION_AREA	02	02
BLADE	CLASSIFICATION_AREA	03	03
BLADE	CLASSIFICATION_AREA	04	04
BLADE	CLASSIFICATION_AREA	05	05
BLADE	CLASSIFICATION_AREA	06	06
BLADE	CLASSIFICATION_AREA	07	07
BLADE	CLASSIFICATION_AREA	08	08
BLADE	CLASSIFICATION_AREA	09	09
BLADE	CLASSIFICATION_AREA	1	1
BLADE	CLASSIFICATION_AREA	1_electrical_machinery_apparatus_energy	1_electrical_machinery_apparatus_energy
BLADE	CLASSIFICATION_AREA	10	10
BLADE	CLASSIFICATION_AREA	10_measurement	10_measurement
BLADE	CLASSIFICATION_AREA	11	11
BLADE	CLASSIFICATION_AREA	11_analysis_of_biological_materials	11_analysis_of_biological_materials
BLADE	CLASSIFICATION_AREA	12	12
BLADE	CLASSIFICATION_AREA	12_control	12_control
BLADE	CLASSIFICATION_AREA	13	13
BLADE	CLASSIFICATION_AREA	13_medical_technology	13_medical_technology
BLADE	CLASSIFICATION_AREA	14	14
BLADE	CLASSIFICATION_AREA	14_organic_fine_chemistry	14_organic_fine_chemistry
BLADE	CLASSIFICATION_AREA	15	15
BLADE	CLASSIFICATION_AREA	15_biotechnology	15_biotechnology
BLADE	CLASSIFICATION_AREA	16	16
BLADE	CLASSIFICATION_AREA	16_pharmaceuticals	16_pharmaceuticals
BLADE	CLASSIFICATION_AREA	17	17
BLADE	CLASSIFICATION_AREA	17_macromolecular_chemistry_polymers	17_macromolecular_chemistry_polymers
BLADE	CLASSIFICATION_AREA	18	18
BLADE	CLASSIFICATION_AREA	18_food_chemistry	18_food_chemistry
BLADE	CLASSIFICATION_AREA	19	19
BLADE	CLASSIFICATION_AREA	19_basic_materials_chemistry	19_basic_materials_chemistry
BLADE	CLASSIFICATION_AREA	2	2
BLADE	CLASSIFICATION_AREA	2_audio_visual_technology	2_audio_visual_technology
BLADE	CLASSIFICATION_AREA	20	20
BLADE	CLASSIFICATION_AREA	20_materials_metallurgy	20_materials_metallurgy
BLADE	CLASSIFICATION_AREA	21	21
BLADE	CLASSIFICATION_AREA	21_surface_technology_coating	21_surface_technology_coating
BLADE	CLASSIFICATION_AREA	22	22
BLADE	CLASSIFICATION_AREA	22_micro_structure_and_nano_technology	22_micro_structure_and_nano_technology
BLADE	CLASSIFICATION_AREA	23	23
BLADE	CLASSIFICATION_AREA	23_chemical_engineering	23_chemical_engineering
BLADE	CLASSIFICATION_AREA	24	24
BLADE	CLASSIFICATION_AREA	24_environmental_technology	24_environmental_technology
BLADE	CLASSIFICATION_AREA	25	25
BLADE	CLASSIFICATION_AREA	25_handling	25_handling
BLADE	CLASSIFICATION_AREA	26	26
BLADE	CLASSIFICATION_AREA	26_machine_tools	26_machine_tools
BLADE	CLASSIFICATION_AREA	27	27
BLADE	CLASSIFICATION_AREA	27_engines_pumps_turbines	27_engines_pumps_turbines
BLADE	CLASSIFICATION_AREA	28	28
BLADE	CLASSIFICATION_AREA	28_textile_and_paper_machines	28_textile_and_paper_machines
BLADE	CLASSIFICATION_AREA	29	29
BLADE	CLASSIFICATION_AREA	29_other_special_machines	29_other_special_machines
BLADE	CLASSIFICATION_AREA	3	3
BLADE	CLASSIFICATION_AREA	3_telecommunications	3_telecommunications
