anzsco_code	ato_code	match_level
221211	221211	exact
221212	221212	exact
221213	221213	exact
221214	221214	exact
222000	222111	minor
222111	222111	exact
222112	222112	exact
222113	222113	exact
222199	222199	exact
222211	222211	exact
222212	222212	exact
222213	222213	exact
222299	222299	exact
222311	222311	exact
222312	222312	exact
223000	223111	minor
223111	223111	exact
223112	223112	exact
223113	223113	exact
223211	223111	minor
223311	223311	exact
224000	224111	minor
224111	224111	exact
224112	224112	exact
224113	224111	unit
224211	224211	exact
224212	224212	exact
224213	224213	exact
224214	224214	exact
224311	224311	exact
224411	224411	exact
224412	224412	exact
224511	224511	exact
224512	224512	exact
224611	224611	exact
224711	224712	unit
224712	224712	exact
224911	224911	exact
224912	224912	exact
224913	224913	exact
224914	224914	exact
224999	224999	exact
225000	225111	minor
225111	225111	exact
225112	225112	exact
225113	225113	exact
225211	225211	exact
225212	225212	exact
225213	225213	exact
225311	225311	exact
225411	225411	exact
225412	225412	exact
225499	225499	exact
230000	211111	major
231000	231111	minor
231111	231111	exact
231112	231112	exact
231113	231113	exact
231114	231114	exact
231199	231199	exact
231211	231211	exact
231212	231212	exact
231213	231213	exact
231214	231214	exact
231215	231215	exact
231299	231299	exact
232000	232111	minor
232111	232111	exact
232112	232112	exact
232211	232212	unit
232212	232212	exact
232213	232213	exact
232214	232214	exact
232311	232311	exact
232312	232312	exact
232313	232313	exact
232411	232411	exact
232412	232412	exact
232413	232413	exact
232414	232414	exact
232511	232511	exact
232611	232611	exact
233000	233111	minor
233111	233111	exact
233112	233112	exact
233211	233211	exact
233212	233212	exact
233213	233213	exact
233214	233214	exact
233215	233215	exact
233311	233311	exact
233411	233411	exact
233511	233511	exact
233512	233512	exact
233513	233513	exact
233611	233611	exact
233612	233612	exact
233911	233911	exact
233912	233912	exact
233913	233913	exact
233914	233914	exact
233915	233915	exact
233916	233916	exact
233999	233999	exact
234000	234111	minor
234111	234111	exact
234112	234111	unit
234113	234113	exact
234211	234211	exact
234212	234212	exact
234213	234213	exact
234311	234311	exact
234312	234312	exact
234313	234313	exact
234314	234314	exact
234399	234399	exact
234411	234411	exact
234412	234412	exact
234413	234413	exact
234511	234511	exact
234512	234511	unit
234513	234513	exact
234514	234514	exact
234515	234515	exact
234516	234516	exact
234517	234517	exact
234518	234511	unit
234599	234599	exact
234611	234611	exact
234711	234711	exact
234911	234911	exact
234912	234912	exact
234913	234913	exact
234914	234914	exact
234915	234915	exact
234999	234999	exact
240000	211111	major
241000	241111	minor
241111	241111	exact
241112	241111	unit
241211	241213	unit
241212	241213	unit
241213	241213	exact
241311	241311	exact
241411	241411	exact
241511	241511	exact
241512	241512	exact
241513	241513	exact
241599	241599	exact
242000	242111	minor
242111	242111	exact
242112	242112	exact
242211	242211	exact
249000	249111	minor
249111	249111	exact
249112	249112	exact
249211	249211	exact
249212	249212	exact
249213	249213	exact
249214	249214	exact
249299	249299	exact
249311	249311	exact
250000	211111	major
251000	251111	minor
251111	251111	exact
251112	251112	exact
251211	251211	exact
251212	251212	exact
251213	251213	exact
251214	251214	exact
251311	251311	exact
251312	251312	exact
251411	251411	exact
251412	251412	exact
251511	251511	exact
251512	251512	exact
251513	251513	exact
251911	251911	exact
251912	251912	exact
251999	251999	exact
252000	252111	minor
252111	252111	exact
252112	252112	exact
252211	252211	exact
252212	252212	exact
252213	252213	exact
252214	252214	exact
252215	252211	unit
252299	252299	exact
252311	252311	exact
252312	252312	exact
252411	252411	exact
252511	252511	exact
252611	252611	exact
252711	252711	exact
252712	252712	exact
253000	253111	minor
253111	253111	exact
253112	253112	exact
253211	253211	exact
253311	253311	exact
253312	253312	exact
253313	253313	exact
253314	253314	exact
253315	253315	exact
253316	253316	exact
253317	253317	exact
253318	253318	exact
253321	253321	exact
253322	253322	exact
253323	253323	exact
253324	253324	exact
253399	253399	exact
253411	253411	exact
253511	253511	exact
253512	253512	exact
253513	253513	exact
253514	253514	exact
253515	253515	exact
253516	253516	exact
253517	253517	exact
253518	253518	exact
253521	253521	exact
253911	253911	exact
253912	253912	exact
253913	253913	exact
253914	253914	exact
253915	253915	exact
253916	253911	unit
253917	253917	exact
253918	253918	exact
253999	253999	exact
254000	254111	minor
254111	254111	exact
254211	254211	exact
254212	254212	exact
254311	254311	exact
254411	254411	exact
254412	254412	exact
254413	254413	exact
254414	254414	exact
254415	254415	exact
254416	254416	exact
254417	254417	exact
254418	254418	exact
254421	254421	exact
254422	254422	exact
254423	254423	exact
254424	254424	exact
254425	254425	exact
254499	254499	exact
260000	211111	major
261000	261111	minor
261111	261111	exact
261112	261112	exact
261211	261211	exact
261212	261212	exact
261311	261311	exact
261312	261312	exact
261313	261313	exact
261314	261314	exact
261399	261311	unit
262000	262111	minor
262111	262111	exact
262112	262111	unit
262113	262113	exact
263000	263111	minor
263111	263111	exact
263112	263112	exact
263113	263113	exact
263211	263211	exact
263212	263212	exact
263213	263213	exact
263299	263299	exact
263311	263311	exact
263312	263312	exact
270000	211111	major
271000	271111	minor
271111	271111	exact
271211	271211	exact
271212	271212	exact
271213	271213	exact
271214	271214	exact
271299	271299	exact
271311	271311	exact
272000	272111	minor
272111	272111	exact
272112	272112	exact
272113	272113	exact
272114	272114	exact
272115	272115	exact
272199	272199	exact
272211	272211	exact
272311	272311	exact
272312	272312	exact
272313	272313	exact
272314	272314	exact
272399	272399	exact
272411	272411	exact
272412	272412	exact
272413	272413	exact
272414	272414	exact
272499	272499	exact
272511	272511	exact
272611	272611	exact
272612	272612	exact
272613	272613	exact
300000	311112	major
310000	311112	major
311000	311112	minor
311111	311112	unit
311211	311211	exact
311212	311212	exact
311213	311213	exact
311214	311214	exact
311215	311215	exact
311216	311216	exact
311299	311299	exact
311311	311311	exact
311312	311312	exact
311313	311313	exact
311399	311399	exact
311411	311411	exact
311412	311412	exact
311413	311413	exact
311414	311414	exact
311415	311411	unit
311499	311499	exact
312000	312111	minor
312111	312111	exact
312112	312112	exact
312113	312113	exact
312114	312114	exact
312115	312115	exact
312116	312116	exact
312199	312199	exact
312211	312211	exact
312212	312212	exact
312311	312311	exact
312312	312312	exact
312411	312411	exact
312412	312412	exact
312511	312511	exact
312512	312512	exact
312611	312611	exact
312911	312911	exact
312912	312912	exact
312913	312913	exact
312999	312999	exact
313000	313111	minor
313111	313111	exact
313112	313112	exact
313113	313113	exact
313199	313199	exact
313211	313211	exact
313212	313212	exact
313213	313213	exact
313214	313214	exact
320000	311112	major
321000	321111	minor
321111	321111	exact
321211	321211	exact
321212	321212	exact
321213	321213	exact
321214	321214	exact
322000	322111	minor
322111	322111	exact
322112	322112	exact
322113	322113	exact
322114	322114	exact
322115	322115	exact
322211	322211	exact
322311	322311	exact
322312	322312	exact
322313	322313	exact
323000	323111	minor
323111	323111	exact
323112	323112	exact
323113	323113	exact
323211	323211	exact
323212	323212	exact
323213	323213	exact
323214	323214	exact
323215	323215	exact
323299	323211	unit
323311	323311	exact
323312	323312	exact
323313	323313	exact
323314	323314	exact
323315	323315	exact
323316	323316	exact
323411	323411	exact
323412	323412	exact
324000	324111	minor
324111	324111	exact
324211	324211	exact
324212	324212	exact
324311	324311	exact
330000	311112	major
331000	331111	minor
331111	331111	exact
331112	331112	exact
331211	331211	exact
331212	331212	exact
331213	331213	exact
332000	332111	minor
332111	332111	exact
332211	332211	exact
333000	333111	minor
333111	333111	exact
333211	333211	exact
333212	333212	exact
333311	333311	exact
333411	333411	exact
334000	334112	minor
334111	334112	unit
334112	334112	exact
334113	334113	exact
334114	334114	exact
334115	334115	exact
340000	311112	major
341000	341111	minor
341111	341111	exact
341112	341111	unit
341113	341113	exact
342000	342111	minor
342111	342111	exact
342211	342211	exact
342212	342212	exact
342311	342311	exact
342312	342312	exact
342313	342313	exact
342314	342314	exact
342315	342311	unit
342411	342411	exact
342412	342412	exact
342413	342413	exact
342414	342414	exact
350000	311112	major
351000	351111	minor
351111	351111	exact
351112	351112	exact
351211	351211	exact
351311	351311	exact
351411	351411	exact
360000	311112	major
361000	361111	minor
361111	361111	exact
361112	361112	exact
361113	361113	exact
361114	361114	exact
361115	361115	exact
361199	361199	exact
361211	361111	minor
361311	361311	exact
362000	362111	minor
362111	362111	exact
362211	362111	minor
362212	362111	minor
362213	362111	minor
362311	362312	unit
362411	362411	exact
390000	311112	major
391000	391111	minor
391111	391111	exact
392000	392111	minor
392111	392111	exact
392112	392112	exact
392211	392211	exact
392311	392311	exact
392312	392312	exact
393000	393111	minor
393111	393111	exact
393112	393112	exact
393113	393113	exact
393114	393114	exact
393211	393211	exact
393212	393212	exact
393213	393213	exact
393299	393299	exact
393311	393311	exact
394000	394112	minor
394111	394112	unit
394211	394211	exact
394212	394212	exact
394213	394213	exact
394214	394214	exact
394299	394299	exact
399000	399111	minor
399111	399111	exact
399112	399112	exact
399211	399211	exact
399212	399212	exact
399213	399213	exact
399311	399311	exact
399312	399312	exact
399411	399411	exact
399511	399511	exact
399512	399512	exact
399513	399513	exact
399514	399514	exact
399515	399515	exact
399516	399516	exact
399517	399517	exact
399599	399599	exact
399611	399611	exact
399911	399911	exact
399912	399912	exact
399913	399913	exact
399914	399914	exact
399915	399915	exact
399916	399916	exact
399917	399911	unit
399918	399918	exact
399999	399999	exact
400000	411111	major
410000	411111	major
411000	411111	minor
411111	411111	exact
411112	411111	unit
411211	411211	exact
411212	411212	exact
411213	411213	exact
411214	411214	exact
411311	411311	exact
411411	411411	exact
411412	411412	exact
411511	411511	exact
411512	411511	unit
411611	411611	exact
411711	411711	exact
411712	411712	exact
411713	411713	exact
411714	411714	exact
411715	411715	exact
411716	411716	exact
420000	411111	major
421000	421111	minor
421111	421111	exact
421112	421112	exact
421113	421113	exact
421114	421114	exact
422000	422111	minor
422111	422111	exact
422112	422112	exact
422113	422111	unit
422114	422111	unit
422115	422115	exact
422116	422116	exact
423000	423111	minor
423111	423111	exact
423211	423211	exact
423311	423311	exact
423312	423312	exact
423313	423313	exact
423314	423314	exact
423411	423411	exact
423412	423412	exact
423413	423413	exact
430000	411111	major
431000	431111	minor
431111	431111	exact
431112	431112	exact
431211	431211	exact
431311	431311	exact
431411	431411	exact
431511	431511	exact
431911	431911	exact
431912	431912	exact
431999	431999	exact
440000	411111	major
441000	441111	minor
441111	441111	exact
441211	441211	exact
441212	441212	exact
441311	441311	exact
441312	441312	exact
442000	442111	minor
442111	442111	exact
442211	442211	exact
442212	442212	exact
442213	442213	exact
442214	442214	exact
442215	442215	exact
442216	442216	exact
442217	442217	exact
442299	442299	exact
450000	411111	major
451000	451111	minor
451111	451111	exact
451211	451211	exact
451311	451311	exact
451399	451399	exact
451411	451411	exact
451412	451412	exact
451511	451511	exact
451512	451512	exact
451513	451513	exact
451611	451611	exact
451612	451612	exact
451711	451711	exact
451799	451799	exact
451811	451811	exact
451812	451812	exact
451813	451813	exact
451814	451814	exact
451815	451815	exact
451816	451816	exact
451899	451899	exact
452000	452111	minor
452111	452111	exact
452211	452211	exact
452212	452212	exact
452213	452213	exact
452214	452214	exact
452215	452215	exact
452216	452216	exact
452217	452217	exact
452299	452299	exact
452311	452311	exact
452312	452312	exact
452313	452313	exact
452314	452314	exact
452315	452315	exact
452316	452316	exact
452317	452317	exact
452318	452318	exact
452321	452321	exact
452322	452322	exact
452323	452323	exact
452411	452411	exact
452412	452412	exact
452413	452413	exact
452414	452414	exact
452499	452499	exact
500000	511111	major
510000	511111	major
511000	511111	minor
511111	511111	exact
511112	511112	exact
512000	512111	minor
512111	512111	exact
512211	512211	exact
512299	512299	exact
520000	511111	major
521000	521111	minor
521111	521111	exact
521211	521211	exact
521212	521212	exact
530000	511111	major
531000	531000	exact
531111	531111	exact
532000	532111	minor
532111	532111	exact
532112	532112	exact
532113	532113	exact
540000	511111	major
541000	541111	minor
541111	541111	exact
541112	541112	exact
541211	541211	exact
542000	542111	minor
542111	542111	exact
542112	542112	exact
542113	542113	exact
542114	542114	exact
550000	511111	major
551000	551111	minor
551111	551111	exact
551112	551112	exact
551211	551211	exact
551311	551311	exact
552000	552111	minor
552111	552111	exact
552211	552211	exact
552311	552311	exact
552312	552312	exact
552313	552313	exact
552314	552314	exact
560000	511111	major
561000	561000	exact
561111	561111	exact
561112	561112	exact
561113	561113	exact
561199	561199	exact
561211	561211	exact
561212	561212	exact
561311	561311	exact
561411	561411	exact
561412	561412	exact
561511	561511	exact
561611	561611	exact
561911	561911	exact
561912	561912	exact
561913	561913	exact
561999	561999	exact
590000	511111	major
591000	591112	minor
591111	591112	unit
591112	591112	exact
591113	591113	exact
591114	591112	unit
591115	591115	exact
591116	591116	exact
591117	591117	exact
591211	591211	exact
591212	591212	exact
599000	599111	minor
599111	599111	exact
599112	599112	exact
599211	599211	exact
599212	599212	exact
599213	599213	exact
599214	599214	exact
599215	599215	exact
599311	599311	exact
599411	599411	exact
599511	599511	exact
599512	599512	exact
599513	599513	exact
599514	599514	exact
599515	599515	exact
599516	599516	exact
599517	599517	exact
599518	599518	exact
599521	599521	exact
599599	599599	exact
599611	599611	exact
599612	599612	exact
599613	599613	exact
599711	599711	exact
599911	599912	unit
599912	599912	exact
599913	599913	exact
599914	599914	exact
599915	599915	exact
599916	599916	exact
599999	599999	exact
600000	611111	major
610000	611111	major
611000	611111	minor
611111	611111	exact
611112	611112	exact
611211	611211	exact
611311	611311	exact
611312	611312	exact
611313	611313	exact
611314	611314	exact
611399	611399	exact
612000	612111	minor
612111	612111	exact
612112	612112	exact
612113	612113	exact
612114	612114	exact
612115	612115	exact
620000	611111	major
621000	621111	minor
621111	621111	exact
621211	621211	exact
621311	621311	exact
621312	621311	unit
621411	621411	exact
621511	621511	exact
621611	621611	exact
621711	621711	exact
621712	621712	exact
621713	621713	exact
621911	621911	exact
621912	621912	exact
621999	621999	exact
630000	611111	major
631000	631111	minor
631111	631111	exact
631112	631112	exact
639000	639111	minor
639111	639111	exact
639112	639112	exact
639211	639211	exact
639212	639212	exact
639311	639311	exact
639411	639411	exact
639412	639412	exact
639511	639511	exact
639911	639111	minor
700000	711111	major
710000	711111	major
711000	711111	minor
711111	711111	exact
711112	711112	exact
711113	711113	exact
711114	711114	exact
711199	711111	unit
711211	711211	exact
711311	711311	exact
711312	711311	unit
711313	711313	exact
711314	711314	exact
711411	711411	exact
711511	711511	exact
711512	711512	exact
711513	711513	exact
711514	711514	exact
711515	711515	exact
711516	711516	exact
711599	711511	unit
711611	711611	exact
711711	711711	exact
711712	711712	exact
711713	711713	exact
711714	711714	exact
711715	711715	exact
711716	711716	exact
711799	711711	unit
711911	711911	exact
711912	711912	exact
711913	711913	exact
711914	711914	exact
711999	711999	exact
712000	712111	minor
712111	712111	exact
712211	712211	exact
712212	712212	exact
712213	712213	exact
712311	712311	exact
712911	712911	exact
712912	712912	exact
712913	712913	exact
712914	712914	exact
712915	712915	exact
712916	712916	exact
712917	712917	exact
712918	712918	exact
712921	712921	exact
712922	712922	exact
712999	712999	exact
720000	711111	major
721000	721111	minor
721111	721111	exact
721112	721112	exact
721211	721211	exact
721212	721212	exact
721213	721213	exact
721214	721214	exact
721215	721215	exact
721216	721216	exact
721311	721311	exact
721911	721911	exact
721912	721912	exact
721913	721913	exact
721914	721914	exact
721915	721915	exact
721916	721916	exact
721999	721999	exact
730000	711111	major
731000	731111	minor
731111	731111	exact
731112	731112	exact
731199	731111	unit
731211	731211	exact
731212	731212	exact
731213	731213	exact
731311	731311	exact
731312	731312	exact
732000	732111	minor
732111	732111	exact
733000	733111	minor
733111	733111	exact
733112	733112	exact
733113	733113	exact
733114	733114	exact
733115	733115	exact
740000	711111	major
741000	741111	minor
741111	741111	exact
800000	811111	major
810000	811111	major
811000	811111	minor
811111	811111	exact
811211	811211	exact
811311	811311	exact
811411	811411	exact
811412	811412	exact
811511	811511	exact
811512	811512	exact
811513	811513	exact
811611	811611	exact
811612	811612	exact
811699	811699	exact
820000	811111	major
821000	821111	minor
821111	821111	exact
821112	821112	exact
821113	821113	exact
821114	821114	exact
821211	821211	exact
821311	821311	exact
821411	821411	exact
821412	821412	exact
821511	821511	exact
821611	821611	exact
821711	821711	exact
821712	821712	exact
821713	821713	exact
821714	821714	exact
821911	821911	exact
821912	821912	exact
821913	821913	exact
821914	821914	exact
821915	821915	exact
830000	811111	major
831000	831111	minor
831111	831111	exact
831112	831112	exact
831113	831113	exact
831114	831114	exact
831115	831115	exact
831116	831116	exact
831117	831117	exact
831118	831118	exact
831199	831199	exact
831211	831211	exact
831212	831212	exact
831311	831311	exact
831312	831312	exact
831313	831313	exact
832000	832111	minor
832111	832111	exact
832112	832112	exact
832113	832113	exact
832114	832114	exact
832115	832115	exact
832199	832199	exact
832211	832211	exact
839000	839111	minor
839111	839111	exact
839211	839211	exact
839212	839212	exact
839311	839311	exact
839312	839312	exact
839313	839313	exact
839411	839411	exact
839412	839412	exact
839413	839413	exact
839911	839911	exact
839912	839912	exact
839913	839913	exact
839914	839914	exact
839915	839915	exact
839916	839916	exact
839917	839917	exact
839918	839918	exact
839999	839999	exact
840000	811111	major
841000	811111	major
841111	811111	major
841211	811111	major
841212	811111	major
841213	811111	major
841214	811111	major
841215	811111	major
841216	811111	major
841217	811111	major
841299	811111	major
841311	811111	major
841312	811111	major
841313	811111	major
841411	811111	major
841412	811111	major
841511	811111	major
841512	811111	major
841513	811111	major
841514	811111	major
841515	811111	major
841516	811111	major
841517	811111	major
841599	811111	major
841611	811111	major
841911	811111	major
841912	811111	major
841913	811111	major
841999	811111	major
850000	811111	major
851000	851111	minor
851111	851111	exact
851211	851211	exact
851299	851211	unit
851311	851311	exact
890000	811111	major
891000	891111	minor
891111	891111	exact
891112	891112	exact
891113	891113	exact
891211	891211	exact
899000	899111	minor
899111	899111	exact
899211	899211	exact
899212	899212	exact
899311	899311	exact
899411	899411	exact
899412	899412	exact
899413	899413	exact
899414	899414	exact
899415	899415	exact
899511	899511	exact
899512	899512	exact
899611	899611	exact
899711	899711	exact
899911	899911	exact
899912	899912	exact
899913	899913	exact
899914	899914	exact
899915	899915	exact
899916	899916	exact
899917	899917	exact
899918	899918	exact
899921	899921	exact
899922	899922	exact
899923	899923	exact
899999	899999	exact
