anzsic_division_code	anzsic_division	anzsic_class_code	anzsic_class
A	Agriculture, Forestry and Fishing	0412	Prawn Fishing
A	Agriculture, Forestry and Fishing	0413	Line Fishing
A	Agriculture, Forestry and Fishing	0414	Fish Trawling, Seining and Netting
A	Agriculture, Forestry and Fishing	0419	Other Fishing
A	Agriculture, Forestry and Fishing	0420	Hunting and Trapping
A	Agriculture, Forestry and Fishing	0510	Forestry Support Services
A	Agriculture, Forestry and Fishing	0521	Cotton Ginning
A	Agriculture, Forestry and Fishing	0522	Shearing Services
A	Agriculture, Forestry and Fishing	0529	Other Agriculture and Fishing Support Services
B	Mining	0600	Coal Mining
B	Mining	0700	Oil and Gas Extraction
B	Mining	0801	Iron Ore Mining
B	Mining	0802	Bauxite Mining
B	Mining	0803	Copper Ore Mining
B	Mining	0804	Gold Ore Mining
B	Mining	0805	Mineral Sand Mining
B	Mining	0806	Nickel Ore Mining
B	Mining	0807	Silver-Lead-Zinc Ore Mining
B	Mining	0809	Other Metal Ore Mining
B	Mining	0911	Gravel and Sand Quarrying
B	Mining	0919	Other Construction Material Mining
B	Mining	0990	Other Non-Metallic Mineral Mining and Quarrying
B	Mining	1011	Petroleum Exploration
B	Mining	1012	Mineral Exploration
B	Mining	1090	Other Mining Support Services
C	Manufacturing	1111	Meat Processing
C	Manufacturing	1112	Poultry Processing
C	Manufacturing	1113	Cured Meat and Smallgoods Manufacturing
C	Manufacturing	1120	Seafood Processing
C	Manufacturing	1131	Milk and Cream Processing
C	Manufacturing	1132	Ice Cream Manufacturing
C	Manufacturing	1133	Cheese and Other Dairy Product Manufacturing
C	Manufacturing	1140	Fruit and Vegetable Processing
C	Manufacturing	1150	Oil and Fat Manufacturing
C	Manufacturing	1161	Grain Mill Product Manufacturing
C	Manufacturing	1162	Cereal, Pasta and Baking Mix Manufacturing
C	Manufacturing	1171	Bread Manufacturing (Factory based)
C	Manufacturing	1172	Cake and Pastry Manufacturing (Factory based)
C	Manufacturing	1173	Biscuit Manufacturing (Factory based)
C	Manufacturing	1174	Bakery Product Manufacturing (Non-factory based)
C	Manufacturing	1181	Sugar Manufacturing
C	Manufacturing	1182	Confectionery Manufacturing
C	Manufacturing	1191	Potato, Corn and Other Crisp Manufacturing
C	Manufacturing	1192	Prepared Animal and Bird Feed Manufacturing
C	Manufacturing	1199	Other Food Product Manufacturing n.e.c.
C	Manufacturing	1211	Soft Drink, Cordial and Syrup Manufacturing
C	Manufacturing	1212	Beer Manufacturing
C	Manufacturing	1213	Spirit Manufacturing
C	Manufacturing	1214	Wine and Other Alcoholic Beverage Manufacturing
C	Manufacturing	1220	Cigarette and Tobacco Product Manufacturing
C	Manufacturing	1311	Wool Scouring
C	Manufacturing	1312	Natural Textile Manufacturing
C	Manufacturing	1313	Synthetic Textile Manufacturing
C	Manufacturing	1320	Leather Tanning, Fur Dressing and Leather Product Manufacturing
C	Manufacturing	1331	Textile Floor Covering Manufacturing
C	Manufacturing	1332	Rope, Cordage and Twine Manufacturing
C	Manufacturing	1333	Cut and Sewn Textile Product Manufacturing
C	Manufacturing	1334	Textile Finishing and Other Textile Product Manufacturing
C	Manufacturing	1340	Knitted Product Manufacturing
C	Manufacturing	1351	Clothing Manufacturing
C	Manufacturing	1352	Footwear Manufacturing
C	Manufacturing	1411	Log Sawmilling
C	Manufacturing	1412	Wood Chipping
C	Manufacturing	1413	Timber Resawing and Dressing
C	Manufacturing	1491	Prefabricated Wooden Building Manufacturing
C	Manufacturing	1492	Wooden Structural Fitting and Component Manufacturing
C	Manufacturing	1493	Veneer and Plywood Manufacturing
C	Manufacturing	1494	Reconstituted Wood Product Manufacturing
C	Manufacturing	1499	Other Wood Product Manufacturing n.e.c.
C	Manufacturing	1510	Pulp, Paper and Paperboard Manufacturing
C	Manufacturing	1521	Corrugated Paperboard and Paperboard Container Manufacturing
C	Manufacturing	1522	Paper Bag Manufacturing
C	Manufacturing	1523	Paper Stationery Manufacturing
C	Manufacturing	1524	Sanitary Paper Product Manufacturing
C	Manufacturing	1529	Other Converted Paper Product Manufacturing
C	Manufacturing	1611	Printing
C	Manufacturing	1612	Printing Support Services
C	Manufacturing	1620	Reproduction of Recorded Media
C	Manufacturing	1701	Petroleum Refining and Petroleum Fuel Manufacturing
C	Manufacturing	1709	Other Petroleum and Coal Product Manufacturing
C	Manufacturing	1811	Industrial Gas Manufacturing
C	Manufacturing	1812	Basic Organic Chemical Manufacturing
C	Manufacturing	1813	Basic Inorganic Chemical Manufacturing
C	Manufacturing	1821	Synthetic Resin and Synthetic Rubber Manufacturing
C	Manufacturing	1829	Other Basic Polymer Manufacturing
C	Manufacturing	1831	Fertiliser Manufacturing
C	Manufacturing	1832	Pesticide Manufacturing
C	Manufacturing	1841	Human Pharmaceutical and Medicinal Product Manufacturing
C	Manufacturing	1842	Veterinary Pharmaceutical and Medicinal Product Manufacturing
C	Manufacturing	1851	Cleaning Compound Manufacturing
C	Manufacturing	1852	Cosmetic and Toiletry Preparation Manufacturing
C	Manufacturing	1891	Photographic Chemical Product Manufacturing
C	Manufacturing	1892	Explosive Manufacturing
C	Manufacturing	1899	Other Basic Chemical Product Manufacturing n.e.c.
C	Manufacturing	1911	Polymer Film and Sheet Packaging Material Manufacturing
C	Manufacturing	1912	Rigid and Semi-Rigid Polymer Product Manufacturing
C	Manufacturing	1913	Polymer Foam Product Manufacturing
C	Manufacturing	1914	Tyre Manufacturing
C	Manufacturing	1915	Adhesive Manufacturing
C	Manufacturing	1916	Paint and Coatings Manufacturing
C	Manufacturing	1919	Other Polymer Product Manufacturing
C	Manufacturing	1920	Natural Rubber Product Manufacturing
C	Manufacturing	2010	Glass and Glass Product Manufacturing
C	Manufacturing	2021	Clay Brick Manufacturing
C	Manufacturing	2029	Other Ceramic Product Manufacturing
C	Manufacturing	2031	Cement and Lime Manufacturing
C	Manufacturing	2032	Plaster Product Manufacturing
C	Manufacturing	2033	Ready-Mixed Concrete Manufacturing
C	Manufacturing	2034	Concrete Product Manufacturing
C	Manufacturing	2090	Other Non-Metallic Mineral Product Manufacturing
C	Manufacturing	2110	Iron Smelting and Steel Manufacturing
C	Manufacturing	2121	Iron and Steel Casting
C	Manufacturing	2122	Steel Pipe and Tube Manufacturing
C	Manufacturing	2131	Alumina Production
C	Manufacturing	2132	Aluminium Smelting
C	Manufacturing	2133	Copper, Silver, Lead and Zinc Smelting and Refining
C	Manufacturing	2139	Other Basic Non-Ferrous Metal Manufacturing
C	Manufacturing	2141	Non-Ferrous Metal Casting
C	Manufacturing	2142	Aluminium Rolling, Drawing, Extruding
C	Manufacturing	2149	Other Basic Non-Ferrous Metal Product Manufacturing
C	Manufacturing	2210	Iron and Steel Forging
C	Manufacturing	2221	Structural Steel Fabricating
C	Manufacturing	2222	Prefabricated Metal Building Manufacturing
C	Manufacturing	2223	Architectural Aluminium Product Manufacturing
C	Manufacturing	2224	Metal Roof and Guttering Manufacturing (except Aluminium)
C	Manufacturing	2229	Other Structural Metal Product Manufacturing
C	Manufacturing	2231	Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing
C	Manufacturing	2239	Other Metal Container Manufacturing
C	Manufacturing	2240	Sheet Metal Product Manufacturing (except Metal Structural and Container Products)
C	Manufacturing	2291	Spring and Wire Product Manufacturing
C	Manufacturing	2292	Nut, Bolt, Screw and Rivet Manufacturing
C	Manufacturing	2293	Metal Coating and Finishing
C	Manufacturing	2299	Other Fabricated Metal Product Manufacturing n.e.c.
C	Manufacturing	2311	Motor Vehicle Manufacturing
C	Manufacturing	2312	Motor Vehicle Body and Trailer Manufacturing
C	Manufacturing	2313	Automotive Electrical Component Manufacturing
C	Manufacturing	2319	Other Motor Vehicle Parts Manufacturing
C	Manufacturing	2391	Shipbuilding and Repair Services
C	Manufacturing	2392	Boatbuilding and Repair Services
C	Manufacturing	2393	Railway Rolling Stock Manufacturing and Repair Services
C	Manufacturing	2394	Aircraft Manufacturing and Repair Services
C	Manufacturing	2399	Other Transport Equipment Manufacturing n.e.c.
C	Manufacturing	2411	Photographic, Optical and Ophthalmic Equipment Manufacturing
C	Manufacturing	2412	Medical and Surgical Equipment Manufacturing
C	Manufacturing	2419	Other Professional and Scientific Equipment Manufacturing
C	Manufacturing	2421	Computer and Electronic Office Equipment Manufacturing
C	Manufacturing	2422	Communications Equipment Manufacturing
C	Manufacturing	2429	Other Electronic Equipment Manufacturing
C	Manufacturing	2431	Electric Cable and Wire Manufacturing
C	Manufacturing	2432	Electric Lighting Equipment Manufacturing
C	Manufacturing	2439	Other Electrical Equipment Manufacturing
C	Manufacturing	2441	Whiteware Appliance Manufacturing
C	Manufacturing	2449	Other Domestic Appliance Manufacturing
C	Manufacturing	2451	Pump and Compressor Manufacturing
C	Manufacturing	2452	Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing
C	Manufacturing	2461	Agricultural Machinery and Equipment Manufacturing
C	Manufacturing	2462	Mining and Construction Machinery Manufacturing
C	Manufacturing	2463	Machine Tool and Parts Manufacturing
C	Manufacturing	2469	Other Specialised Machinery and Equipment Manufacturing
C	Manufacturing	2491	Lifting and Material Handling Equipment Manufacturing
C	Manufacturing	2499	Other Machinery and Equipment Manufacturing n.e.c.
C	Manufacturing	2511	Wooden Furniture and Upholstered Seat Manufacturing
C	Manufacturing	2512	Metal Furniture Manufacturing
C	Manufacturing	2513	Mattress Manufacturing
C	Manufacturing	2519	Other Furniture Manufacturing
C	Manufacturing	2591	Jewellery and Silverware Manufacturing
C	Manufacturing	2592	Toy, Sporting and Recreational Product Manufacturing
C	Manufacturing	2599	Other Manufacturing n.e.c.
D	Electricity, Gas, Water and Waste Services	2611	Fossil Fuel Electricity Generation
D	Electricity, Gas, Water and Waste Services	2612	Hydro-Electricity Generation
D	Electricity, Gas, Water and Waste Services	2619	Other Electricity Generation
D	Electricity, Gas, Water and Waste Services	2620	Electricity Transmission
D	Electricity, Gas, Water and Waste Services	2630	Electricity Distribution
D	Electricity, Gas, Water and Waste Services	2640	On Selling Electricity and Electricity Market Operation
D	Electricity, Gas, Water and Waste Services	2700	Gas Supply
D	Electricity, Gas, Water and Waste Services	2811	Water Supply
D	Electricity, Gas, Water and Waste Services	2812	Sewerage and Drainage Services
D	Electricity, Gas, Water and Waste Services	2911	Solid Waste Collection Services
D	Electricity, Gas, Water and Waste Services	2919	Other Waste Collection Services
D	Electricity, Gas, Water and Waste Services	2921	Waste Treatment and Disposal Services
D	Electricity, Gas, Water and Waste Services	2922	Waste Remediation and Materials Recovery Services
E	Construction	3011	House Construction
E	Construction	3019	Other Residential Building Construction
E	Construction	3020	Non-Residential Building Construction
E	Construction	3101	Road and Bridge Construction
E	Construction	3109	Other Heavy and Civil Engineering Construction
E	Construction	3211	Land Development and Subdivision
E	Construction	3212	Site Preparation Services
E	Construction	3221	Concreting Services
E	Construction	3222	Bricklaying Services
E	Construction	3223	Roofing Services
E	Construction	3224	Structural Steel Erection Services
E	Construction	3231	Plumbing Services
E	Construction	3232	Electrical Services
E	Construction	3233	Air Conditioning and Heating Services
E	Construction	3234	Fire and Security Alarm Installation Services
E	Construction	3239	Other Building Installation Services
E	Construction	3241	Plastering and Ceiling Services
E	Construction	3242	Carpentry Services
E	Construction	3243	Tiling and Carpeting Services
E	Construction	3244	Painting and Decorating Services
E	Construction	3245	Glazing Services
E	Construction	3291	Landscape Construction Services
E	Construction	3292	Hire of Construction Machinery with Operator
E	Construction	3299	Other Construction Services n.e.c.
F	Wholesale Trade	3311	Wool Wholesaling
F	Wholesale Trade	3312	Cereal Grain Wholesaling
F	Wholesale Trade	3319	Other Agricultural Product Wholesaling
F	Wholesale Trade	3321	Petroleum Product Wholesaling
F	Wholesale Trade	3322	Metal and Mineral Wholesaling
F	Wholesale Trade	3323	Industrial and Agricultural Chemical Product Wholesaling
F	Wholesale Trade	3331	Timber Wholesaling
F	Wholesale Trade	3332	Plumbing Goods Wholesaling
F	Wholesale Trade	3339	Other Hardware Goods Wholesaling
F	Wholesale Trade	3411	Agricultural and Construction Machinery Wholesaling
F	Wholesale Trade	3419	Other Specialised Industrial Machinery and Equipment Wholesaling
F	Wholesale Trade	3491	Professional and Scientific Goods Wholesaling
F	Wholesale Trade	3492	Computer and Computer Peripheral Wholesaling
F	Wholesale Trade	3493	Telecommunication Goods Wholesaling
F	Wholesale Trade	3494	Other Electrical and Electronic Goods Wholesaling
F	Wholesale Trade	3499	Other Machinery and Equipment Wholesaling n.e.c.
F	Wholesale Trade	3501	Car Wholesaling
F	Wholesale Trade	3502	Commercial Vehicle Wholesaling
F	Wholesale Trade	3503	Trailer and Other Motor Vehicle Wholesaling
F	Wholesale Trade	3504	Motor Vehicle New Parts Wholesaling
F	Wholesale Trade	3505	Motor Vehicle Dismantling and Used Parts Wholesaling
F	Wholesale Trade	3601	General Line Grocery Wholesaling
F	Wholesale Trade	3602	Meat, Poultry and Smallgoods Wholesaling
F	Wholesale Trade	3603	Dairy Produce Wholesaling
F	Wholesale Trade	3604	Fish and Seafood Wholesaling
F	Wholesale Trade	3605	Fruit and Vegetable Wholesaling
F	Wholesale Trade	3606	Liquor and Tobacco Product Wholesaling
F	Wholesale Trade	3609	Other Grocery Wholesaling
F	Wholesale Trade	3711	Textile Product Wholesaling
F	Wholesale Trade	3712	Clothing and Footwear Wholesaling
F	Wholesale Trade	3720	Pharmaceutical and Toiletry Goods Wholesaling
F	Wholesale Trade	3731	Furniture and Floor Covering Wholesaling
F	Wholesale Trade	3732	Jewellery and Watch Wholesaling
F	Wholesale Trade	3733	Kitchen and Diningware Wholesaling
F	Wholesale Trade	3734	Toy and Sporting Goods Wholesaling
F	Wholesale Trade	3735	Book and Magazine Wholesaling
F	Wholesale Trade	3736	Paper Product Wholesaling
F	Wholesale Trade	3739	Other Goods Wholesaling n.e.c.
F	Wholesale Trade	3800	Commission-Based Wholesaling
G	Retail Trade	3911	Car Retailing
G	Retail Trade	3912	Motorcycle Retailing
G	Retail Trade	3913	Trailer and Other Motor Vehicle Retailing
G	Retail Trade	3921	Motor Vehicle Parts Retailing
G	Retail Trade	3922	Tyre Retailing
G	Retail Trade	4000	Fuel Retailing
G	Retail Trade	4110	Supermarket and Grocery Stores
G	Retail Trade	4121	Fresh Meat, Fish and Poultry Retailing
G	Retail Trade	4122	Fruit and Vegetable Retailing
G	Retail Trade	4123	Liquor Retailing
G	Retail Trade	4129	Other Specialised Food Retailing
G	Retail Trade	4211	Furniture Retailing
G	Retail Trade	4212	Floor Coverings Retailing
G	Retail Trade	4213	Houseware Retailing
G	Retail Trade	4214	Manchester and Other Textile Goods Retailing
G	Retail Trade	4221	Electrical, Electronic and Gas Appliance Retailing
G	Retail Trade	4222	Computer and Computer Peripheral Retailing
G	Retail Trade	4229	Other Electrical and Electronic Goods Retailing
G	Retail Trade	4231	Hardware and Building Supplies Retailing
G	Retail Trade	4232	Garden Supplies Retailing
G	Retail Trade	4241	Sport and Camping Equipment Retailing
G	Retail Trade	4242	Entertainment Media Retailing
G	Retail Trade	4243	Toy and Game Retailing
G	Retail Trade	4244	Newspaper and Book Retailing
G	Retail Trade	4245	Marine Equipment Retailing
G	Retail Trade	4251	Clothing Retailing
G	Retail Trade	4252	Footwear Retailing
G	Retail Trade	4253	Watch and Jewellery Retailing
G	Retail Trade	4259	Other Personal Accessory Retailing
G	Retail Trade	4260	Department Stores
G	Retail Trade	4271	Pharmaceutical, Cosmetic and Toiletry Goods Retailing
G	Retail Trade	4272	Stationery Goods Retailing
G	Retail Trade	4273	Antique and Used Goods Retailing
G	Retail Trade	4274	Flower Retailing
G	Retail Trade	4279	Other Store-Based Retailing n.e.c.
G	Retail Trade	4310	Non-Store Retailing
G	Retail Trade	4320	Retail Commission-Based Buying and/or Selling
H	Accommodation and Food Services	4400	Accommodation
H	Accommodation and Food Services	4511	Cafes and Restaurants
H	Accommodation and Food Services	4512	Takeaway Food Services
H	Accommodation and Food Services	4513	Catering Services
H	Accommodation and Food Services	4520	Pubs, Taverns and Bars
H	Accommodation and Food Services	4530	Clubs (Hospitality)
I	Transport, Postal and Warehousing	4610	Road Freight Transport
I	Transport, Postal and Warehousing	4621	Interurban and Rural Bus Transport
I	Transport, Postal and Warehousing	4622	Urban Bus Transport (Including Tramway)
I	Transport, Postal and Warehousing	4623	Taxi and Other Road Transport
I	Transport, Postal and Warehousing	4710	Rail Freight Transport
I	Transport, Postal and Warehousing	4720	Rail Passenger Transport
I	Transport, Postal and Warehousing	4810	Water Freight Transport
I	Transport, Postal and Warehousing	4820	Water Passenger Transport
I	Transport, Postal and Warehousing	4900	Air and Space Transport
I	Transport, Postal and Warehousing	5010	Scenic and Sightseeing Transport
I	Transport, Postal and Warehousing	5021	Pipeline Transport
I	Transport, Postal and Warehousing	5029	Other Transport n.e.c.
I	Transport, Postal and Warehousing	5101	Postal Services
I	Transport, Postal and Warehousing	5102	Courier Pick-up and Delivery Services
I	Transport, Postal and Warehousing	5211	Stevedoring Services
I	Transport, Postal and Warehousing	5212	Port and Water Transport Terminal Operations
I	Transport, Postal and Warehousing	5219	Other Water Transport Support Services
I	Transport, Postal and Warehousing	5220	Airport Operations and Other Air Transport Support Services
I	Transport, Postal and Warehousing	5291	Customs Agency Services
I	Transport, Postal and Warehousing	5292	Freight Forwarding Services
I	Transport, Postal and Warehousing	5299	Other Transport Support Services n.e.c.
I	Transport, Postal and Warehousing	5301	Grain Storage Services
I	Transport, Postal and Warehousing	5309	Other Warehousing and Storage Services
J	Information Media and Telecommunications	5411	Newspaper Publishing
J	Information Media and Telecommunications	5412	Magazine and Other Periodical Publishing
J	Information Media and Telecommunications	5413	Book Publishing
J	Information Media and Telecommunications	5414	Directory and Mailing List Publishing
J	Information Media and Telecommunications	5419	Other Publishing (except Software, Music and Internet)
J	Information Media and Telecommunications	5420	Software Publishing
J	Information Media and Telecommunications	5511	Motion Picture and Video Production
J	Information Media and Telecommunications	5512	Motion Picture and Video Distribution
J	Information Media and Telecommunications	5513	Motion Picture Exhibition
J	Information Media and Telecommunications	5514	Post-production Services and Other Motion Picture and Video Activities
J	Information Media and Telecommunications	5521	Music Publishing
J	Information Media and Telecommunications	5522	Music and Other Sound Recording Activities
J	Information Media and Telecommunications	5610	Radio Broadcasting
J	Information Media and Telecommunications	5621	Free-to-Air Television Broadcasting
J	Information Media and Telecommunications	5622	Cable and Other Subscription Broadcasting
J	Information Media and Telecommunications	5700	Internet Publishing and Broadcasting
J	Information Media and Telecommunications	5801	Wired Telecommunications Network Operation
J	Information Media and Telecommunications	5802	Other Telecommunications Network Operation
J	Information Media and Telecommunications	5809	Other Telecommunications Services
J	Information Media and Telecommunications	5910	Internet Service Providers and Web Search Portals
J	Information Media and Telecommunications	5921	Data Processing and Web Hosting Services
J	Information Media and Telecommunications	5922	Electronic Information Storage Services
J	Information Media and Telecommunications	6010	Libraries and Archives
J	Information Media and Telecommunications	6020	Other Information Services
K	Financial and Insurance Services	6210	Central Banking
K	Financial and Insurance Services	6221	Banking
K	Financial and Insurance Services	6222	Building Society Operation
K	Financial and Insurance Services	6223	Credit Union Operation
K	Financial and Insurance Services	6229	Other Depository Financial Intermediation
K	Financial and Insurance Services	6230	Non-Depository Financing
K	Financial and Insurance Services	6240	Financial Asset Investing
K	Financial and Insurance Services	6310	Life Insurance
K	Financial and Insurance Services	6321	Health Insurance
K	Financial and Insurance Services	6322	General Insurance
K	Financial and Insurance Services	6330	Superannuation Funds
K	Financial and Insurance Services	6411	Financial Asset Broking Services
K	Financial and Insurance Services	6419	Other Auxiliary Finance and Investment Services
K	Financial and Insurance Services	6420	Auxiliary Insurance Services
L	Rental, Hiring and Real Estate Services	6611	Passenger Car Rental and Hiring
L	Rental, Hiring and Real Estate Services	6619	Other Motor Vehicle and Transport Equipment Rental and Hiring
L	Rental, Hiring and Real Estate Services	6620	Farm Animal and Bloodstock Leasing
L	Rental, Hiring and Real Estate Services	6631	Heavy Machinery and Scaffolding Rental and Hiring
L	Rental, Hiring and Real Estate Services	6632	Video and Other Electronic Media Rental and Hiring
L	Rental, Hiring and Real Estate Services	6639	Other Goods and Equipment Rental and Hiring n.e.c.
L	Rental, Hiring and Real Estate Services	6640	Non-Financial Intangible Assets (Except Copyrights) Leasing
L	Rental, Hiring and Real Estate Services	6711	Residential Property Operators
L	Rental, Hiring and Real Estate Services	6712	Non-Residential Property Operators
L	Rental, Hiring and Real Estate Services	6720	Real Estate Services
M	Professional, Scientific and Technical Services	6910	Scientific Research Services
M	Professional, Scientific and Technical Services	6921	Architectural Services
M	Professional, Scientific and Technical Services	6922	Surveying and Mapping Services
M	Professional, Scientific and Technical Services	6923	Engineering Design and Engineering Consulting Services
M	Professional, Scientific and Technical Services	6924	Other Specialised Design Services
M	Professional, Scientific and Technical Services	6925	Scientific Testing and Analysis Services
M	Professional, Scientific and Technical Services	6931	Legal Services
M	Professional, Scientific and Technical Services	6932	Accounting Services
M	Professional, Scientific and Technical Services	6940	Advertising Services
M	Professional, Scientific and Technical Services	6950	Market Research and Statistical Services
M	Professional, Scientific and Technical Services	6961	Corporate Head Office Management Services
M	Professional, Scientific and Technical Services	6962	Management Advice and Related Consulting Services
M	Professional, Scientific and Technical Services	6970	Veterinary Services
M	Professional, Scientific and Technical Services	6991	Professional Photographic Services
M	Professional, Scientific and Technical Services	6999	Other Professional, Scientific and Technical Services n.e.c.
M	Professional, Scientific and Technical Services	7000	Computer System Design and Related Services
N	Administrative and Support Services	7211	Employment Placement and Recruitment Services
N	Administrative and Support Services	7212	Labour Supply Services
N	Administrative and Support Services	7220	Travel Agency and Tour Arrangement Services
N	Administrative and Support Services	7291	Office Administrative Services
N	Administrative and Support Services	7292	Document Preparation Services
N	Administrative and Support Services	7293	Credit Reporting and Debt Collection Services
N	Administrative and Support Services	7294	Call Centre Operation
N	Administrative and Support Services	7299	Other Administrative Services n.e.c.
N	Administrative and Support Services	7311	Building and Other Industrial Cleaning Services
N	Administrative and Support Services	7312	Building Pest Control Services
N	Administrative and Support Services	7313	Gardening Services
N	Administrative and Support Services	7320	Packaging Services
O	Public Administration and Safety	7510	Central Government Administration
O	Public Administration and Safety	7520	State Government Administration
O	Public Administration and Safety	7530	Local Government Administration
O	Public Administration and Safety	7540	Justice
O	Public Administration and Safety	7551	Domestic Government Representation
O	Public Administration and Safety	7552	Foreign Government Representation
O	Public Administration and Safety	7600	Defence
O	Public Administration and Safety	7711	Police Services
O	Public Administration and Safety	7712	Investigation and Security Services
O	Public Administration and Safety	7713	Fire Protection and Other Emergency Services
O	Public Administration and Safety	7714	Correctional and Detention Services
O	Public Administration and Safety	7719	Other Public Order and Safety Services
O	Public Administration and Safety	7720	Regulatory Services
P	Education and Training	8010	Preschool Education
P	Education and Training	8021	Primary Education
P	Education and Training	8022	Secondary Education
P	Education and Training	8023	Combined Primary and Secondary Education
P	Education and Training	8024	Special School Education
P	Education and Training	8101	Technical and Vocational Education and Training
P	Education and Training	8102	Higher Education
P	Education and Training	8211	Sports and Physical Recreation Instruction
P	Education and Training	8212	Arts Education
P	Education and Training	8219	Adult, Community and Other Education n.e.c.
P	Education and Training	8220	Educational Support Services
Q	Health Care and Social Assistance	8401	Hospitals (Except Psychiatric Hospitals)
Q	Health Care and Social Assistance	8402	Psychiatric Hospitals
Q	Health Care and Social Assistance	8511	General Practice Medical Services
Q	Health Care and Social Assistance	8512	Specialist Medical Services
Q	Health Care and Social Assistance	8520	Pathology and Diagnostic Imaging Services
Q	Health Care and Social Assistance	8531	Dental Services
Q	Health Care and Social Assistance	8532	Optometry and Optical Dispensing
Q	Health Care and Social Assistance	8533	Physiotherapy Services
Q	Health Care and Social Assistance	8534	Chiropractic and Osteopathic Services
Q	Health Care and Social Assistance	8539	Other Allied Health Services
Q	Health Care and Social Assistance	8591	Ambulance Services
Q	Health Care and Social Assistance	8599	Other Health Care Services n.e.c.
Q	Health Care and Social Assistance	8601	Aged Care Residential Services
Q	Health Care and Social Assistance	8609	Other Residential Care Services
Q	Health Care and Social Assistance	8710	Child Care Services
Q	Health Care and Social Assistance	8790	Other Social Assistance Services
R	Arts and Recreation Services	8910	Museum Operation
R	Arts and Recreation Services	8921	Zoological and Botanical Gardens Operation
R	Arts and Recreation Services	8922	Nature Reserves and Conservation Parks Operation
R	Arts and Recreation Services	9001	Performing Arts Operation
R	Arts and Recreation Services	9002	Creative Artists, Musicians, Writers and Performers
R	Arts and Recreation Services	9003	Performing Arts Venue Operation
R	Arts and Recreation Services	9111	Health and Fitness Centres and Gymnasia Operation
R	Arts and Recreation Services	9112	Sports and Physical Recreation Clubs and Sports Professionals
R	Arts and Recreation Services	9113	Sports and Physical Recreation Venues, Grounds and Facilities Operation
R	Arts and Recreation Services	9114	Sports and Physical Recreation Administrative Service
R	Arts and Recreation Services	9121	Horse and Dog Racing Administration and Track Operation
R	Arts and Recreation Services	9129	Other Horse and Dog Racing Activities
R	Arts and Recreation Services	9131	Amusement Parks and Centres Operation
R	Arts and Recreation Services	9139	Amusement and Other Recreational Activities n.e.c.
R	Arts and Recreation Services	9201	Casino Operation
R	Arts and Recreation Services	9202	Lottery Operation
