code	label	weight
4214	Syria	1500
4215	Türkiye	1500
4216	United Arab Emirates	1500
4217	Yemen	1500
5101	Myanmar	1500
5102	Cambodia	1500
5103	Laos	1500
5104	Thailand	1500
5105	Vietnam	257997
5201	Brunei Darussalam	1500
5202	Indonesia	87075
5203	Malaysia	165616
5204	Philippines	293892
5205	Singapore	1500
5206	Timor-Leste	1500
6101	China (excludes SARs and Taiwan)	549618
6102	Hong Kong (SAR of China)	100148
6103	Macau (SAR of China)	1500
6104	Mongolia	1500
6105	Taiwan	1500
6201	Japan	1500
6202	Korea, Democratic People's Republic of (North)	1500
6203	Korea, Republic of (South)	1500
7101	Bangladesh	1500
7102	Bhutan	1500
7103	India	673352
7104	Maldives	1500
7105	Nepal	122506
7106	Pakistan	89633
7107	Sri Lanka	131904
7201	Afghanistan	1500
7202	Armenia	1500
7203	Azerbaijan	1500
7204	Georgia	1500
7205	Kazakhstan	1500
7206	Kyrgyzstan	1500
7207	Tajikistan	1500
7208	Turkmenistan	1500
7211	Uzbekistan	1500
8101	Bermuda	1500
8102	Canada	1500
8103	St Pierre and Miquelon	1500
8104	United States of America	101309
8201	Argentina	1500
8202	Bolivia	1500
8203	Brazil	1500
8204	Chile	1500
8205	Colombia	1500
8206	Ecuador	1500
8207	Falkland Islands	1500
8208	French Guiana	1500
8211	Guyana	1500
8212	Paraguay	1500
8213	Peru	1500
8214	Suriname	1500
8215	Uruguay	1500
8216	Venezuela	1500
8299	South America, nec	1500
8301	Belize	1500
8302	Costa Rica	1500
8303	El Salvador	1500
8304	Guatemala	1500
8305	Honduras	1500
8306	Mexico	1500
8307	Nicaragua	1500
8308	Panama	1500
8401	Anguilla	1500
8402	Antigua and Barbuda	1500
8403	Aruba	1500
8404	Bahamas	1500
8405	Barbados	1500
8406	Cayman Islands	1500
8407	Cuba	1500
8408	Dominica	1500
8411	Dominican Republic	1500
8412	Grenada	1500
8413	Guadeloupe	1500
8414	Haiti	1500
8415	Jamaica	1500
8416	Martinique	1500
8417	Montserrat	1500
8421	Puerto Rico	1500
8422	St Kitts and Nevis	1500
8423	St Lucia	1500
8424	St Vincent and the Grenadines	1500
8425	Trinidad and Tobago	1500
8426	Turks and Caicos Islands	1500
8427	Virgin Islands, British	1500
8428	Virgin Islands, United States	1500
8431	St Barthelemy	1500
8432	St Martin (French part)	1500
8433	Bonaire, Sint Eustatius and Saba	1500
8434	Curacao	1500
8435	Sint Maarten (Dutch part)	1500
9101	Benin	1500
9102	Burkina Faso	1500
9103	Cameroon	1500
9104	Cabo Verde	1500
9105	Central African Republic	1500
9106	Chad	1500
9107	Congo, Republic of	1500
9108	Congo, Democratic Republic of	1500
9111	Cote d'Ivoire	1500
9112	Equatorial Guinea	1500
9113	Gabon	1500
9114	Gambia	1500
9115	Ghana	1500
9116	Guinea	1500
9117	Guinea-Bissau	1500
9118	Liberia	1500
9121	Mali	1500
9122	Mauritania	1500
9123	Niger	1500
9124	Nigeria	1500
9125	Sao Tome and Principe	1500
9126	Senegal	1500
9127	Sierra Leone	1500
9128	Togo	1500
9201	Angola	1500
9202	Botswana	1500
9203	Burundi	1500
9204	Comoros	1500
9205	Djibouti	1500
9206	Eritrea	1500
9207	Ethiopia	1500
9208	Kenya	1500
9211	Lesotho	1500
9212	Madagascar	1500
9213	Malawi	1500
9214	Mauritius	1500
9215	Mayotte	1500
9216	Mozambique	1500
9217	Namibia	1500
9218	Reunion	1500
9221	Rwanda	1500
9222	St Helena	1500
9223	Seychelles	1500
9224	Somalia	1500
9225	South Africa	189207
9226	Eswatini	1500
9227	Tanzania	1500
9228	Uganda	1500
9231	Zambia	1500
9232	Zimbabwe	1500
9299	Southern and East Africa, nec	1500
