"year","variable","code","label","value_kind","source_sheet","source_url"
2011,"ANC1P","9","Samoan","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","10","Other Polynesian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","11","North-West European, n.f.d.","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","12","English","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","13","Scottish","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","14","Welsh","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","15","Other British","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","16","Irish","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","17","Dutch","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","18","French","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","19","German","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","20","Other Western European","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","21","Northern European","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","22","Southern and Eastern European, n.f.d.","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","23","Italian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","24","Maltese","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","25","Portuguese","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","26","Spanish","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","27","Other Southern European","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","28","Croatian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","29","Greek","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","30","Macedonian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","31","Serbian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","32","Other South Eastern European","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","33","Hungarian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","34","Polish","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","35","Russian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","36","Other Eastern European","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","37","North African and Middle Eastern, n.f.d, Jewish, Peoples of Sudan","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","38","Egyptian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","39","Lebanese","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","40","Other Arab","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","41","Iranian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","42","Turkish","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","43","Other North African and Middle Eastern","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","44","South-East Asian, n.f.d.","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","45","Thai","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","46","Vietnamese","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","47","Other Mainland South-East Asian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","48","Filipino","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","49","Indonesian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","50","Other Maritime South-East Asian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","51","Chinese","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","52","Other Chinese Asian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","53","Japanese","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","54","Korean","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","55","North-East Asian, n.f.d., Other North-East Asian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","56","Indian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","57","Sri Lankan","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","58","Other Southern Asian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","59","Southern and Central Asian, n.f.d.,  Central Asian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","60","People of the Americas","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","61","South African","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","62","Other Sub-Saharan African","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","63","Inadequately described, Not stated, Other supplementary codes","not_stated","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC1P","64","Overseas visitor","overseas_visitor","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","1","Oceanian, n.f.d.","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","2","Australian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","3","Australian Aboriginal","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","4","Other Australian Peoples","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","5","Maori","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","6","New Zealander, New Zealand peoples, n.f.d.","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","7","Melanesian and Papuan","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","8","Micronesian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","9","Samoan","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","10","Other Polynesian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","11","North-West European, n.f.d.","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","12","English","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","13","Scottish","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","14","Welsh","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","15","Other British","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","16","Irish","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","17","Dutch","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","18","French","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","19","German","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","20","Other Western European","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","21","Northern European","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","22","Southern and Eastern European, n.f.d.","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","23","Italian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","24","Maltese","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","25","Portuguese","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","26","Spanish","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","27","Other Southern European","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","28","Croatian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","29","Greek","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","30","Macedonian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
2011,"ANC2P","31","Serbian","substantive","Persons","https://www.abs.gov.au/AUSSTATS/subscriber.nsf/log?openagent&Expanded%20CSF%20Data%20item%20list.xls&2037.0.30.001&Data%20Cubes&4D86558DCFA7A018CA257C3E000EE68E&0&2011&13.12.2013&Latest"
