"dataset","source_label","url","summary"
"HE","Department of Education student data","https://www.education.gov.au/higher-education-statistics/student-data","Defines the annual higher-education student collection and lists its principal variables."
"JK","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Describes the linked JobKeeper subsidy-payment information and reference period."
"JM","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Describes the employer and employee information in the JobMaker Hiring Credit dataset."
"LFS","ABS Longitudinal Labour Force microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/longitudinal-labour-force-australia","Describes the survey scope, longitudinal file structure, coverage and data item list."
"MBS","MBS Online","https://www.mbsonline.gov.au/","Provides the official schedule of Medicare-subsidised services, items and explanatory material."
"MCD","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Defines the Medicare Consumer Directory population as people with active Medicare enrolment."
"MT_DEMOGS","ABS PLIDA data and legislation","https://www.abs.gov.au/statistics/data-integration/integrated-data/person-level-integrated-data-asset-plida/plida-data-and-legislation","Describes Home Affairs client information for Australian-born citizens and temporary and permanent migrants."
"NACDC","AIHW NACDC overview","https://www.gen-agedcaredata.gov.au/about-our-data/national-aged-care-data-clearinghouse","Defines the clearinghouse, its aged-care populations, program coverage, periods and access."
"NDIS","NDIA datasets","https://dataresearch.ndis.gov.au/datasets","Describes participant, provider, market and payment datasets and links to data definitions."
"NHS","ABS National Health Survey microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/national-health-survey","Provides survey content, file structure, available releases and data item lists."
"NSMHW","ABS mental-health-study microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/national-study-mental-health-and-wellbeing","Provides collection scope, mental-health topics, file structure and data item lists."
"PBS","PBS overview","https://www.pbs.gov.au/about","Explains the medicine subsidy program and links to listings, statistics and supporting information."
"PEX","ABS Patient Experiences microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/patient-experiences-australia","Describes health-service experience variables, survey scope, weighting and file structure."
"PIT_IE","ABS administrative income sources","https://www.abs.gov.au/statistics/detailed-methodology-information/concepts-sources-methods/administrative-income-comparison-studies/2019-20-2021/administrative-data-sources","Explains ABS administrative-income concepts, source datasets and data-quality context."
"PIT_ITR","ABS administrative income sources","https://www.abs.gov.au/statistics/detailed-methodology-information/concepts-sources-methods/administrative-income-comparison-studies/2019-20-2021/administrative-data-sources","Describes annual individual tax-return information, coverage, timing and non-lodgement limitations."
"PIT_PS","ABS administrative income sources","https://www.abs.gov.au/statistics/detailed-methodology-information/concepts-sources-methods/administrative-income-comparison-studies/2019-20-2021/administrative-data-sources","Describes payment-summary income, withholding information, coverage and limitations."
"RPS","ATO residential rental properties","https://www.ato.gov.au/individuals-and-families/investments-and-assets/property-and-land/residential-rental-properties","Explains rental income, expenses, deductions and the records reported through tax returns."
"SAE","ABS administrative income sources","https://www.abs.gov.au/statistics/detailed-methodology-information/concepts-sources-methods/administrative-income-comparison-studies/2019-20-2021/administrative-data-sources","Explains SAE coverage and its MAAS, MATS and SMSF administrative sources."
"SDAC","ABS disability microdata","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/disability-ageing-and-carers-australia","Describes disability, ageing and caring topics, populations, hierarchical files and data item lists."
"SDB","Home Affairs settlement reporting caveats","https://immi.homeaffairs.gov.au/settling-in-australia/settlement-reports/settlement-reporting-caveats","Explains the Settlement Database population, source inputs, data capture and limitations."
"SMSF","ATO SMSF statistics","https://www.ato.gov.au/about-ato/research-and-statistics/in-detail/super-statistics/smsf-statistics","Provides official SMSF statistical reports, annual overviews and methodology."
"STP","ATO Single Touch Payroll","https://www.ato.gov.au/businesses-and-organisations/hiring-and-paying-your-workers/single-touch-payroll","Explains STP payroll, withholding and superannuation reporting and links to detailed guidance."
"TRAVELLERS","Home Affairs overseas movements","https://www.homeaffairs.gov.au/research-and-statistics/statistics/visa-statistics/live/overseas-arrivals-and-departures","Defines overseas movement records, traveller types, counting units and related caveats."
"TVA","NCVER Total VET collection","https://www.ncver.edu.au/research-and-statistics/collections/students-and-courses-collection/total-vet-students-and-courses","Defines Total VET Activity scope, source collections, recognised training and available data products."
"VISA","Home Affairs visa statistics","https://www.homeaffairs.gov.au/research-and-statistics/statistics/visa-statistics/visa-statistics","Provides official statistics and reports for visa applications, grants and major visa programs."
