Module Name,Dataset,Dataset Name
DOMINO Centrelink Administrative Data Special Tables - Education Entry Payment Entitlement History 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Grandparent-Grandchild relationship details 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Income associated with Senior Healthcare Card Eligibility 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Income from Community Development Employment Projects 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Location Boundaries Postal Temporary or Term 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - One-off advance payments 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Other income from Community Development Employment Projects 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Special Tables - Pensioner Education Supplement Entitlement History 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Working Age 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
DOMINO Centrelink Administrative Data Working Age BETA - Principal Carer 2000 - latest,DOMINO,DOMINO Centrelink Administrative Data
Data Exchange Extended Module 2015 - latest,DEX,Data Exchange
Death Registrations,DEATHS,Death Registrations
Higher Education 2005 - latest,HE,Higher Education
Income Tax Return,PIT_ITR,Income Tax Return
JobKeeper Payment 2020-2021,JK,JobKeeper Payment
JobMaker Hiring Credit scheme 2020-2022,JM,JobMaker Hiring Credit scheme
Longitudinal Labour Force Survey,LFS,Longitudinal Labour Force Survey
Medicare Benefits Schedule,MBS,Medicare Benefits Schedule
Medicare Consumer Directory 2006 - latest,MCD,Medicare Consumer Directory
Member Contributions Statement,ATO_MCS,Member Contributions Statement
Migrant and Traveller Demographics 1990 - latest,MT_DEMOGS,Migrant and Traveller Demographics
National Disability Insurance Scheme Expanded Carers 2013-current,NDIS,National Disability Insurance Scheme
National Disability Insurance Scheme Expanded Outcomes 2013-current,NDIS,National Disability Insurance Scheme
National Disability Insurance Scheme Expanded Participants 2013-current,NDIS,National Disability Insurance Scheme
National Disability Insurance Scheme Expanded Payments 2013-current,NDIS,National Disability Insurance Scheme
National Disability Insurance Scheme Expanded Providers 2013-current,NDIS,National Disability Insurance Scheme
National Disability Insurance Scheme Expanded Supports 2013-current,NDIS,National Disability Insurance Scheme
National Health Survey 2014-15,NHS,National Health Survey
National Health Survey 2017-18,NHS,National Health Survey
National Health Survey 2020-21,NHS,National Health Survey
National Health Survey 2022,NHS,National Health Survey
National Study of Mental Health and Wellbeing 2020-2022,NSMHW,National Study of Mental Health and Wellbeing
Patient Experience Survey 2023,PEX,Patient Experience Survey
Payment Summaries,PIT_ITR,Income Tax Return
Payment Summaries,PIT_PS,Payment Summaries
Pharmaceutical Benefits Scheme,PBS,Pharmaceutical Benefits Scheme
Rental Property Schedule,RPS,Rental Property Schedule
Self-Managed Superannuation Funds,SMSF,Self Managed Super Fund
Settlements Database (Permanent Migrants) 2000 - latest,SDB,Settlements Database
Single Touch Payroll Extended,STP,Single Touch Payroll Extended
Single Touch Payroll Standard,STP,Single Touch Payroll Standard
Superannuation Accounts Extract,SAE,Superannuation Accounts Extract
"Survey of Disability, Ageing and Carers 2018",SDAC,"Survey of Disability, Ageing and Carers"
"Survey of Disability, Ageing and Carers 2022",SDAC,"Survey of Disability, Ageing and Carers"
Total VET Activity Core variables 2015 to latest,TVA,Total VET Activity
Total VET Activity Country of Birth 2015 to latest,TVA,Total VET Activity
Total VET Activity Disability Status 2015 to latest,TVA,Total VET Activity
Total VET Activity Indigenous Status 2015 to latest,TVA,Total VET Activity
Total VET Activity Language Spoken 2015 to latest,TVA,Total VET Activity
Travellers 2006 - latest,TRAVELLERS,Travellers
Visa Applications (2000 to latest) and Visa Grants (1990 to latest),VISA,Visa Applications and Grants
