Dataset,Module Name,Product Name,Product Description
CORE,Core Relationships 2006-latest (2016 Census),plidage-core-relat-cb-c16-2006-latest,"PLIDAGE CORE, Combined, Relationships, 2006-latest (Census 2016 version)"
CORE,Core Relationships 2006-latest (2016 Census),plidage-core-relat-ss-c16-2006-latest,"PLIDAGE CORE, Single Source, Relationships, 2006-latest (Census 2016 version)"
CORE,Core Relationships 2006-latest (2021 Census),plidage-core-relat-cb-c21-2006-latest,"PLIDAGE CORE, Combined, Relationships, 2006-latest (Census 2021 version)"
CORE,Core Relationships 2006-latest (2021 Census),plidage-core-relat-ss-c21-2006-latest,"PLIDAGE CORE, Single Source, Relationships, 2006-latest (Census 2021 version)"
CORE,Core Relationships 2006-latest (No Census),plidage-core-relat-cb-nc-2006-latest,"PLIDAGE CORE, Combined, Relationships, 2006-latest (No Census version)"
CORE,Core Relationships 2006-latest (No Census),plidage-core-relat-ss-nc-2006-latest,"PLIDAGE CORE, Single Source, Relationships, 2006-latest (No Census version)"
CORE,Core Scoping 2006-latest,plidage-core-scope-acti-cb-2006-latest,"PLIDAGE CORE, Combined, Activity Flags, 2006-latest"
CORE,Core Scoping 2006-latest,plidage-core-scope-acti-ss-2006-latest,"PLIDAGE CORE, Single Source, Activity Flags, 2006-latest"
CORE,Core Scoping 2006-latest,plidage-core-scope-resi-erp-2006-latest,"PLIDAGE CORE, Single Source, ERP Status, 2006-latest"
CORE,Core Scoping 2006-latest,plidage-core-scope-resi-pp-2006-latest,"PLIDAGE CORE, Single Source, Physical Presence Status and Weight, 2006-latest"
CORE,Core Scoping 2006-latest,plidage-core-scope-vitals-cb-2006-latest,"PLIDAGE CORE, Combined, Vitals, 2006-latest"
DEATHS,Death Registrations,madip-ge-050101d-deaths-deathregistrations2007-2007,"MADIP GE, 050101d, DEATHS, Registration details, 2007"
DEATHS,Death Registrations,madip-ge-050102d-deaths-causeofdeath2007-2007,"MADIP GE, 050102d, DEATHS, Cause of Death details, 2007"
DEATHS,Death Registrations,madip-ge-050103d-deaths-deathregistrations2008-2008,"MADIP GE, 050103d, DEATHS, Registration details, 2008"
DEATHS,Death Registrations,madip-ge-050104d-deaths-causeofdeath2008-2008,"MADIP GE, 050104d, DEATHS, Cause of Death details, 2008"
DEATHS,Death Registrations,madip-ge-050105d-deaths-deathregistrations2009-2009,"MADIP GE, 050105d, DEATHS, Registration details, 2009"
DEATHS,Death Registrations,madip-ge-050106d-deaths-causeofdeath2009-2009,"MADIP GE, 050106d, DEATHS, Cause of Death details, 2009"
DEATHS,Death Registrations,madip-ge-050107d-deaths-deathregistrations2010-2010,"MADIP GE, 050107d, DEATHS, Registration details, 2010"
DEATHS,Death Registrations,madip-ge-050108d-deaths-causeofdeath2010-2010,"MADIP GE, 050108d, DEATHS, Cause of Death details, 2010"
DEATHS,Death Registrations,madip-ge-050109d-deaths-deathregistrations2011-2011,"MADIP GE, 050109d, DEATHS, Registration details, 2011"
DEATHS,Death Registrations,madip-ge-050110d-deaths-causeofdeath2011-2011,"MADIP GE, 050110d, DEATHS, Cause of Death details, 2011"
DEATHS,Death Registrations,madip-ge-050111d-deaths-deathregistrations2012-2012,"MADIP GE, 050111d, DEATHS, Registration details, 2012"
DEATHS,Death Registrations,madip-ge-050112d-deaths-causeofdeath2012-2012,"MADIP GE, 050112d, DEATHS, Cause of Death details, 2012"
DEATHS,Death Registrations,madip-ge-050114d-deaths-causeofdeath2013-2013,"MADIP GE, 050114d, DEATHS, Cause of Death details, 2013"
DEATHS,Death Registrations,madip-ge-050116d-deaths-causeofdeath2014-2014,"MADIP GE, 050116d, DEATHS, Cause of Death details, 2014"
DEATHS,Death Registrations,madip-ge-050118d-deaths-causeofdeath2015-2015,"MADIP GE, 050118d, DEATHS, Cause of Death details, 2015"
DEATHS,Death Registrations,madip-ge-050120d-deaths-causeofdeath2016-2016,"MADIP GE, 050120d, DEATHS, Cause of Death details, 2016"
DEATHS,Death Registrations,madip-ge-050122d-deaths-causeofdeath2017-2017,"MADIP GE, 050122d, DEATHS, Cause of Death details, 2017"
DEATHS,Death Registrations,madip-ge-050124d-deaths-causeofdeath2018-2018,"MADIP GE, 050124d, DEATHS, Cause of Death details, 2018"
DEATHS,Death Registrations,madipge-death-d-cause-of-death-2019,"MADIP GE, 050126d, DEATHS, Cause of Death details, 2019"
DEATHS,Death Registrations,madipge-death-d-cause-of-death-2020,"MADIP GE, 050128d, DEATHS, Cause of Death details, 2020"
DEATHS,Death Registrations,madipge-death-d-cause-of-death-2021,"MADIP GE, d, DEATHS, Cause of Death details, 2021"
DEATHS,Death Registrations,madipge-death-d-cause-of-death-2022,"MADIP GE, d, DEATHS, Cause of Death details, 2022"
DEATHS,Death Registrations,madipge-death-d-cause-of-death-2023,"MADIP GE, d, DEATHS, Cause of Death details, 2023"
DEATHS,Death Registrations,madipge-death-d-cause-of-death-2024,"MADIP GE, d, DEATHS, Cause of Death details, 2024"
DEX,Data Exchange Extended Module 2015 - latest,madipge-dex-d-extended-15-current,"MADIP GE, d, DEX, Special/Extended Module, 2015-current"
DOMINO,DOMINO Centrelink Administrative Data Base Module 2000 - latest,madipge-dom-monthly-d-base,"MADIP GE, d, DOMINO Monthly, Base"
DOMINO,DOMINO Centrelink Administrative Data Disability and Carers 2000 - latest,madipge-dom-monthly-d-disability-carers,"MADIP GE, d, DOMINO Monthly, Disability and Carers"
DOMINO,DOMINO Centrelink Administrative Data Families and Children 2000 - latest,madipge-dom-monthly-d-families-children,"MADIP GE, d, DOMINO Monthly, Families and Children"
DOMINO,DOMINO Centrelink Administrative Data Indigenous Status 2000 - latest,madipge-dom-monthly-d-indg-stat,"MADIP GE, d, DOMINO Monthly, Indigenous Status"
DOMINO,DOMINO Centrelink Administrative Data Older Students 2000 - latest,madipge-dom-monthly-d-older-students,"MADIP GE, d, DOMINO Monthly, Older Students"
DOMINO,DOMINO Centrelink Administrative Data Retirement and Widows 2000 - latest,madipge-dom-monthly-d-retirement-widows,"MADIP GE, d, DOMINO Monthly, Retirement and Widows"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Clean Energy Advance 2000 - latest,madipge-dom-monthly-d-pyh-cea,"MADIP GE, d, DOMINO Monthly, Payment History - Clean Energy Advance"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Emergency Payment 2000 - latest,madipge-dom-monthly-d-pyh-emg,"MADIP GE, d, DOMINO Monthly, Payment History - Emergency Payment"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Emergency Recovery Assistance 2000 - latest,madipge-dom-monthly-d-pyh-era,"MADIP GE, d, DOMINO Monthly, Payment History - Emergency Recovery Assistance"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Emergency Recovery Payment 2000 - latest,madipge-dom-monthly-d-pyh-erp,"MADIP GE, d, DOMINO Monthly, Payment History - Emergency Recovery Payment"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Exceptional Circumstance Payment 2000 - latest,madipge-dom-monthly-d-pyh-ecp,"MADIP GE, d, DOMINO Monthly, Payment History - Exceptional Circumstance Payment"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Income Management 2000 - latest,madipge-dom-monthly-d-pyh-inm,"MADIP GE, d, DOMINO Monthly, Payment History - Income Management"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Low Income Supplement 2000 - latest,madipge-dom-monthly-d-pyh-cls,"MADIP GE, d, DOMINO Monthly, Payment History - Low Income Supplement"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Pension Bereavement Bonus Payment 2000 - latest,madipge-dom-monthly-d-pyh-pbb,"MADIP GE, d, DOMINO Monthly, Payment History - Pension Bereavement Bonus Payment"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus GSR Assistance Scheme 2000 - latest,madipge-dom-monthly-d-pyh-gsr,"MADIP GE, d, DOMINO Monthly, Payment History - Savings Bonus GSR Assistance Scheme"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus GST Assistance Scheme 2000 - latest,madipge-dom-monthly-d-pyh-svg,"MADIP GE, d, DOMINO Monthly, Payment History - Savings Bonus GST Assistance Scheme"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus for existing CIS customers 2000 - latest,madipge-dom-monthly-d-pyh-svk,"MADIP GE, d, DOMINO Monthly, Payment History - Savings Bonus for existing CIS customers"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus paid by CLK 2000 - latest,madipge-dom-monthly-d-pyh-svw,"MADIP GE, d, DOMINO Monthly, Payment History - Savings Bonus paid by CLK"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus via ATO 2000 - latest,madipge-dom-monthly-d-pyh-svt,"MADIP GE, d, DOMINO Monthly, Payment History - Savings Bonus via ATO"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Savings Bonus via DVA 2000 - latest,madipge-dom-monthly-d-pyh-svv,"MADIP GE, d, DOMINO Monthly, Payment History - Savings Bonus via DVA"
DOMINO,DOMINO Centrelink Administrative Data Special Benefits - Special Benefit 2000 - latest,madipge-dom-monthly-d-pyh-spl,"MADIP GE, d, DOMINO Monthly, Payment History - Special Benefit"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Abstudy Education Entitlement History 2000 - latest,madipge-dom-monthly-d-een-abstudy-hist,"MADIP GE, d, DOMINO Monthly, Abstudy Education Entitlement History"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Assistance for Isolated Children Education Entitlement History 2000 - latest,madipge-dom-monthly-d-een-aic-hist,"MADIP GE, d, DOMINO Monthly, Assistance for Isolated Children Education Entitlement History"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Defence Force Income Support Allowances 2000 - latest,madipge-dom-monthly-d-inc-dfi,"MADIP GE, d, DOMINO Monthly, Defence Force Income Support Allowances"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Department of Veterans Affairs Income 2000 - latest,madipge-dom-monthly-d-inc-dva,"MADIP GE, d, DOMINO Monthly, Department of Veterans Affairs Income"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Education Entry Payment Entitlement History 2000 - latest,madipge-dom-monthly-d-een-edep-hist,"MADIP GE, d, DOMINO Monthly, Education Entry Payment Entitlement History"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Grandparent-Grandchild relationship details 2000 - latest,madipge-dom-monthly-d-rlt-grandpar-grandchild,"MADIP GE, d, DOMINO Monthly, Grandparent-Grandchild relationship details"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Income associated with Senior Healthcare Card Eligibility 2000 - latest,madipge-dom-monthly-d-inc-shc,"MADIP GE, d, DOMINO Monthly, Income associated with Senior Healthcare Card Eligibility"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Income from Community Development Employment Projects 2000 - latest,madipge-dom-monthly-d-inc-cdep,"MADIP GE, d, DOMINO Monthly, Income from Community Development Employment Projects"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Location Boundaries Postal Temporary or Term 2000 - latest,madipge-dom-monthly-d-loc-pos-temp-term-dtls,"MADIP GE, d, DOMINO Monthly, Non-home address history"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - One-off advance payments 2000 - latest,madipge-dom-monthly-d-pyh-oneoff-adv,"MADIP GE, d, DOMINO Monthly, Payment History - One-off advance payments"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Other income from Community Development Employment Projects 2000 - latest,madipge-dom-monthly-d-inc-cdep-other,"MADIP GE, d, DOMINO Monthly, Other income from Community Development Employment Projects"
DOMINO,DOMINO Centrelink Administrative Data Special Tables - Pensioner Education Supplement Entitlement History 2000 - latest,madipge-dom-monthly-d-een-pes-hist,"MADIP GE, d, DOMINO Monthly, Pensioner Education Supplement Entitlement History"
DOMINO,DOMINO Centrelink Administrative Data Working Age 2000 - latest,madipge-dom-monthly-d-working-age,"MADIP GE, d, DOMINO Monthly, Working Age"
DOMINO,DOMINO Centrelink Administrative Data Working Age BETA - Principal Carer 2000 - latest,madipge-dom-monthly-d-rlt-prin-carer-beta,"MADIP GE, d, DOMINO Monthly, Relationship Details Principal Carer"
ERS,COVID-19 Early Release of Super scheme 2020,madipmp-ato-early-release-super,"MADIP GE, d, ATO, Early Release Super, 2020"
HE,Higher Education 2005 - latest,madipge-hied,"MADIP GE, d, HIED"
JK,JobKeeper Payment 2020-2021,madipmp-ato-jobkeeper,"MADIP GE, d, ATO, JobKeeper, 2020-21"
JM,JobMaker Hiring Credit scheme 2020-2022,madipmp-ato-jobmaker,"MADIP GE, d, ATO, JobMaker, 2020-21"
LFS,Longitudinal Labour Force Survey,pmp-llfs,"ABS 6602.0 Microdata: Longitudinal Labour Force, Australia (updated Apr 2026)"
LFS,Longitudinal Labour Force Survey,pmp-coes,ABS 6333.0.00.001 Characteristics of Employment supplementary file for LLFS (COES_v2508)
