"series","role","basis","year","index","projected"
"health","headline","financial_year",2017,0.951096,FALSE
"health","headline","financial_year",2018,0.965362,FALSE
"health","headline","financial_year",2019,0.980808,FALSE
"health","headline","financial_year",2020,0.99552,FALSE
"health","headline","financial_year",2021,1.00448,FALSE
"health","headline","financial_year",2022,1.020552,FALSE
"health","headline","financial_year",2023,1.057291,FALSE
"health","headline","financial_year",2024,1.094297,FALSE
"health","headline","financial_year",2025,1.12056,FALSE
"health","headline","financial_year",2026,1.139085,TRUE
"health","headline","financial_year",2027,1.157916,TRUE
"health","headline","financial_year",2028,1.177059,TRUE
"health","headline","financial_year",2029,1.196518,TRUE
"price","headline","calendar_year",1994,0.52777,TRUE
"price","headline","calendar_year",1995,0.538932,FALSE
"price","headline","calendar_year",1996,0.553704,FALSE
"price","headline","calendar_year",1997,0.55727,FALSE
"price","headline","calendar_year",1998,0.560866,FALSE
"price","headline","calendar_year",1999,0.571204,FALSE
"price","headline","calendar_year",2000,0.595161,FALSE
"price","headline","calendar_year",2001,0.6212,FALSE
"price","headline","calendar_year",2002,0.639688,FALSE
"price","headline","calendar_year",2003,0.657053,FALSE
"price","headline","calendar_year",2004,0.67274,FALSE
"price","headline","calendar_year",2005,0.691737,FALSE
"price","headline","calendar_year",2006,0.712952,FALSE
"price","headline","calendar_year",2007,0.735501,FALSE
"price","headline","calendar_year",2008,0.759413,FALSE
"price","headline","calendar_year",2009,0.780013,FALSE
"price","headline","calendar_year",2010,0.801259,FALSE
"price","headline","calendar_year",2011,0.822968,FALSE
"price","headline","calendar_year",2012,0.841786,FALSE
"price","headline","calendar_year",2013,0.862746,FALSE
"price","headline","calendar_year",2014,0.881774,FALSE
"price","headline","calendar_year",2015,0.895303,FALSE
"price","headline","calendar_year",2016,0.909117,FALSE
"price","headline","calendar_year",2017,0.925747,FALSE
"price","headline","calendar_year",2018,0.942273,FALSE
"price","headline","calendar_year",2019,0.956311,FALSE
"price","headline","calendar_year",2020,0.97041,FALSE
"price","headline","calendar_year",2021,1,FALSE
"price","headline","calendar_year",2022,1.057817,FALSE
"price","headline","calendar_year",2023,1.116623,FALSE
"price","headline","calendar_year",2024,1.15342,FALSE
"price","headline","calendar_year",2025,1.189033,FALSE
"price","headline","calendar_year",2026,1.228885,TRUE
"price","headline","calendar_year",2027,1.265684,TRUE
"price","headline","calendar_year",2028,1.303584,TRUE
"price","headline","calendar_year",2029,1.34262,TRUE
"price","headline","financial_year",1994,0.52777,FALSE
"price","headline","financial_year",1995,0.550094,FALSE
"price","headline","financial_year",1996,0.557315,FALSE
"price","headline","financial_year",1997,0.557225,FALSE
"price","headline","financial_year",1998,0.564507,FALSE
"price","headline","financial_year",1999,0.577901,FALSE
"price","headline","financial_year",2000,0.61242,FALSE
"price","headline","financial_year",2001,0.62998,FALSE
"price","headline","financial_year",2002,0.649397,FALSE
"price","headline","financial_year",2003,0.664709,FALSE
"price","headline","financial_year",2004,0.68077,FALSE
"price","headline","financial_year",2005,0.702704,FALSE
"price","headline","financial_year",2006,0.7232,FALSE
"price","headline","financial_year",2007,0.747801,FALSE
"price","headline","financial_year",2008,0.771024,FALSE
"price","headline","financial_year",2009,0.789003,FALSE
"price","headline","financial_year",2010,0.813514,FALSE
"price","headline","financial_year",2011,0.832422,FALSE
"price","headline","financial_year",2012,0.85115,FALSE
"price","headline","financial_year",2013,0.874343,FALSE
"price","headline","financial_year",2014,0.889205,FALSE
"price","headline","financial_year",2015,0.901401,FALSE
"price","headline","financial_year",2016,0.916833,FALSE
"price","headline","financial_year",2017,0.934662,FALSE
"price","headline","financial_year",2018,0.949884,FALSE
"price","headline","financial_year",2019,0.962739,FALSE
"price","headline","financial_year",2020,0.978081,FALSE
"price","headline","financial_year",2021,1.021919,FALSE
"price","headline","financial_year",2022,1.093715,FALSE
"price","headline","financial_year",2023,1.139531,FALSE
"price","headline","financial_year",2024,1.167308,FALSE
"price","headline","financial_year",2025,1.210757,FALSE
"price","headline","financial_year",2026,1.247013,TRUE
"price","headline","financial_year",2027,1.284355,TRUE
"price","headline","financial_year",2028,1.322814,TRUE
"price","headline","financial_year",2029,1.362426,TRUE
"transfer","headline","calendar_year",1994,0.382252,TRUE
"transfer","headline","calendar_year",1995,0.391027,FALSE
"transfer","headline","calendar_year",1996,0.40567,FALSE
"transfer","headline","calendar_year",1997,0.419288,FALSE
"transfer","headline","calendar_year",1998,0.4341,FALSE
"transfer","headline","calendar_year",1999,0.447445,FALSE
"transfer","headline","calendar_year",2000,0.462166,FALSE
"transfer","headline","calendar_year",2001,0.482858,FALSE
"transfer","headline","calendar_year",2002,0.509652,FALSE
"transfer","headline","calendar_year",2003,0.535796,FALSE
"transfer","headline","calendar_year",2004,0.561513,FALSE
"transfer","headline","calendar_year",2005,0.585515,FALSE
"transfer","headline","calendar_year",2006,0.60748,FALSE
"transfer","headline","calendar_year",2007,0.633845,FALSE
"transfer","headline","calendar_year",2008,0.666831,FALSE
"transfer","headline","calendar_year",2009,0.70436,FALSE
"transfer","headline","calendar_year",2010,0.739203,FALSE
"transfer","headline","calendar_year",2011,0.772279,FALSE
"transfer","headline","calendar_year",2012,0.807926,FALSE
"transfer","headline","calendar_year",2013,0.837706,FALSE
"transfer","headline","calendar_year",2014,0.860112,FALSE
"transfer","headline","calendar_year",2015,0.874833,FALSE
"transfer","headline","calendar_year",2016,0.886477,FALSE
"transfer","headline","calendar_year",2017,0.904677,FALSE
"transfer","headline","calendar_year",2018,0.924227,FALSE
"transfer","headline","calendar_year",2019,0.951307,FALSE
"transfer","headline","calendar_year",2020,0.978464,FALSE
"transfer","headline","calendar_year",2021,1,FALSE
"transfer","headline","calendar_year",2022,1.03026,FALSE
"transfer","headline","calendar_year",2023,1.068503,FALSE
"transfer","headline","calendar_year",2024,1.1129,FALSE
"transfer","headline","calendar_year",2025,1.152686,TRUE
"transfer","headline","calendar_year",2026,1.18381,TRUE
"transfer","headline","calendar_year",2027,1.215775,TRUE
"transfer","headline","calendar_year",2028,1.248603,TRUE
"transfer","headline","calendar_year",2029,1.282317,TRUE
"transfer","headline","financial_year",1994,0.382252,FALSE
"transfer","headline","financial_year",1995,0.399803,FALSE
"transfer","headline","financial_year",1996,0.411538,FALSE
"transfer","headline","financial_year",1997,0.427038,FALSE
"transfer","headline","financial_year",1998,0.441162,FALSE
"transfer","headline","financial_year",1999,0.453728,FALSE
"transfer","headline","financial_year",2000,0.470604,FALSE
"transfer","headline","financial_year",2001,0.495112,FALSE
"transfer","headline","financial_year",2002,0.524191,FALSE
"transfer","headline","financial_year",2003,0.547402,FALSE
"transfer","headline","financial_year",2004,0.575623,FALSE
"transfer","headline","financial_year",2005,0.595407,FALSE
"transfer","headline","financial_year",2006,0.619553,FALSE
"transfer","headline","financial_year",2007,0.648138,FALSE
"transfer","headline","financial_year",2008,0.685524,FALSE
"transfer","headline","financial_year",2009,0.723197,FALSE
"transfer","headline","financial_year",2010,0.755209,FALSE
"transfer","headline","financial_year",2011,0.78935,FALSE
"transfer","headline","financial_year",2012,0.826503,FALSE
"transfer","headline","financial_year",2013,0.848909,FALSE
"transfer","headline","financial_year",2014,0.871315,FALSE
"transfer","headline","financial_year",2015,0.878351,FALSE
"transfer","headline","financial_year",2016,0.894604,FALSE
"transfer","headline","financial_year",2017,0.914751,FALSE
"transfer","headline","financial_year",2018,0.933704,FALSE
"transfer","headline","financial_year",2019,0.968909,FALSE
"transfer","headline","financial_year",2020,0.988018,FALSE
"transfer","headline","financial_year",2021,1.011982,FALSE
"transfer","headline","financial_year",2022,1.048538,FALSE
"transfer","headline","financial_year",2023,1.088469,FALSE
"transfer","headline","financial_year",2024,1.137331,FALSE
"transfer","headline","financial_year",2025,1.168041,TRUE
"transfer","headline","financial_year",2026,1.19958,TRUE
"transfer","headline","financial_year",2027,1.23197,TRUE
"transfer","headline","financial_year",2028,1.265236,TRUE
"transfer","headline","financial_year",2029,1.299399,TRUE
"wage","headline","calendar_year",1994,0.369741,TRUE
"wage","headline","calendar_year",1995,0.37741,FALSE
"wage","headline","calendar_year",1996,0.393425,FALSE
"wage","headline","calendar_year",1997,0.411187,FALSE
"wage","headline","calendar_year",1998,0.429229,FALSE
"wage","headline","calendar_year",1999,0.446975,FALSE
"wage","headline","calendar_year",2000,0.467178,FALSE
"wage","headline","calendar_year",2001,0.485603,FALSE
"wage","headline","calendar_year",2002,0.502054,FALSE
"wage","headline","calendar_year",2003,0.522284,FALSE
"wage","headline","calendar_year",2004,0.545442,FALSE
"wage","headline","calendar_year",2005,0.57008,FALSE
"wage","headline","calendar_year",2006,0.596625,FALSE
"wage","headline","calendar_year",2007,0.62477,FALSE
"wage","headline","calendar_year",2008,0.657322,FALSE
"wage","headline","calendar_year",2009,0.688912,FALSE
"wage","headline","calendar_year",2010,0.721809,FALSE
"wage","headline","calendar_year",2011,0.759592,FALSE
"wage","headline","calendar_year",2012,0.796919,FALSE
"wage","headline","calendar_year",2013,0.823795,FALSE
"wage","headline","calendar_year",2014,0.837917,FALSE
"wage","headline","calendar_year",2015,0.853095,FALSE
"wage","headline","calendar_year",2016,0.864619,FALSE
"wage","headline","calendar_year",2017,0.882896,FALSE
"wage","headline","calendar_year",2018,0.910858,FALSE
"wage","headline","calendar_year",2019,0.932705,FALSE
"wage","headline","calendar_year",2020,0.959356,FALSE
"wage","headline","calendar_year",2021,1,FALSE
"wage","headline","calendar_year",2022,1.051454,FALSE
"wage","headline","calendar_year",2023,1.10444,FALSE
"wage","headline","calendar_year",2024,1.146893,TRUE
"wage","headline","calendar_year",2025,1.182552,TRUE
"wage","headline","calendar_year",2026,1.21932,TRUE
"wage","headline","calendar_year",2027,1.257231,TRUE
"wage","headline","calendar_year",2028,1.296321,TRUE
"wage","headline","calendar_year",2029,1.336627,TRUE
"wage","headline","financial_year",1994,0.369741,FALSE
"wage","headline","financial_year",1995,0.38508,FALSE
"wage","headline","financial_year",1996,0.401769,FALSE
"wage","headline","financial_year",1997,0.420605,FALSE
"wage","headline","financial_year",1998,0.437852,FALSE
"wage","headline","financial_year",1999,0.456098,FALSE
"wage","headline","financial_year",2000,0.478257,FALSE
"wage","headline","financial_year",2001,0.492949,FALSE
"wage","headline","financial_year",2002,0.511159,FALSE
"wage","headline","financial_year",2003,0.53341,FALSE
"wage","headline","financial_year",2004,0.557475,FALSE
"wage","headline","financial_year",2005,0.582686,FALSE
"wage","headline","financial_year",2006,0.610563,FALSE
"wage","headline","financial_year",2007,0.638976,FALSE
"wage","headline","financial_year",2008,0.675668,FALSE
"wage","headline","financial_year",2009,0.702157,FALSE
"wage","headline","financial_year",2010,0.741462,FALSE
"wage","headline","financial_year",2011,0.777722,FALSE
"wage","headline","financial_year",2012,0.816116,FALSE
"wage","headline","financial_year",2013,0.831474,FALSE
"wage","headline","financial_year",2014,0.844361,FALSE
"wage","headline","financial_year",2015,0.86183,FALSE
"wage","headline","financial_year",2016,0.867408,FALSE
"wage","headline","financial_year",2017,0.898383,FALSE
"wage","headline","financial_year",2018,0.923334,FALSE
"wage","headline","financial_year",2019,0.942076,FALSE
"wage","headline","financial_year",2020,0.976636,FALSE
"wage","headline","financial_year",2021,1.023364,FALSE
"wage","headline","financial_year",2022,1.079545,FALSE
"wage","headline","financial_year",2023,1.129336,FALSE
"wage","headline","financial_year",2024,1.164449,TRUE
"wage","headline","financial_year",2025,1.200655,TRUE
"wage","headline","financial_year",2026,1.237985,TRUE
"wage","headline","financial_year",2027,1.276477,TRUE
"wage","headline","financial_year",2028,1.316165,TRUE
"wage","headline","financial_year",2029,1.357088,TRUE
"ato_avg_salary_wages","reference","calendar_year",1994,0.369741,TRUE
"ato_avg_salary_wages","reference","calendar_year",1995,0.37741,FALSE
"ato_avg_salary_wages","reference","calendar_year",1996,0.393425,FALSE
"ato_avg_salary_wages","reference","calendar_year",1997,0.411187,FALSE
"ato_avg_salary_wages","reference","calendar_year",1998,0.429229,FALSE
"ato_avg_salary_wages","reference","calendar_year",1999,0.446975,FALSE
"ato_avg_salary_wages","reference","calendar_year",2000,0.467178,FALSE
"ato_avg_salary_wages","reference","calendar_year",2001,0.485603,FALSE
"ato_avg_salary_wages","reference","calendar_year",2002,0.502054,FALSE
"ato_avg_salary_wages","reference","calendar_year",2003,0.522284,FALSE
"ato_avg_salary_wages","reference","calendar_year",2004,0.545442,FALSE
"ato_avg_salary_wages","reference","calendar_year",2005,0.57008,FALSE
"ato_avg_salary_wages","reference","calendar_year",2006,0.596625,FALSE
"ato_avg_salary_wages","reference","calendar_year",2007,0.62477,FALSE
"ato_avg_salary_wages","reference","calendar_year",2008,0.657322,FALSE
"ato_avg_salary_wages","reference","calendar_year",2009,0.688912,FALSE
"ato_avg_salary_wages","reference","calendar_year",2010,0.721809,FALSE
"ato_avg_salary_wages","reference","calendar_year",2011,0.759592,FALSE
"ato_avg_salary_wages","reference","calendar_year",2012,0.796919,FALSE
"ato_avg_salary_wages","reference","calendar_year",2013,0.823795,FALSE
"ato_avg_salary_wages","reference","calendar_year",2014,0.837917,FALSE
"ato_avg_salary_wages","reference","calendar_year",2015,0.853095,FALSE
"ato_avg_salary_wages","reference","calendar_year",2016,0.864619,FALSE
"ato_avg_salary_wages","reference","calendar_year",2017,0.882896,FALSE
"ato_avg_salary_wages","reference","calendar_year",2018,0.910858,FALSE
"ato_avg_salary_wages","reference","calendar_year",2019,0.932705,FALSE
"ato_avg_salary_wages","reference","calendar_year",2020,0.959356,FALSE
"ato_avg_salary_wages","reference","calendar_year",2021,1,FALSE
"ato_avg_salary_wages","reference","calendar_year",2022,1.051454,FALSE
"ato_avg_salary_wages","reference","calendar_year",2023,1.10444,FALSE
"ato_avg_salary_wages","reference","calendar_year",2024,1.146893,TRUE
"ato_avg_salary_wages","reference","calendar_year",2025,1.182552,TRUE
"ato_avg_salary_wages","reference","calendar_year",2026,1.21932,TRUE
"ato_avg_salary_wages","reference","calendar_year",2027,1.257231,TRUE
"ato_avg_salary_wages","reference","calendar_year",2028,1.296321,TRUE
"ato_avg_salary_wages","reference","calendar_year",2029,1.336627,TRUE
"ato_avg_salary_wages","reference","financial_year",1994,0.369741,FALSE
"ato_avg_salary_wages","reference","financial_year",1995,0.38508,FALSE
"ato_avg_salary_wages","reference","financial_year",1996,0.401769,FALSE
"ato_avg_salary_wages","reference","financial_year",1997,0.420605,FALSE
"ato_avg_salary_wages","reference","financial_year",1998,0.437852,FALSE
"ato_avg_salary_wages","reference","financial_year",1999,0.456098,FALSE
"ato_avg_salary_wages","reference","financial_year",2000,0.478257,FALSE
"ato_avg_salary_wages","reference","financial_year",2001,0.492949,FALSE
"ato_avg_salary_wages","reference","financial_year",2002,0.511159,FALSE
"ato_avg_salary_wages","reference","financial_year",2003,0.53341,FALSE
"ato_avg_salary_wages","reference","financial_year",2004,0.557475,FALSE
"ato_avg_salary_wages","reference","financial_year",2005,0.582686,FALSE
"ato_avg_salary_wages","reference","financial_year",2006,0.610563,FALSE
"ato_avg_salary_wages","reference","financial_year",2007,0.638976,FALSE
"ato_avg_salary_wages","reference","financial_year",2008,0.675668,FALSE
"ato_avg_salary_wages","reference","financial_year",2009,0.702157,FALSE
"ato_avg_salary_wages","reference","financial_year",2010,0.741462,FALSE
"ato_avg_salary_wages","reference","financial_year",2011,0.777722,FALSE
"ato_avg_salary_wages","reference","financial_year",2012,0.816116,FALSE
"ato_avg_salary_wages","reference","financial_year",2013,0.831474,FALSE
"ato_avg_salary_wages","reference","financial_year",2014,0.844361,FALSE
"ato_avg_salary_wages","reference","financial_year",2015,0.86183,FALSE
"ato_avg_salary_wages","reference","financial_year",2016,0.867408,FALSE
"ato_avg_salary_wages","reference","financial_year",2017,0.898383,FALSE
"ato_avg_salary_wages","reference","financial_year",2018,0.923334,FALSE
"ato_avg_salary_wages","reference","financial_year",2019,0.942076,FALSE
"ato_avg_salary_wages","reference","financial_year",2020,0.976636,FALSE
"ato_avg_salary_wages","reference","financial_year",2021,1.023364,FALSE
"ato_avg_salary_wages","reference","financial_year",2022,1.079545,FALSE
"ato_avg_salary_wages","reference","financial_year",2023,1.129336,FALSE
"ato_avg_salary_wages","reference","financial_year",2024,1.164449,TRUE
"ato_avg_salary_wages","reference","financial_year",2025,1.200655,TRUE
"ato_avg_salary_wages","reference","financial_year",2026,1.237985,TRUE
"ato_avg_salary_wages","reference","financial_year",2027,1.276477,TRUE
"ato_avg_salary_wages","reference","financial_year",2028,1.316165,TRUE
"ato_avg_salary_wages","reference","financial_year",2029,1.357088,TRUE
"ato_avg_taxable_income","reference","calendar_year",1994,0.414174,TRUE
"ato_avg_taxable_income","reference","calendar_year",1995,0.420792,TRUE
"ato_avg_taxable_income","reference","calendar_year",1996,0.434239,TRUE
"ato_avg_taxable_income","reference","calendar_year",1997,0.448117,TRUE
"ato_avg_taxable_income","reference","calendar_year",1998,0.462437,TRUE
"ato_avg_taxable_income","reference","calendar_year",1999,0.477216,TRUE
"ato_avg_taxable_income","reference","calendar_year",2000,0.492467,TRUE
"ato_avg_taxable_income","reference","calendar_year",2001,0.508205,TRUE
"ato_avg_taxable_income","reference","calendar_year",2002,0.524446,TRUE
"ato_avg_taxable_income","reference","calendar_year",2003,0.541206,TRUE
"ato_avg_taxable_income","reference","calendar_year",2004,0.558502,TRUE
"ato_avg_taxable_income","reference","calendar_year",2005,0.57635,TRUE
"ato_avg_taxable_income","reference","calendar_year",2006,0.594769,TRUE
"ato_avg_taxable_income","reference","calendar_year",2007,0.613777,TRUE
"ato_avg_taxable_income","reference","calendar_year",2008,0.633391,TRUE
"ato_avg_taxable_income","reference","calendar_year",2009,0.653633,TRUE
"ato_avg_taxable_income","reference","calendar_year",2010,0.683784,FALSE
"ato_avg_taxable_income","reference","calendar_year",2011,0.726815,FALSE
"ato_avg_taxable_income","reference","calendar_year",2012,0.768776,FALSE
"ato_avg_taxable_income","reference","calendar_year",2013,0.798978,FALSE
"ato_avg_taxable_income","reference","calendar_year",2014,0.814731,FALSE
"ato_avg_taxable_income","reference","calendar_year",2015,0.825152,FALSE
"ato_avg_taxable_income","reference","calendar_year",2016,0.8327,FALSE
"ato_avg_taxable_income","reference","calendar_year",2017,0.850513,FALSE
"ato_avg_taxable_income","reference","calendar_year",2018,0.878264,FALSE
"ato_avg_taxable_income","reference","calendar_year",2019,0.899517,FALSE
"ato_avg_taxable_income","reference","calendar_year",2020,0.940289,FALSE
"ato_avg_taxable_income","reference","calendar_year",2021,1,FALSE
"ato_avg_taxable_income","reference","calendar_year",2022,1.043289,FALSE
"ato_avg_taxable_income","reference","calendar_year",2023,1.087784,FALSE
"ato_avg_taxable_income","reference","calendar_year",2024,1.136025,TRUE
"ato_avg_taxable_income","reference","calendar_year",2025,1.173151,TRUE
"ato_avg_taxable_income","reference","calendar_year",2026,1.211491,TRUE
"ato_avg_taxable_income","reference","calendar_year",2027,1.251084,TRUE
"ato_avg_taxable_income","reference","calendar_year",2028,1.29197,TRUE
"ato_avg_taxable_income","reference","calendar_year",2029,1.334193,TRUE
"ato_avg_taxable_income","reference","financial_year",1994,0.414174,TRUE
"ato_avg_taxable_income","reference","financial_year",1995,0.42741,TRUE
"ato_avg_taxable_income","reference","financial_year",1996,0.441069,TRUE
"ato_avg_taxable_income","reference","financial_year",1997,0.455164,TRUE
"ato_avg_taxable_income","reference","financial_year",1998,0.46971,TRUE
"ato_avg_taxable_income","reference","financial_year",1999,0.484721,TRUE
"ato_avg_taxable_income","reference","financial_year",2000,0.500212,TRUE
"ato_avg_taxable_income","reference","financial_year",2001,0.516198,TRUE
"ato_avg_taxable_income","reference","financial_year",2002,0.532694,TRUE
"ato_avg_taxable_income","reference","financial_year",2003,0.549718,TRUE
"ato_avg_taxable_income","reference","financial_year",2004,0.567286,TRUE
"ato_avg_taxable_income","reference","financial_year",2005,0.585415,TRUE
"ato_avg_taxable_income","reference","financial_year",2006,0.604123,TRUE
"ato_avg_taxable_income","reference","financial_year",2007,0.62343,TRUE
"ato_avg_taxable_income","reference","financial_year",2008,0.643353,TRUE
"ato_avg_taxable_income","reference","financial_year",2009,0.663913,FALSE
"ato_avg_taxable_income","reference","financial_year",2010,0.703656,FALSE
"ato_avg_taxable_income","reference","financial_year",2011,0.749974,FALSE
"ato_avg_taxable_income","reference","financial_year",2012,0.787578,FALSE
"ato_avg_taxable_income","reference","financial_year",2013,0.810377,FALSE
"ato_avg_taxable_income","reference","financial_year",2014,0.819085,FALSE
"ato_avg_taxable_income","reference","financial_year",2015,0.831218,FALSE
"ato_avg_taxable_income","reference","financial_year",2016,0.834182,FALSE
"ato_avg_taxable_income","reference","financial_year",2017,0.866843,FALSE
"ato_avg_taxable_income","reference","financial_year",2018,0.889685,FALSE
"ato_avg_taxable_income","reference","financial_year",2019,0.909349,FALSE
"ato_avg_taxable_income","reference","financial_year",2020,0.971229,FALSE
"ato_avg_taxable_income","reference","financial_year",2021,1.028771,FALSE
"ato_avg_taxable_income","reference","financial_year",2022,1.057808,FALSE
"ato_avg_taxable_income","reference","financial_year",2023,1.11776,FALSE
"ato_avg_taxable_income","reference","financial_year",2024,1.15429,TRUE
"ato_avg_taxable_income","reference","financial_year",2025,1.192013,TRUE
"ato_avg_taxable_income","reference","financial_year",2026,1.230969,TRUE
"ato_avg_taxable_income","reference","financial_year",2027,1.271198,TRUE
"ato_avg_taxable_income","reference","financial_year",2028,1.312742,TRUE
