"item_num","category","group","sub_heading","benefit_type","schedule_fee","benefit_75","benefit_85","benefit_100","anaes","weight"
139,1,"A29",NA,"E",156.95,0,0,156.95,"N",0.000638666196070475
104,1,"A3",NA,"C",101.3,76,86.15,0,"N",0.000638666196070475
105,1,"A3",NA,"C",50.95,38.25,43.35,0,"N",0.000638666196070475
106,1,"A3",NA,"C",84.05,63.05,71.45,0,"N",0.000638666196070475
107,1,"A3",NA,"C",148.65,111.5,126.4,0,"N",0.000638666196070475
108,1,"A3",NA,"C",94.1,70.6,80,0,"N",0.000638666196070475
109,1,"A3",NA,"C",228.3,171.25,194.1,0,"N",0.000638666196070475
111,1,"A3",NA,"C",50.95,38.25,43.35,0,"N",0.000638666196070475
115,1,"A3",NA,"C",50.95,38.25,43.35,0,"N",0.000638666196070475
125,1,"A3",NA,"C",178.7,134.05,151.9,0,"N",0.000638666196070475
126,1,"A3",NA,"C",89.4,67.05,76,0,"N",0.000638666196070475
127,1,"A3",NA,"B",178.7,0,151.9,0,"N",0.000638666196070475
129,1,"A3",NA,"B",89.4,0,76,0,"N",0.000638666196070475
6018,1,"A31",NA,"C",178.7,134.05,151.9,0,"N",0.000638666196070475
6019,1,"A31",NA,"C",89.4,67.05,76,0,"N",0.000638666196070475
6023,1,"A31",NA,"C",312.45,234.35,265.6,0,"N",0.000638666196070475
6024,1,"A31",NA,"C",156.45,117.35,133,0,"N",0.000638666196070475
6028,1,"A31",NA,"C",58.35,43.8,49.6,0,"N",0.000638666196070475
6029,1,"A31",NA,"C",50.55,37.95,43,0,"N",0.000638666196070475
6031,1,"A31",NA,"C",89.4,67.05,76,0,"N",0.000638666196070475
6032,1,"A31",NA,"C",134.2,100.65,114.1,0,"N",0.000638666196070475
6034,1,"A31",NA,"C",178.7,134.05,151.9,0,"N",0.000638666196070475
6035,1,"A31",NA,"C",40.45,30.35,34.4,0,"N",0.000638666196070475
6037,1,"A31",NA,"C",71.55,53.7,60.85,0,"N",0.000638666196070475
6038,1,"A31",NA,"C",107.3,80.5,91.25,0,"N",0.000638666196070475
6042,1,"A31",NA,"C",142.9,107.2,121.5,0,"N",0.000638666196070475
6051,1,"A32",NA,"C",178.7,134.05,151.9,0,"N",0.000638666196070475
6052,1,"A32",NA,"C",89.4,67.05,76,0,"N",0.000638666196070475
6057,1,"A32",NA,"C",312.45,234.35,265.6,0,"N",0.000638666196070475
6058,1,"A32",NA,"C",156.45,117.35,133,0,"N",0.000638666196070475
6062,1,"A32",NA,"B",216.75,0,184.25,0,"N",0.000638666196070475
6063,1,"A32",NA,"B",131.1,0,111.45,0,"N",0.000638666196070475
6064,1,"A32",NA,"C",50.55,37.95,43,0,"N",0.000638666196070475
6065,1,"A32",NA,"C",89.4,67.05,76,0,"N",0.000638666196070475
6067,1,"A32",NA,"C",134.2,100.65,114.1,0,"N",0.000638666196070475
6068,1,"A32",NA,"C",178.7,134.05,151.9,0,"N",0.000638666196070475
6071,1,"A32",NA,"C",40.45,30.35,34.4,0,"N",0.000638666196070475
6072,1,"A32",NA,"C",71.55,53.7,60.85,0,"N",0.000638666196070475
6074,1,"A32",NA,"C",107.3,80.5,91.25,0,"N",0.000638666196070475
6075,1,"A32",NA,"C",142.9,107.2,121.5,0,"N",0.000638666196070475
6080,1,"A33",NA,"C",59.4,44.55,50.5,0,"N",0.000638666196070475
6081,1,"A33",NA,"C",44.3,33.25,37.7,0,"N",0.000638666196070475
6082,1,"A33",NA,"C",59.4,44.55,50.5,0,"N",0.000638666196070475
6084,1,"A33",NA,"C",44.3,33.25,37.7,0,"N",0.000638666196070475
90001,1,"A35",NA,"E",64.15,0,0,64.15,"N",0.000638666196070475
90002,1,"A35",NA,"E",46.6,0,0,46.6,"N",0.000638666196070475
90020,1,"A35",NA,"E",20.05,0,0,20.05,"N",0.000638666196070475
90035,1,"A35",NA,"E",43.9,0,0,43.9,"N",0.000638666196070475
90043,1,"A35",NA,"E",84.9,0,0,84.9,"N",0.000638666196070475
90051,1,"A35",NA,"E",125.1,0,0,125.1,"N",0.000638666196070475
90054,1,"A35",NA,"E",202.65,0,0,202.65,"N",0.000638666196070475
90092,1,"A35",NA,"E",8.5,0,0,8.5,"N",0.000638666196070475
90093,1,"A35",NA,"E",16,0,0,16,"N",0.000638666196070475
90095,1,"A35",NA,"E",35.5,0,0,35.5,"N",0.000638666196070475
90096,1,"A35",NA,"E",57.5,0,0,57.5,"N",0.000638666196070475
90098,1,"A35",NA,"E",88.2,0,0,88.2,"N",0.000638666196070475
90183,1,"A35",NA,"E",16.1,0,0,16.1,"N",0.000638666196070475
90188,1,"A35",NA,"E",35.05,0,0,35.05,"N",0.000638666196070475
90202,1,"A35",NA,"E",67.95,0,0,67.95,"N",0.000638666196070475
90212,1,"A35",NA,"E",100.05,0,0,100.05,"N",0.000638666196070475
90215,1,"A35",NA,"E",162.1,0,0,162.1,"N",0.000638666196070475
90250,1,"A36",NA,"E",83.65,0,0,83.65,"N",0.000638666196070475
90251,1,"A36",NA,"E",123.15,0,0,123.15,"N",0.000638666196070475
90252,1,"A36",NA,"E",106.2,0,0,106.2,"N",0.000638666196070475
90253,1,"A36",NA,"E",156.45,0,0,156.45,"N",0.000638666196070475
90254,1,"A36",NA,"E",66.9,0,0,66.9,"N",0.000638666196070475
90255,1,"A36",NA,"E",98.5,0,0,98.5,"N",0.000638666196070475
90256,1,"A36",NA,"E",84.95,0,0,84.95,"N",0.000638666196070475
90257,1,"A36",NA,"E",125.2,0,0,125.2,"N",0.000638666196070475
90260,1,"A36",NA,"B",535.95,0,455.6,0,"N",0.000638666196070475
90261,1,"A36",NA,"B",312.45,0,265.6,0,"N",0.000638666196070475
90264,1,"A36",NA,"E",83.65,0,0,83.65,"N",0.000638666196070475
90265,1,"A36",NA,"E",66.9,0,0,66.9,"N",0.000638666196070475
90266,1,"A36",NA,"B",335.05,0,284.8,0,"N",0.000638666196070475
90267,1,"A36",NA,"B",156.45,0,133,0,"N",0.000638666196070475
90271,1,"A36",NA,"E",108.2,0,0,108.2,"N",0.000638666196070475
90273,1,"A36",NA,"E",154.85,0,0,154.85,"N",0.000638666196070475
90275,1,"A36",NA,"E",86.6,0,0,86.6,"N",0.000638666196070475
90277,1,"A36",NA,"E",123.9,0,0,123.9,"N",0.000638666196070475
90300,1,"A37",NA,"A",1003.65,752.75,0,0,"N",0.000638666196070475
110,1,"A4",NA,"C",178.7,134.05,151.9,0,"N",0.000638666196070475
116,1,"A4",NA,"C",89.4,67.05,76,0,"N",0.000638666196070475
117,1,"A4",NA,"C",89.4,67.05,76,0,"N",0.000638666196070475
119,1,"A4",NA,"C",50.95,38.25,43.35,0,"N",0.000638666196070475
120,1,"A4",NA,"C",50.95,38.25,43.35,0,"N",0.000638666196070475
122,1,"A4",NA,"C",216.75,162.6,184.25,0,"N",0.000638666196070475
128,1,"A4",NA,"C",131.1,98.35,111.45,0,"N",0.000638666196070475
131,1,"A4",NA,"C",94.45,70.85,80.3,0,"N",0.000638666196070475
132,1,"A4",NA,"C",312.45,234.35,265.6,0,"N",0.000638666196070475
133,1,"A4",NA,"C",156.45,117.35,133,0,"N",0.000638666196070475
91790,1,"A40",NA,"E",20.05,0,0,20.05,"N",0.000638666196070475
91792,1,"A40",NA,"E",11,0,0,11,"N",0.000638666196070475
91794,1,"A40",NA,"E",16.1,0,0,16.1,"N",0.000638666196070475
91800,1,"A40",NA,"E",43.9,0,0,43.9,"N",0.000638666196070475
91801,1,"A40",NA,"E",84.9,0,0,84.9,"N",0.000638666196070475
91802,1,"A40",NA,"E",125.1,0,0,125.1,"N",0.000638666196070475
91803,1,"A40",NA,"E",21,0,0,21,"N",0.000638666196070475
91804,1,"A40",NA,"E",38,0,0,38,"N",0.000638666196070475
91805,1,"A40",NA,"E",61,0,0,61,"N",0.000638666196070475
91806,1,"A40",NA,"E",35.05,0,0,35.05,"N",0.000638666196070475
91807,1,"A40",NA,"E",67.95,0,0,67.95,"N",0.000638666196070475
91808,1,"A40",NA,"E",100.05,0,0,100.05,"N",0.000638666196070475
91818,1,"A40",NA,"E",108.2,0,0,108.2,"N",0.000638666196070475
91819,1,"A40",NA,"E",154.85,0,0,154.85,"N",0.000638666196070475
91820,1,"A40",NA,"E",86.6,0,0,86.6,"N",0.000638666196070475
91821,1,"A40",NA,"E",123.9,0,0,123.9,"N",0.000638666196070475
91822,1,"A40",NA,"B",101.3,0,86.15,0,"N",0.000638666196070475
91823,1,"A40",NA,"B",50.95,0,43.35,0,"N",0.000638666196070475
91824,1,"A40",NA,"B",178.7,0,151.9,0,"N",0.000638666196070475
91825,1,"A40",NA,"B",89.4,0,76,0,"N",0.000638666196070475
91826,1,"A40",NA,"B",50.95,0,43.35,0,"N",0.000638666196070475
91827,1,"A40",NA,"B",51.3,0,43.65,0,"N",0.000638666196070475
91828,1,"A40",NA,"B",102.4,0,87.05,0,"N",0.000638666196070475
91829,1,"A40",NA,"B",157.6,0,134,0,"N",0.000638666196070475
91830,1,"A40",NA,"B",217.5,0,184.9,0,"N",0.000638666196070475
91831,1,"A40",NA,"B",252.4,0,214.55,0,"N",0.000638666196070475
91833,1,"A40",NA,"B",50.95,0,43.35,0,"N",0.000638666196070475
91836,1,"A40",NA,"B",50.95,0,43.35,0,"N",0.000638666196070475
91837,1,"A40",NA,"B",51.3,0,43.65,0,"N",0.000638666196070475
91838,1,"A40",NA,"B",102.4,0,87.05,0,"N",0.000638666196070475
91839,1,"A40",NA,"B",157.6,0,134,0,"N",0.000638666196070475
91842,1,"A40",NA,"E",108.2,0,0,108.2,"N",0.000638666196070475
91843,1,"A40",NA,"E",154.85,0,0,154.85,"N",0.000638666196070475
91844,1,"A40",NA,"E",86.6,0,0,86.6,"N",0.000638666196070475
91845,1,"A40",NA,"E",123.9,0,0,123.9,"N",0.000638666196070475
91859,1,"A40",NA,"E",108.2,0,0,108.2,"N",0.000638666196070475
91861,1,"A40",NA,"E",154.85,0,0,154.85,"N",0.000638666196070475
91862,1,"A40",NA,"E",86.55,0,0,86.55,"N",0.000638666196070475
91863,1,"A40",NA,"E",123.9,0,0,123.9,"N",0.000638666196070475
91864,1,"A40",NA,"E",108.2,0,0,108.2,"N",0.000638666196070475
91865,1,"A40",NA,"E",154.85,0,0,154.85,"N",0.000638666196070475
91866,1,"A40",NA,"E",86.55,0,0,86.55,"N",0.000638666196070475
91867,1,"A40",NA,"E",123.9,0,0,123.9,"N",0.000638666196070475
91868,1,"A40",NA,"B",25.55,0,21.75,0,"N",0.000638666196070475
91869,1,"A40",NA,"B",51.3,0,43.65,0,"N",0.000638666196070475
91870,1,"A40",NA,"B",79,0,67.15,0,"N",0.000638666196070475
91871,1,"A40",NA,"B",108.85,0,92.55,0,"N",0.000638666196070475
91872,1,"A40",NA,"B",126.2,0,107.3,0,"N",0.000638666196070475
91873,1,"A40",NA,"B",217.5,0,184.9,0,"N",0.000638666196070475
91874,1,"A40",NA,"C",51.3,38.5,43.65,0,"N",0.000638666196070475
91875,1,"A40",NA,"C",102.4,76.8,87.05,0,"N",0.000638666196070475
91876,1,"A40",NA,"C",157.6,118.2,134,0,"N",0.000638666196070475
91877,1,"A40",NA,"C",217.5,163.15,184.9,0,"N",0.000638666196070475
91878,1,"A40",NA,"C",252.4,189.3,214.55,0,"N",0.000638666196070475
91879,1,"A40",NA,"B",25.55,0,21.75,0,"N",0.000638666196070475
91880,1,"A40",NA,"B",51.3,0,43.65,0,"N",0.000638666196070475
91881,1,"A40",NA,"B",79,0,67.15,0,"N",0.000638666196070475
91882,1,"A40",NA,"C",51.3,38.5,43.65,0,"N",0.000638666196070475
91883,1,"A40",NA,"C",102.4,76.8,87.05,0,"N",0.000638666196070475
91884,1,"A40",NA,"C",157.6,118.2,134,0,"N",0.000638666196070475
91890,1,"A40",NA,"E",20.05,0,0,20.05,"N",0.000638666196070475
91891,1,"A40",NA,"E",43.9,0,0,43.9,"N",0.000638666196070475
91892,1,"A40",NA,"E",11,0,0,11,"N",0.000638666196070475
91893,1,"A40",NA,"E",21,0,0,21,"N",0.000638666196070475
91900,1,"A40",NA,"E",84.9,0,0,84.9,"N",0.000638666196070475
91903,1,"A40",NA,"E",38,0,0,38,"N",0.000638666196070475
91906,1,"A40",NA,"E",67.95,0,0,67.95,"N",0.000638666196070475
91910,1,"A40",NA,"E",125.1,0,0,125.1,"N",0.000638666196070475
91913,1,"A40",NA,"E",61,0,0,61,"N",0.000638666196070475
91916,1,"A40",NA,"E",100.05,0,0,100.05,"N",0.000638666196070475
91920,1,"A40",NA,"E",202.65,0,0,202.65,"N",0.000638666196070475
91923,1,"A40",NA,"E",98.4,0,0,98.4,"N",0.000638666196070475
91926,1,"A40",NA,"E",162.1,0,0,162.1,"N",0.000638666196070475
